$$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeDefinition.Code$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
ATTR-QB-API;QB-API,AC-QB-API,ATTR-QB-API,Type,Flex,,RadioButton,,false,true,false,false,,,,,Type,,QB-API,PC-QB-API;ATTR-QB-API;AC-QB-API,1,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1.2TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1.2TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 20TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,20TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 20TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 3TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,3TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 3TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 4TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,4TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 4TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 8TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,8TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 8TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
PCIe Lane Type;QB-NET-100G-ULTRA,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NET-100G-ULTRA,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-NovaX150,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NovaX150,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-NVExpand-200,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NVExpand-200,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-RAID-500,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-RAID-500,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 16TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,16TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 16TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 2TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,2TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 2TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 30TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,30TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 30TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 4TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,4TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 4TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 8TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,8TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 8TB,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
PCIe Lane Type;QB-VegaX200,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-VegaX200,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
ATTR-QB-API;QB-API-GEN0170,AC-QB-API,ATTR-QB-API,Type,Flex,,RadioButton,,false,true,false,false,,,,,Type,,QB-API-GEN0170,PC-QB-API;ATTR-QB-API;AC-QB-API,1,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1.2TB-GEN0238,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1.2TB-GEN0238,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1TB-GEN0239,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1TB-GEN0239,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 20TB-GEN0240,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,20TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 20TB-GEN0240,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 3TB-GEN0241,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,3TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 3TB-GEN0241,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 4TB-GEN0242,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,4TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 4TB-GEN0242,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 8TB-GEN0243,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,8TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 8TB-GEN0243,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
PCIe Lane Type;QB-NET-100G-ULTRA-GEN0268,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NET-100G-ULTRA-GEN0268,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-NovaX150-GEN0273,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NovaX150-GEN0273,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-NVExpand-200-GEN0274,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NVExpand-200-GEN0274,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-RAID-500-GEN0291,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-RAID-500-GEN0291,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 16TB-GEN0309,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,16TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 16TB-GEN0309,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 2TB-GEN0310,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,2TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 2TB-GEN0310,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 30TB-GEN0311,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,30TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 30TB-GEN0311,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 4TB-GEN0312,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,4TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 4TB-GEN0312,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 8TB-GEN0313,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,8TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 8TB-GEN0313,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
PCIe Lane Type;QB-VegaX200-GEN0322,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-VegaX200-GEN0322,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
ATTR-QB-API;QB-API-GEN0334,AC-QB-API,ATTR-QB-API,Type,Flex,,RadioButton,,false,true,false,false,,,,,Type,,QB-API-GEN0334,PC-QB-API;ATTR-QB-API;AC-QB-API,1,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1.2TB-GEN0402,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1.2TB-GEN0402,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1TB-GEN0403,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1TB-GEN0403,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 20TB-GEN0404,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,20TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 20TB-GEN0404,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 3TB-GEN0405,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,3TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 3TB-GEN0405,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 4TB-GEN0406,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,4TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 4TB-GEN0406,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 8TB-GEN0407,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,8TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 8TB-GEN0407,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
PCIe Lane Type;QB-NET-100G-ULTRA-GEN0432,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NET-100G-ULTRA-GEN0432,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-NovaX150-GEN0437,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NovaX150-GEN0437,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-NVExpand-200-GEN0438,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NVExpand-200-GEN0438,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
PCIe Lane Type;QB-RAID-500-GEN0455,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-RAID-500-GEN0455,PCIe PC;PCIe Lane Type;PCIe Lane,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 16TB-GEN0473,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,16TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 16TB-GEN0473,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 2TB-GEN0474,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,2TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 2TB-GEN0474,PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,,Active,,,
