$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
GPU;QB-NovaX150,CAT-QB-HW,false,QB-NovaX150,GPU
GPU;QB-VegaX200,CAT-QB-HW,false,QB-VegaX200,GPU
PC-QB-HW-ACCESSORIES;QB-BMX-1050,CAT-QB-HW,false,QB-BMX-1050,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-BMX-1051,CAT-QB-HW,false,QB-BMX-1051,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-BMX-1053,CAT-QB-HW,false,QB-BMX-1053,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5881,CAT-QB-HW,false,QB-CMPC-5881,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5882,CAT-QB-HW,false,QB-CMPC-5882,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5883,CAT-QB-HW,false,QB-CMPC-5883,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5884,CAT-QB-HW,false,QB-CMPC-5884,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5887,CAT-QB-HW,false,QB-CMPC-5887,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5888,CAT-QB-HW,false,QB-CMPC-5888,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5889,CAT-QB-HW,false,QB-CMPC-5889,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5890,CAT-QB-HW,false,QB-CMPC-5890,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5891,CAT-QB-HW,false,QB-CMPC-5891,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CMPC-5892,CAT-QB-HW,false,QB-CMPC-5892,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-CPU-HEATSINK,CAT-QB-HW,false,QB-CPU-HEATSINK,PC-QB-HW-ACCESSORIES
PC-QB-HW-ACCESSORIES;QB-LIQUIDCOOL,CAT-QB-HW,false,QB-LIQUIDCOOL,PC-QB-HW-ACCESSORIES
PC-QB-HW-CPU;QB-INTEL E5-2609,CAT-QB-HW,false,QB-INTEL E5-2609,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL E5-2660,CAT-QB-HW,false,QB-INTEL E5-2660,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL E5-2667,CAT-QB-HW,false,QB-INTEL E5-2667,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL E5-2683,CAT-QB-HW,false,QB-INTEL E5-2683,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL-GOLD-5318N,CAT-QB-HW,false,QB-INTEL-GOLD-5318N,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL-GOLD-6330N,CAT-QB-HW,false,QB-INTEL-GOLD-6330N,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL-GOLD-6354,CAT-QB-HW,false,QB-INTEL-GOLD-6354,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL-PLAT-8352M,CAT-QB-HW,false,QB-INTEL-PLAT-8352M,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL-PLAT-8352Y,CAT-QB-HW,false,QB-INTEL-PLAT-8352Y,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL-PLAT-8360Y,CAT-QB-HW,false,QB-INTEL-PLAT-8360Y,PC-QB-HW-CPU
PC-QB-HW-CPU;QB-INTEL-PLAT-8368,CAT-QB-HW,false,QB-INTEL-PLAT-8368,PC-QB-HW-CPU
PC-QB-HW-HDD;QB-HD 1.2TB,CAT-QB-HW,false,QB-HD 1.2TB,PC-QB-HW-HDD
PC-QB-HW-HDD;QB-HD 1TB,CAT-QB-HW,false,QB-HD 1TB,PC-QB-HW-HDD
PC-QB-HW-HDD;QB-HD 20TB,CAT-QB-HW,false,QB-HD 20TB,PC-QB-HW-HDD
PC-QB-HW-HDD;QB-HD 3TB,CAT-QB-HW,false,QB-HD 3TB,PC-QB-HW-HDD
PC-QB-HW-HDD;QB-HD 4TB,CAT-QB-HW,false,QB-HD 4TB,PC-QB-HW-HDD
PC-QB-HW-HDD;QB-HD 8TB,CAT-QB-HW,false,QB-HD 8TB,PC-QB-HW-HDD
PC-QB-HW-HDD;QB-HD 8TBSE,CAT-QB-HW,false,QB-HD 8TBSE,PC-QB-HW-HDD
PC-QB-HW-HWMAINT;QB-SUPP-1000,CAT-QB-HW,false,QB-SUPP-1000,PC-QB-HW-HWMAINT
PC-QB-HW-HWMAINT;QB-SUPP-1005,CAT-QB-HW,false,QB-SUPP-1005,PC-QB-HW-HWMAINT
PC-QB-HW-MEMORY;QB-MEM 128GB,CAT-QB-HW,false,QB-MEM 128GB,PC-QB-HW-MEMORY
PC-QB-HW-MEMORY;QB-MEM 16GB,CAT-QB-HW,false,QB-MEM 16GB,PC-QB-HW-MEMORY
PC-QB-HW-MEMORY;QB-MEM 32GB,CAT-QB-HW,false,QB-MEM 32GB,PC-QB-HW-MEMORY
PC-QB-HW-MEMORY;QB-MEM 64GB,CAT-QB-HW,false,QB-MEM 64GB,PC-QB-HW-MEMORY
PC-QB-HW-MEMORY;QB-MEM 8GB,CAT-QB-HW,false,QB-MEM 8GB,PC-QB-HW-MEMORY
PC-QB-HW-NIC;QB-BET X710SFP,CAT-QB-HW,false,QB-BET X710SFP,PC-QB-HW-NIC
PC-QB-HW-NIC;QB-NET X710,CAT-QB-HW,false,QB-NET X710,PC-QB-HW-NIC
PC-QB-HW-NIC;QB-NET-10G,CAT-QB-HW,false,QB-NET-10G,PC-QB-HW-NIC
PC-QB-HW-NIC;QB-NET-25G,CAT-QB-HW,false,QB-NET-25G,PC-QB-HW-NIC
PC-QB-HW-NIC;QB-NETSECURE-10G,CAT-QB-HW,false,QB-NETSECURE-10G,PC-QB-HW-NIC
PC-QB-HW-SERVER;QB-BDL-R750,CAT-QB-HW,false,QB-BDL-R750,PC-QB-HW-SERVER
PC-QB-HW-SERVER;QB-QRack-750,CAT-QB-HW,false,QB-QRack-750,PC-QB-HW-SERVER
PC-QB-SRVC-SERVICES;QB-BDL-SRVC,CAT-QB-SRV,false,QB-BDL-SRVC,PC-QB-SRVC-SERVICES
PC-QB-SRVC-SERVICES;QB-SRV-OG-PSH,CAT-QB-SRV,false,QB-SRV-OG-PSH,PC-QB-SRVC-SERVICES
PC-QB-SRVC-SERVICES;QB-SRV-SOW,CAT-QB-SRV,false,QB-SRV-SOW,PC-QB-SRVC-SERVICES
PC-QB-SW-API;QB-API,CAT-QB-SFT,false,QB-API,PC-QB-SW-API
PC-QB-SW-API;QB-API-FLEX,CAT-QB-SFT,false,QB-API-FLEX,PC-QB-SW-API
PC-QB-SW-API;QB-API-GOVT,CAT-QB-SFT,false,QB-API-GOVT,PC-QB-SW-API
PC-QB-SW-API;QB-API-PREP,CAT-QB-SFT,false,QB-API-PREP,PC-QB-SW-API
PC-QB-SW-API;QB-API-PROD,CAT-QB-SFT,false,QB-API-PROD,PC-QB-SW-API
PC-QB-SW-API;QB-API-REQT,CAT-QB-SFT,false,QB-API-REQT,PC-QB-SW-API
PC-QB-SW-API;QB-AUT-CRED,CAT-QB-SFT,false,QB-AUT-CRED,PC-QB-SW-API
PC-QB-SW-API;QB-DAT-GRPH,CAT-QB-SFT,false,QB-DAT-GRPH,PC-QB-SW-API
PC-QB-SW-BUNDLE;QB-BDL-CRTL,CAT-QB-SFT,false,QB-BDL-CRTL,PC-QB-SW-BUNDLE
PC-QB-SW-BUNDLE;QB-BDL-ENTR,CAT-QB-SFT,false,QB-BDL-ENTR,PC-QB-SW-BUNDLE
PC-QB-SW-BUNDLE;QB-BDL-STND,CAT-QB-SFT,false,QB-BDL-STND,PC-QB-SW-BUNDLE
PC-QB-SW-BUNDLE;QB-COMPLETE,CAT-QB-SFT,false,QB-COMPLETE,PC-QB-SW-BUNDLE
PC-QB-SW-LICENSES;QB-CMT-TKN-EACH,CAT-QB-SFT,false,QB-CMT-TKN-EACH,PC-QB-SW-LICENSES
PC-QB-SW-LICENSES;QB-CMT-TKN-FLAT,CAT-QB-SFT,false,QB-CMT-TKN-FLAT,PC-QB-SW-LICENSES
PC-QB-SW-LICENSES;QB-CMT-TKN-TIER,CAT-QB-SFT,false,QB-CMT-TKN-TIER,PC-QB-SW-LICENSES
PC-QB-SW-LICENSES;QB-DB,CAT-QB-SFT,false,QB-DB,PC-QB-SW-LICENSES
PC-QB-SW-LICENSES;QB-DB-TOKEN,CAT-QB-SFT,false,QB-DB-TOKEN,PC-QB-SW-LICENSES
PC-QB-SW-LICENSES;QB-GEN-AI-LIC,CAT-QB-SFT,false,QB-GEN-AI-LIC,PC-QB-SW-LICENSES
PC-QB-SW-LICENSES;QB-MTY-CMT,CAT-QB-SFT,false,QB-MTY-CMT,PC-QB-SW-LICENSES
PC-QB-SW-LICENSES;QB-QTY-CMT,CAT-QB-SFT,false,QB-QTY-CMT,PC-QB-SW-LICENSES
PC-QB-SW-MAINT;QB-SUPP-1000,CAT-QB-SFT,false,QB-SUPP-1000,PC-QB-SW-MAINT
PC-QB-SW-MAINT;QB-SUPP-1005,CAT-QB-SFT,false,QB-SUPP-1005,PC-QB-SW-MAINT
PC-QB-SW-MAINT;QB-SUPP-2000,CAT-QB-SFT,false,QB-SUPP-2000,PC-QB-SW-MAINT
PC-QB-SW-SUB;QB-CS,CAT-QB-SFT,false,QB-CS,PC-QB-SW-SUB
PC-QB-SW-SUB;TEST-SUB,CAT-QB-SFT,false,TEST-SUB,PC-QB-SW-SUB
PC-QB-SW-TRAINING;QB-TRN-ESSNTLS,CAT-QB-SFT,false,QB-TRN-ESSNTLS,PC-QB-SW-TRAINING
PC-QB-SW-TRAINING;QB-TRN-FUND,CAT-QB-SFT,false,QB-TRN-FUND,PC-QB-SW-TRAINING
PCIe;QB-CBOOST-150,CAT-QB-HW,false,QB-CBOOST-150,PCIe
PCIe;QB-NET-10G,CAT-QB-HW,false,QB-NET-10G,PCIe
PCIe;QB-NET-25G,CAT-QB-HW,false,QB-NET-25G,PCIe
PCIe;QB-NETSECURE-10G,CAT-QB-HW,false,QB-NETSECURE-10G,PCIe
PCIe;QB-NovaX150,CAT-QB-HW,false,QB-NovaX150,PCIe
PCIe;QB-NVExpand-200,CAT-QB-HW,false,QB-NVExpand-200,PCIe
PCIe;QB-RAID-500,CAT-QB-HW,false,QB-RAID-500,PCIe
