$$Product.StockKeepingUnit$ProductSellingModel.SellingModelType$SegmentType,DurationType,Name,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,SegmentType,TrialDuration
QB-API;TermDefined;Yearly,,PPRS-000000006,QB-API,Term Annual;TermDefined,Yearly,
QB-API;TermDefined;Custom,,PPRS-000000007,QB-API,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC,Term Annual;TermDefined,Custom,
QB-SUPP-2000;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000,Term Annual;TermDefined,Yearly,
QB-API-GEN0170;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN0170,Term Annual;TermDefined,Yearly,
QB-API-GEN0170;TermDefined;Custom,,PPRS-000000007,QB-API-GEN0170,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN0237;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN0237,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC-GEN0237;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC-GEN0237,Term Annual;TermDefined,Custom,
QB-SUPP-2000-GEN0317;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000-GEN0317,Term Annual;TermDefined,Yearly,
QB-API-GEN0334;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN0334,Term Annual;TermDefined,Yearly,
QB-API-GEN0334;TermDefined;Custom,,PPRS-000000007,QB-API-GEN0334,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN0401;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN0401,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC-GEN0401;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC-GEN0401,Term Annual;TermDefined,Custom,
QB-SUPP-2000-GEN0481;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000-GEN0481,Term Annual;TermDefined,Yearly,
QB-API-GEN0498;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN0498,Term Annual;TermDefined,Yearly,
QB-API-GEN0498;TermDefined;Custom,,PPRS-000000007,QB-API-GEN0498,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN0565;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN0565,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC-GEN0565;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC-GEN0565,Term Annual;TermDefined,Custom,
QB-SUPP-2000-GEN0645;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000-GEN0645,Term Annual;TermDefined,Yearly,
QB-API-GEN0662;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN0662,Term Annual;TermDefined,Yearly,
QB-API-GEN0662;TermDefined;Custom,,PPRS-000000007,QB-API-GEN0662,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN0729;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN0729,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC-GEN0729;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC-GEN0729,Term Annual;TermDefined,Custom,
QB-SUPP-2000-GEN0809;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000-GEN0809,Term Annual;TermDefined,Yearly,
QB-API-GEN0826;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN0826,Term Annual;TermDefined,Yearly,
QB-API-GEN0826;TermDefined;Custom,,PPRS-000000007,QB-API-GEN0826,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN0893;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN0893,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC-GEN0893;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC-GEN0893,Term Annual;TermDefined,Custom,
QB-SUPP-2000-GEN0973;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000-GEN0973,Term Annual;TermDefined,Yearly,
QB-API-GEN0990;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN0990,Term Annual;TermDefined,Yearly,
QB-API-GEN0990;TermDefined;Custom,,PPRS-000000007,QB-API-GEN0990,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN1057;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN1057,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC-GEN1057;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC-GEN1057,Term Annual;TermDefined,Custom,
QB-SUPP-2000-GEN1137;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000-GEN1137,Term Annual;TermDefined,Yearly,
QB-API-GEN1154;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN1154,Term Annual;TermDefined,Yearly,
QB-API-GEN1154;TermDefined;Custom,,PPRS-000000007,QB-API-GEN1154,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN1221;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN1221,Term Annual;TermDefined,Yearly,
QB-GEN-AI-LIC-GEN1221;TermDefined;Custom,,PPRS-000000009,QB-GEN-AI-LIC-GEN1221,Term Annual;TermDefined,Custom,
QB-SUPP-2000-GEN1301;TermDefined;Yearly,,PPRS-000000010,QB-SUPP-2000-GEN1301,Term Annual;TermDefined,Yearly,
QB-API-GEN1318;TermDefined;Yearly,,PPRS-000000006,QB-API-GEN1318,Term Annual;TermDefined,Yearly,
QB-API-GEN1318;TermDefined;Custom,,PPRS-000000007,QB-API-GEN1318,Term Annual;TermDefined,Custom,
QB-GEN-AI-LIC-GEN1385;TermDefined;Yearly,,PPRS-000000008,QB-GEN-AI-LIC-GEN1385,Term Annual;TermDefined,Yearly,
