$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.$$Code$ParentProduct.StockKeepingUnit,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
QB-API;QB-COMPLETE;PCG-QB-SOFTWARE;Bundle to Bundle Component Relationship,QB-API,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,PCG-QB-SOFTWARE;QB-COMPLETE,Bundle to Bundle Component Relationship,1,,Always,20,
QB-API-MGMT;QB-COMPLETE;PCG-QB-SOFTWARE;Bundle to Bundle Component Relationship,QB-API-MGMT,,BundleComponent,,false,false,true,true,,,QB-COMPLETE,Bundle,,PCG-QB-SOFTWARE;QB-COMPLETE,Bundle to Bundle Component Relationship,1,,Always,10,
QB-API-REQT;QB-COMPLETE;PCG-QB-SOFTWARE;Bundle to Bundle Component Relationship,QB-API-REQT,,BundleComponent,,false,false,true,true,,,QB-COMPLETE,Bundle,,PCG-QB-SOFTWARE;QB-COMPLETE,Bundle to Bundle Component Relationship,100,,Always,70,
QB-AUT-CRED;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-AUT-CRED,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE;QB-COMPLETE,Bundle to Bundle Component Relationship,25,,Always,60,
QB-BDL-SRVC;QB-COMPLETE;PCG-QB-SERVICES;Bundle to Bundle Component Relationship,QB-BDL-SRVC,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-SERVICES;QB-COMPLETE,Bundle to Bundle Component Relationship,1,,Always,50,
QB-BET X710SFP;QB-BDL-R750;PCG-QB-SRV-NIC;Bundle to Bundle Component Relationship,QB-BET X710SFP,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-NIC;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,Always,2,
QB-CBOOST-150;QB-QRack-750;I/O;Bundle to Bundle Component Relationship,QB-CBOOST-150,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,I/O;QB-QRack-750,Bundle to Bundle Component Relationship,1,,Always,3,
QB-CPU-HEATSINK;QB-QRack-750;Cooling;Bundle to Bundle Component Relationship,QB-CPU-HEATSINK,,BundleComponent,,false,false,true,true,2,1,QB-QRack-750,Bundle,,Cooling;QB-QRack-750,Bundle to Bundle Component Relationship,1,,Always,1,
QB-DB;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-DB,,BundleComponent,,false,false,true,true,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE;QB-COMPLETE,Bundle to Bundle Component Relationship,1,,Always,5,
QB-FLO-STRT;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-FLO-STRT,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE;QB-COMPLETE,Bundle to Bundle Component Relationship,5,,Always,40,
