$$Product2.StockKeepingUnit$ProductSellingModel.Name,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
QB-API;Evergreen Monthly,false,QB-API,Evergreen Monthly;Evergreen,Default Proration Policy
QB-API;Term Annual,true,QB-API,Term Annual;TermDefined,Default Proration Policy
QB-API;Term Monthly,false,QB-API,Term Monthly;TermDefined,Default Proration Policy
QB-API-FLEX;Term Annual,true,QB-API-FLEX,Term Annual;TermDefined,Default Proration Policy
QB-API-GOVT;Term Annual,true,QB-API-GOVT,Term Annual;TermDefined,Default Proration Policy
QB-API-MGMT;Evergreen Monthly,false,QB-API-MGMT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-API-MGMT;Term Annual,true,QB-API-MGMT,Term Annual;TermDefined,Default Proration Policy
QB-API-MGMT;Term Monthly,false,QB-API-MGMT,Term Monthly;TermDefined,Default Proration Policy
QB-API-PREP;Term Annual,true,QB-API-PREP,Term Annual;TermDefined,Default Proration Policy
QB-API-PROD;Term Annual,true,QB-API-PROD,Term Annual;TermDefined,Default Proration Policy
QB-API-REQT;Evergreen Monthly,false,QB-API-REQT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-API-REQT;Term Annual,true,QB-API-REQT,Term Annual;TermDefined,Default Proration Policy
QB-API-REQT;Term Monthly,false,QB-API-REQT,Term Monthly;TermDefined,Default Proration Policy
QB-AUT-CRED;Evergreen Monthly,false,QB-AUT-CRED,Evergreen Monthly;Evergreen,Default Proration Policy
QB-AUT-CRED;Term Annual,true,QB-AUT-CRED,Term Annual;TermDefined,Default Proration Policy
QB-AUT-CRED;Term Monthly,false,QB-AUT-CRED,Term Monthly;TermDefined,Default Proration Policy
QB-BDL-R750;One-Time,true,QB-BDL-R750,One-Time;OneTime,
QB-BDL-SRVC;One-Time,true,QB-BDL-SRVC,One-Time;OneTime,
QB-BDL-STND;One-Time,true,QB-BDL-STND,One-Time;OneTime,
QB-BET X710SFP;One-Time,true,QB-BET X710SFP,One-Time;OneTime,
QB-CBOOST-150;One-Time,true,QB-CBOOST-150,One-Time;OneTime,
