$$Product2.StockKeepingUnit$ProductSellingModel.Name,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
QB-API;Evergreen - Monthly,false,QB-API,Evergreen - Monthly;Evergreen,Default Proration Policy
QB-API;Term Based - Yearly,true,QB-API,Term Based - Yearly;TermDefined,Default Proration Policy
QB-API;Term Based - Monthly,false,QB-API,Term Based - Monthly;TermDefined,Default Proration Policy
QB-API-FLEX;Term Based - Yearly,true,QB-API-FLEX,Term Based - Yearly;TermDefined,Default Proration Policy
QB-API-GOVT;Term Based - Yearly,true,QB-API-GOVT,Term Based - Yearly;TermDefined,Default Proration Policy
QB-API-MGMT;Evergreen - Monthly,false,QB-API-MGMT,Evergreen - Monthly;Evergreen,Default Proration Policy
QB-API-MGMT;Term Based - Yearly,true,QB-API-MGMT,Term Based - Yearly;TermDefined,Default Proration Policy
QB-API-MGMT;Term Based - Monthly,false,QB-API-MGMT,Term Based - Monthly;TermDefined,Default Proration Policy
QB-API-PREP;Term Based - Yearly,true,QB-API-PREP,Term Based - Yearly;TermDefined,Default Proration Policy
QB-API-PROD;Term Based - Yearly,true,QB-API-PROD,Term Based - Yearly;TermDefined,Default Proration Policy
QB-API-REQT;Evergreen - Monthly,false,QB-API-REQT,Evergreen - Monthly;Evergreen,Default Proration Policy
QB-API-REQT;Term Based - Yearly,true,QB-API-REQT,Term Based - Yearly;TermDefined,Default Proration Policy
QB-API-REQT;Term Based - Monthly,false,QB-API-REQT,Term Based - Monthly;TermDefined,Default Proration Policy
QB-AUT-CRED;Evergreen - Monthly,false,QB-AUT-CRED,Evergreen - Monthly;Evergreen,Default Proration Policy
QB-AUT-CRED;Term Based - Yearly,true,QB-AUT-CRED,Term Based - Yearly;TermDefined,Default Proration Policy
QB-AUT-CRED;Term Based - Monthly,false,QB-AUT-CRED,Term Based - Monthly;TermDefined,Default Proration Policy
QB-BDL-R750;One Time,true,QB-BDL-R750,One Time;OneTime,
QB-BDL-SRVC;One Time,true,QB-BDL-SRVC,One Time;OneTime,
QB-BDL-STND;One Time,true,QB-BDL-STND,One Time;OneTime,
QB-BET X710SFP;One Time,true,QB-BET X710SFP,One Time;OneTime,
QB-CBOOST-150;One Time,true,QB-CBOOST-150,One Time;OneTime,
QB-CMPC-5882;One Time,true,QB-CMPC-5882,One Time;OneTime,
QB-CMPC-5887;One Time,true,QB-CMPC-5887,One Time;OneTime,
QB-CMT-TKN-EACH;Term Based - Yearly,true,QB-CMT-TKN-EACH,Term Based - Yearly;TermDefined,Default Proration Policy
QB-CMT-TKN-FLAT;Term Based - Yearly,true,QB-CMT-TKN-FLAT,Term Based - Yearly;TermDefined,Default Proration Policy
QB-CMT-TKN-TIER;Term Based - Yearly,true,QB-CMT-TKN-TIER,Term Based - Yearly;TermDefined,Default Proration Policy
