Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.$$Code$Catalog.Code$ParentCategory.Code,ProductToCategory
CAT-QB-SFT,false,QB-API,CAT-QB-SFT,01tWs000008vajm0ZGWs000000dRdA
CAT-QB-SFT,false,QB-API-FLEX,CAT-QB-SFT,01tWs000008vajo0ZGWs000000dRdA
CAT-QB-SFT,false,QB-API-GOVT,CAT-QB-SFT,01tWs000008vajp0ZGWs000000dRdA
CAT-QB-SFT,false,QB-API-PREP,CAT-QB-SFT,01tWs000008vajr0ZGWs000000dRdA
CAT-QB-SFT,false,QB-API-PROD,CAT-QB-SFT,01tWs000008vajs0ZGWs000000dRdA
CAT-QB-SFT,false,QB-API-REQT,CAT-QB-SFT,01tWs000008vajt0ZGWs000000dRdA
CAT-QB-SFT,false,QB-AUT-CRED,CAT-QB-SFT,01tWs000008vaju0ZGWs000000dRdA
CAT-QB-SFT,false,QB-BDL-CRTL,CAT-QB-SFT,01tWs000008vajv0ZGWs000000dRdB
CAT-QB-SFT,false,QB-BDL-ENTR,CAT-QB-SFT,01tWs000008vajw0ZGWs000000dRdB
CAT-QB-HW,false,QB-BDL-R750,CAT-QB-HW,01tWs000008vajx0ZGWs000000dRd9
CAT-QB-SRV,false,QB-BDL-SRVC,CAT-QB-SRV,01tWs000008vajz0ZGWs000000dRdG
CAT-QB-SFT,false,QB-BDL-STND,CAT-QB-SFT,01tWs000008vak00ZGWs000000dRdB
CAT-QB-HW,false,QB-BET X710SFP,CAT-QB-HW,01tWs000008vak10ZGWs000000dRd7
CAT-QB-HW,false,QB-BMX-1050,CAT-QB-HW,01tWs000008vak20ZGWs000000dRd3
CAT-QB-HW,false,QB-BMX-1051,CAT-QB-HW,01tWs000008vak30ZGWs000000dRd3
CAT-QB-HW,false,QB-BMX-1053,CAT-QB-HW,01tWs000008vak40ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5881,CAT-QB-HW,01tWs000008vakC0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5882,CAT-QB-HW,01tWs000008vakD0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5883,CAT-QB-HW,01tWs000008vakE0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5884,CAT-QB-HW,01tWs000008vakF0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5887,CAT-QB-HW,01tWs000008vakG0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5888,CAT-QB-HW,01tWs000008vakH0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5889,CAT-QB-HW,01tWs000008vakI0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5890,CAT-QB-HW,01tWs000008vakJ0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5891,CAT-QB-HW,01tWs000008vakK0ZGWs000000dRd3
CAT-QB-HW,false,QB-CMPC-5892,CAT-QB-HW,01tWs000008vakL0ZGWs000000dRd3
CAT-QB-SFT,false,QB-COMPLETE,CAT-QB-SFT,01tWs000008vakM0ZGWs000000dRdB
CAT-QB-SFT,false,QB-CS,CAT-QB-SFT,01tWs000008vakO0ZGWs000000dRdE
CAT-QB-SFT,false,QB-DAT-GRPH,CAT-QB-SFT,01tWs000008vakP0ZGWs000000dRdA
CAT-QB-SFT,false,QB-DB,CAT-QB-SFT,01tWs000008vakT0ZGWs000000dRdC
CAT-QB-SFT,false,QB-GEN-AI-LIC,CAT-QB-SFT,01tWs000008vakW0ZGWs000000dRdC
