$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
PC-QB-API;ATTR-QB-API;AC-QB-API,AC-QB-API,ATTR-QB-API,Type,Flex,,,,false,true,false,false,,,,,Type,PC-QB-API,,Active,,,
PC-QB-CABLES;ATTR-QB-CONNECTOR,,ATTR-QB-CONNECTOR,Connector Type,C13 to C14,,,,false,false,false,false,,,,,Connector Type,PC-QB-CABLES,,Inactive,,,
PC-QB-CABLES;ATTR-QB-LENGTH,,ATTR-QB-LENGTH,Cable Length,3,,,,false,false,false,false,,,,,Length,PC-QB-CABLES,,Active,,,
PC-QB-COMPLETE;ATTR-QB-BASECORECNT;AC-QB-SPEC,AC-QB-SPEC,ATTR-QB-BASECORECNT,Base Core Count,4,,RadioButton,,false,false,false,false,,,,,Base Core Count,PC-QB-COMPLETE,20,Active,,,
PC-QB-COMPLETE;ATTR-QB-DATAUTIL;AC-QB-UTILIZATION,AC-QB-UTILIZATION,ATTR-QB-DATAUTIL,Data Utilization,0,,,,false,false,false,false,,,,,Data Utilization,PC-QB-COMPLETE,30,Active,,,
PC-QB-COMPLETE;ATTR-QB-OS;AC-QB-OS,AC-QB-OS,ATTR-QB-OS,Operating System,Amazon Linux 2,,RadioButton,,false,false,false,false,,,,,Operating System,PC-QB-COMPLETE,10,Active,,,
PC-QB-CPU;ATTR-QB-CPUFRQ;AC-QB-CPU,AC-QB-CPU,ATTR-QB-CPUFRQ,Processor Frequency,3.2GHz,,,,false,false,false,false,,,,,Processor_Frequency,PC-QB-CPU,,Active,,,
PC-QB-MEMORY;ATTR-QB-RAM;AC-QB-RAM,AC-QB-RAM,ATTR-QB-RAM,Memory Config,Performance_Optimized,,,,false,false,false,false,,,,,Memory_Config,PC-QB-MEMORY,,Active,,,
PC-QB-MEMORY;ATTR-QB-RAMMAX;AC-QB-RAM,AC-QB-RAM,ATTR-QB-RAMMAX,Memory Capacity,8GB,,,,false,false,false,false,,,,,Memory_Capacity,PC-QB-MEMORY,,Active,,,
PC-QB-NIC;ATTR-QB-NIC;AC-QB-NIC,AC-QB-NIC,ATTR-QB-NIC,Network Adapter Type,Direct_Attach,,,,false,false,false,false,,,,,NIC_Type,PC-QB-NIC,,Active,,,
PC-QB-PS-RESOURCES;ATTR-QB-PS-ENGOPTIONS;AC-QB-PS-ENGRESOURCES,AC-QB-PS-ENGRESOURCES,ATTR-QB-PS-ENGOPTIONS,Engineering Options,Extended_Care,,,,false,false,false,false,,,,,Engineering_Options,PC-QB-PS-RESOURCES,,Active,,,
PC-QB-PS-RESOURCES;ATTR-QB-PSRESOURCELOCATION;AC-QB-PS-ENGRESOURCES,AC-QB-PS-ENGRESOURCES,ATTR-QB-PSRESOURCELOCATION,Resource Location,Onsite,,,,false,false,false,false,,,,,Resource_Location,PC-QB-PS-RESOURCES,,Active,,,
PC-QB-PSBUNDLE;ATTR-QB-PS-NOTES;AC-QB-PSBUNDLE,AC-QB-PSBUNDLE,ATTR-QB-PS-NOTES,Notes and Assumptions,Insert Notes Here,,,,false,false,false,false,,,,,Notes and Assumptions,PC-QB-PSBUNDLE,,Active,,,
PC-QB-SERVER;ATTR-QB-SRVCONFIG;AC-QB-SERVER,AC-QB-SERVER,ATTR-QB-SRVCONFIG,Server Configuration,Security,,,,false,false,false,false,,,,,Server Configuration,PC-QB-SERVER,,Active,,,
PC-QB-STARTER;ATTR-QB-DATATHROUGHPUTTB;AC-QB,AC-QB,ATTR-QB-DATATHROUGHPUTTB,Data Throughput in TB,0,,,,false,true,false,false,,,,,Data Throughput (TB),PC-QB-STARTER,,Active,,,
PC-QB-STARTER;ATTR-QB-FLOWS;AC-QB,AC-QB,ATTR-QB-FLOWS,Flows,1000,,,,false,true,false,false,,,,,Flows,PC-QB-STARTER,,Active,,,
PC-QB-STARTER;ATTR-QB-MESSAGES;AC-QB,AC-QB,ATTR-QB-MESSAGES,Messages Million,60,,,,false,true,false,false,,,,,Messages (Million),PC-QB-STARTER,,Active,,,
PC-QB-STORAGE;ATTR-QB-DATASTORAGE;AC-QB-STORAGE,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,PC-QB-STORAGE,,Active,,,
PC-QB-SUB;ATTR-QB-SUBTYPE;AC-QB-PS-SUBTYPE,AC-QB-PS-SUBTYPE,ATTR-QB-SUBTYPE,Subscription Type,Evergreen,,,,false,false,false,false,,,,,SubscriptionType,PC-QB-SUB,,Active,,,
