$$AttributeBasedAdjRule.Name$AttributeDefinition.Code$Product.StockKeepingUnit,AttributeBasedAdjRule.Name,AttributeDefinition.Code,BooleanValue,DateTimeValue,DateValue,DoubleValue,IntegerValue,Operator,Product.StockKeepingUnit,StringValue
Rule_1724814105445;ATTR-QB-API;QB-API,Rule_1724814105445,ATTR-QB-API,,,,,,equals,QB-API,Flex
Rule_1724814147720;ATTR-QB-API;QB-API,Rule_1724814147720,ATTR-QB-API,,,,,,equals,QB-API,Pre-Prod
Rule_1724814176583;ATTR-QB-API;QB-API,Rule_1724814176583,ATTR-QB-API,,,,,,equals,QB-API,Prod
Rule_1724814263993;ATTR-QB-API;QB-API,Rule_1724814263993,ATTR-QB-API,,,,,,equals,QB-API,Gov
Rule_1724814105445-QB-API-GEN0170;ATTR-QB-API;QB-API-GEN0170,Rule_1724814105445-QB-API-GEN0170,ATTR-QB-API,,,,,,equals,QB-API-GEN0170,Flex
Rule_1724814147720-QB-API-GEN0170;ATTR-QB-API;QB-API-GEN0170,Rule_1724814147720-QB-API-GEN0170,ATTR-QB-API,,,,,,equals,QB-API-GEN0170,Pre-Prod
Rule_1724814176583-QB-API-GEN0170;ATTR-QB-API;QB-API-GEN0170,Rule_1724814176583-QB-API-GEN0170,ATTR-QB-API,,,,,,equals,QB-API-GEN0170,Prod
Rule_1724814263993-QB-API-GEN0170;ATTR-QB-API;QB-API-GEN0170,Rule_1724814263993-QB-API-GEN0170,ATTR-QB-API,,,,,,equals,QB-API-GEN0170,Gov
Rule_1724814105445-QB-API-GEN0334;ATTR-QB-API;QB-API-GEN0334,Rule_1724814105445-QB-API-GEN0334,ATTR-QB-API,,,,,,equals,QB-API-GEN0334,Flex
Rule_1724814147720-QB-API-GEN0334;ATTR-QB-API;QB-API-GEN0334,Rule_1724814147720-QB-API-GEN0334,ATTR-QB-API,,,,,,equals,QB-API-GEN0334,Pre-Prod
Rule_1724814176583-QB-API-GEN0334;ATTR-QB-API;QB-API-GEN0334,Rule_1724814176583-QB-API-GEN0334,ATTR-QB-API,,,,,,equals,QB-API-GEN0334,Prod
Rule_1724814263993-QB-API-GEN0334;ATTR-QB-API;QB-API-GEN0334,Rule_1724814263993-QB-API-GEN0334,ATTR-QB-API,,,,,,equals,QB-API-GEN0334,Gov
Rule_1724814105445-QB-API-GEN0498;ATTR-QB-API;QB-API-GEN0498,Rule_1724814105445-QB-API-GEN0498,ATTR-QB-API,,,,,,equals,QB-API-GEN0498,Flex
Rule_1724814147720-QB-API-GEN0498;ATTR-QB-API;QB-API-GEN0498,Rule_1724814147720-QB-API-GEN0498,ATTR-QB-API,,,,,,equals,QB-API-GEN0498,Pre-Prod
Rule_1724814176583-QB-API-GEN0498;ATTR-QB-API;QB-API-GEN0498,Rule_1724814176583-QB-API-GEN0498,ATTR-QB-API,,,,,,equals,QB-API-GEN0498,Prod
Rule_1724814263993-QB-API-GEN0498;ATTR-QB-API;QB-API-GEN0498,Rule_1724814263993-QB-API-GEN0498,ATTR-QB-API,,,,,,equals,QB-API-GEN0498,Gov
Rule_1724814105445-QB-API-GEN0662;ATTR-QB-API;QB-API-GEN0662,Rule_1724814105445-QB-API-GEN0662,ATTR-QB-API,,,,,,equals,QB-API-GEN0662,Flex
Rule_1724814147720-QB-API-GEN0662;ATTR-QB-API;QB-API-GEN0662,Rule_1724814147720-QB-API-GEN0662,ATTR-QB-API,,,,,,equals,QB-API-GEN0662,Pre-Prod
Rule_1724814176583-QB-API-GEN0662;ATTR-QB-API;QB-API-GEN0662,Rule_1724814176583-QB-API-GEN0662,ATTR-QB-API,,,,,,equals,QB-API-GEN0662,Prod
Rule_1724814263993-QB-API-GEN0662;ATTR-QB-API;QB-API-GEN0662,Rule_1724814263993-QB-API-GEN0662,ATTR-QB-API,,,,,,equals,QB-API-GEN0662,Gov
Rule_1724814105445-QB-API-GEN0826;ATTR-QB-API;QB-API-GEN0826,Rule_1724814105445-QB-API-GEN0826,ATTR-QB-API,,,,,,equals,QB-API-GEN0826,Flex
Rule_1724814147720-QB-API-GEN0826;ATTR-QB-API;QB-API-GEN0826,Rule_1724814147720-QB-API-GEN0826,ATTR-QB-API,,,,,,equals,QB-API-GEN0826,Pre-Prod
Rule_1724814176583-QB-API-GEN0826;ATTR-QB-API;QB-API-GEN0826,Rule_1724814176583-QB-API-GEN0826,ATTR-QB-API,,,,,,equals,QB-API-GEN0826,Prod
Rule_1724814263993-QB-API-GEN0826;ATTR-QB-API;QB-API-GEN0826,Rule_1724814263993-QB-API-GEN0826,ATTR-QB-API,,,,,,equals,QB-API-GEN0826,Gov
Rule_1724814105445-QB-API-GEN0990;ATTR-QB-API;QB-API-GEN0990,Rule_1724814105445-QB-API-GEN0990,ATTR-QB-API,,,,,,equals,QB-API-GEN0990,Flex
Rule_1724814147720-QB-API-GEN0990;ATTR-QB-API;QB-API-GEN0990,Rule_1724814147720-QB-API-GEN0990,ATTR-QB-API,,,,,,equals,QB-API-GEN0990,Pre-Prod
Rule_1724814176583-QB-API-GEN0990;ATTR-QB-API;QB-API-GEN0990,Rule_1724814176583-QB-API-GEN0990,ATTR-QB-API,,,,,,equals,QB-API-GEN0990,Prod
Rule_1724814263993-QB-API-GEN0990;ATTR-QB-API;QB-API-GEN0990,Rule_1724814263993-QB-API-GEN0990,ATTR-QB-API,,,,,,equals,QB-API-GEN0990,Gov
Rule_1724814105445-QB-API-GEN1154;ATTR-QB-API;QB-API-GEN1154,Rule_1724814105445-QB-API-GEN1154,ATTR-QB-API,,,,,,equals,QB-API-GEN1154,Flex
Rule_1724814147720-QB-API-GEN1154;ATTR-QB-API;QB-API-GEN1154,Rule_1724814147720-QB-API-GEN1154,ATTR-QB-API,,,,,,equals,QB-API-GEN1154,Pre-Prod
Rule_1724814176583-QB-API-GEN1154;ATTR-QB-API;QB-API-GEN1154,Rule_1724814176583-QB-API-GEN1154,ATTR-QB-API,,,,,,equals,QB-API-GEN1154,Prod
Rule_1724814263993-QB-API-GEN1154;ATTR-QB-API;QB-API-GEN1154,Rule_1724814263993-QB-API-GEN1154,ATTR-QB-API,,,,,,equals,QB-API-GEN1154,Gov
Rule_1724814105445-QB-API-GEN1318;ATTR-QB-API;QB-API-GEN1318,Rule_1724814105445-QB-API-GEN1318,ATTR-QB-API,,,,,,equals,QB-API-GEN1318,Flex
Rule_1724814147720-QB-API-GEN1318;ATTR-QB-API;QB-API-GEN1318,Rule_1724814147720-QB-API-GEN1318,ATTR-QB-API,,,,,,equals,QB-API-GEN1318,Pre-Prod
Rule_1724814176583-QB-API-GEN1318;ATTR-QB-API;QB-API-GEN1318,Rule_1724814176583-QB-API-GEN1318,ATTR-QB-API,,,,,,equals,QB-API-GEN1318,Prod
Rule_1724814263993-QB-API-GEN1318;ATTR-QB-API;QB-API-GEN1318,Rule_1724814263993-QB-API-GEN1318,ATTR-QB-API,,,,,,equals,QB-API-GEN1318,Gov
Rule_1724814105445-QB-API-GEN1482;ATTR-QB-API;QB-API-GEN1482,Rule_1724814105445-QB-API-GEN1482,ATTR-QB-API,,,,,,equals,QB-API-GEN1482,Flex
Rule_1724814147720-QB-API-GEN1482;ATTR-QB-API;QB-API-GEN1482,Rule_1724814147720-QB-API-GEN1482,ATTR-QB-API,,,,,,equals,QB-API-GEN1482,Pre-Prod
Rule_1724814176583-QB-API-GEN1482;ATTR-QB-API;QB-API-GEN1482,Rule_1724814176583-QB-API-GEN1482,ATTR-QB-API,,,,,,equals,QB-API-GEN1482,Prod
Rule_1724814263993-QB-API-GEN1482;ATTR-QB-API;QB-API-GEN1482,Rule_1724814263993-QB-API-GEN1482,ATTR-QB-API,,,,,,equals,QB-API-GEN1482,Gov
Rule_1724814105445-QB-API-GEN1646;ATTR-QB-API;QB-API-GEN1646,Rule_1724814105445-QB-API-GEN1646,ATTR-QB-API,,,,,,equals,QB-API-GEN1646,Flex
Rule_1724814147720-QB-API-GEN1646;ATTR-QB-API;QB-API-GEN1646,Rule_1724814147720-QB-API-GEN1646,ATTR-QB-API,,,,,,equals,QB-API-GEN1646,Pre-Prod
Rule_1724814176583-QB-API-GEN1646;ATTR-QB-API;QB-API-GEN1646,Rule_1724814176583-QB-API-GEN1646,ATTR-QB-API,,,,,,equals,QB-API-GEN1646,Prod
Rule_1724814263993-QB-API-GEN1646;ATTR-QB-API;QB-API-GEN1646,Rule_1724814263993-QB-API-GEN1646,ATTR-QB-API,,,,,,equals,QB-API-GEN1646,Gov
Rule_1724814105445-QB-API-GEN1810;ATTR-QB-API;QB-API-GEN1810,Rule_1724814105445-QB-API-GEN1810,ATTR-QB-API,,,,,,equals,QB-API-GEN1810,Flex
Rule_1724814147720-QB-API-GEN1810;ATTR-QB-API;QB-API-GEN1810,Rule_1724814147720-QB-API-GEN1810,ATTR-QB-API,,,,,,equals,QB-API-GEN1810,Pre-Prod
Rule_1724814176583-QB-API-GEN1810;ATTR-QB-API;QB-API-GEN1810,Rule_1724814176583-QB-API-GEN1810,ATTR-QB-API,,,,,,equals,QB-API-GEN1810,Prod
Rule_1724814263993-QB-API-GEN1810;ATTR-QB-API;QB-API-GEN1810,Rule_1724814263993-QB-API-GEN1810,ATTR-QB-API,,,,,,equals,QB-API-GEN1810,Gov
Rule_1724814105445-QB-API-GEN1974;ATTR-QB-API;QB-API-GEN1974,Rule_1724814105445-QB-API-GEN1974,ATTR-QB-API,,,,,,equals,QB-API-GEN1974,Flex
Rule_1724814147720-QB-API-GEN1974;ATTR-QB-API;QB-API-GEN1974,Rule_1724814147720-QB-API-GEN1974,ATTR-QB-API,,,,,,equals,QB-API-GEN1974,Pre-Prod
Rule_1724814176583-QB-API-GEN1974;ATTR-QB-API;QB-API-GEN1974,Rule_1724814176583-QB-API-GEN1974,ATTR-QB-API,,,,,,equals,QB-API-GEN1974,Prod
Rule_1724814263993-QB-API-GEN1974;ATTR-QB-API;QB-API-GEN1974,Rule_1724814263993-QB-API-GEN1974,ATTR-QB-API,,,,,,equals,QB-API-GEN1974,Gov
Rule_1724814105445-QB-API-GEN2138;ATTR-QB-API;QB-API-GEN2138,Rule_1724814105445-QB-API-GEN2138,ATTR-QB-API,,,,,,equals,QB-API-GEN2138,Flex
Rule_1724814147720-QB-API-GEN2138;ATTR-QB-API;QB-API-GEN2138,Rule_1724814147720-QB-API-GEN2138,ATTR-QB-API,,,,,,equals,QB-API-GEN2138,Pre-Prod
Rule_1724814176583-QB-API-GEN2138;ATTR-QB-API;QB-API-GEN2138,Rule_1724814176583-QB-API-GEN2138,ATTR-QB-API,,,,,,equals,QB-API-GEN2138,Prod
Rule_1724814263993-QB-API-GEN2138;ATTR-QB-API;QB-API-GEN2138,Rule_1724814263993-QB-API-GEN2138,ATTR-QB-API,,,,,,equals,QB-API-GEN2138,Gov
