$$AttributeBasedAdjRule.Name$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,AttributeAdjConditionsHash,AttributeBasedAdjRule.Name,AttributeCount,CurrencyIsoCode,EffectiveFrom,EffectiveTo,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode$Pricebook2.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Rule_1724814105445;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN0170;Standard Attribute Based Adjustment;QB-API-GEN0170;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN0170,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0170,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN0170;Standard Attribute Based Adjustment;QB-API-GEN0170;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN0170,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0170,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN0170;Standard Attribute Based Adjustment;QB-API-GEN0170;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN0170,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0170,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN0170;Standard Attribute Based Adjustment;QB-API-GEN0170;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN0170,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0170,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN0334;Standard Attribute Based Adjustment;QB-API-GEN0334;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN0334,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0334,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN0334;Standard Attribute Based Adjustment;QB-API-GEN0334;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN0334,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0334,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN0334;Standard Attribute Based Adjustment;QB-API-GEN0334;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN0334,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0334,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN0334;Standard Attribute Based Adjustment;QB-API-GEN0334;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN0334,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0334,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN0498;Standard Attribute Based Adjustment;QB-API-GEN0498;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN0498,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0498,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN0498;Standard Attribute Based Adjustment;QB-API-GEN0498;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN0498,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0498,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN0498;Standard Attribute Based Adjustment;QB-API-GEN0498;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN0498,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0498,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN0498;Standard Attribute Based Adjustment;QB-API-GEN0498;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN0498,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0498,Term Annual;TermDefined,Attribute,TermDefined
