$$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ParentProduct.StockKeepingUnit$RootBundle.StockKeepingUnit$ProductSellingModel.Name$ParentProductSellingModel.Name$RootProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,CurrencyIsoCode,EffectiveFrom,EffectiveTo,Name,ParentProduct.StockKeepingUnit,ParentProductSellingModel.$$Name$SellingModelType,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode$Pricebook2.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,RootBundle.StockKeepingUnit,RootProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0170;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0170,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0170;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0170,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0210;QB-COMPLETE-GEN0210;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN0210,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0210,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0210;QB-COMPLETE-GEN0210;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN0210,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0210,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0334;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0334,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0334;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0334,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0374;QB-COMPLETE-GEN0374;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN0374,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0374,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0374;QB-COMPLETE-GEN0374;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN0374,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0374,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0498;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0498,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0498;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0498,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0538;QB-COMPLETE-GEN0538;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN0538,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0538,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0538;QB-COMPLETE-GEN0538;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN0538,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0538,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0662;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0662,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0662;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0662,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0702;QB-COMPLETE-GEN0702;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN0702,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0702,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0702;QB-COMPLETE-GEN0702;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN0702,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0702,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0826;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0826,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0826;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0826,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0866;QB-COMPLETE-GEN0866;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN0866,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0866,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN0866;QB-COMPLETE-GEN0866;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN0866,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN0866,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0990;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0990,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN0990;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0990,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1030;QB-COMPLETE-GEN1030;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN1030,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1030,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1030;QB-COMPLETE-GEN1030;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN1030,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1030,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1154;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1154,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1154;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1154,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1194;QB-COMPLETE-GEN1194;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN1194,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1194,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1194;QB-COMPLETE-GEN1194;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN1194,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1194,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1318;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1318,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1318;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1318,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1358;QB-COMPLETE-GEN1358;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN1358,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1358,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1358;QB-COMPLETE-GEN1358;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN1358,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1358,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1482;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1482,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1482;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1482,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1522;QB-COMPLETE-GEN1522;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN1522,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1522,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1522;QB-COMPLETE-GEN1522;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN1522,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1522,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1646;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1646,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
