$$Pricebook.Name$PricebookEntry.Name$Product.StockKeepingUnit$ContributingProduct.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,ContributingProduct.StockKeepingUnit,CurrencyIsoCode,DerivedPricingScope,EffectiveFrom,EffectiveTo,Formula,Pricebook.$$Name$IsStandard,PricebookEntry.$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,PricingSource,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType
Standard Price Book;Software Maintenance;QB-SUPP-2000;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance;Standard Price Book;QB-SUPP-2000;Term Annual;USD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;Software Maintenance;QB-SUPP-2000;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance;Standard Price Book;QB-SUPP-2000;Term Annual;USD,Product,QB-SUPP-2000,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0317;QB-SUPP-2000-GEN0317;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0317;Standard Price Book;QB-SUPP-2000-GEN0317;Term Annual;USD,Product,QB-SUPP-2000-GEN0317,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0317;QB-SUPP-2000-GEN0317;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0317;Standard Price Book;QB-SUPP-2000-GEN0317;Term Annual;USD,Product,QB-SUPP-2000-GEN0317,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0481;QB-SUPP-2000-GEN0481;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0481;Standard Price Book;QB-SUPP-2000-GEN0481;Term Annual;USD,Product,QB-SUPP-2000-GEN0481,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0481;QB-SUPP-2000-GEN0481;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0481;Standard Price Book;QB-SUPP-2000-GEN0481;Term Annual;USD,Product,QB-SUPP-2000-GEN0481,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0645;QB-SUPP-2000-GEN0645;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0645;Standard Price Book;QB-SUPP-2000-GEN0645;Term Annual;USD,Product,QB-SUPP-2000-GEN0645,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0645;QB-SUPP-2000-GEN0645;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0645;Standard Price Book;QB-SUPP-2000-GEN0645;Term Annual;USD,Product,QB-SUPP-2000-GEN0645,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0809;QB-SUPP-2000-GEN0809;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0809;Standard Price Book;QB-SUPP-2000-GEN0809;Term Annual;USD,Product,QB-SUPP-2000-GEN0809,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0809;QB-SUPP-2000-GEN0809;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0809;Standard Price Book;QB-SUPP-2000-GEN0809;Term Annual;USD,Product,QB-SUPP-2000-GEN0809,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0973;QB-SUPP-2000-GEN0973;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0973;Standard Price Book;QB-SUPP-2000-GEN0973;Term Annual;USD,Product,QB-SUPP-2000-GEN0973,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN0973;QB-SUPP-2000-GEN0973;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN0973;Standard Price Book;QB-SUPP-2000-GEN0973;Term Annual;USD,Product,QB-SUPP-2000-GEN0973,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1137;QB-SUPP-2000-GEN1137;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1137;Standard Price Book;QB-SUPP-2000-GEN1137;Term Annual;USD,Product,QB-SUPP-2000-GEN1137,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1137;QB-SUPP-2000-GEN1137;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1137;Standard Price Book;QB-SUPP-2000-GEN1137;Term Annual;USD,Product,QB-SUPP-2000-GEN1137,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1301;QB-SUPP-2000-GEN1301;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1301;Standard Price Book;QB-SUPP-2000-GEN1301;Term Annual;USD,Product,QB-SUPP-2000-GEN1301,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1301;QB-SUPP-2000-GEN1301;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1301;Standard Price Book;QB-SUPP-2000-GEN1301;Term Annual;USD,Product,QB-SUPP-2000-GEN1301,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1465;QB-SUPP-2000-GEN1465;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1465;Standard Price Book;QB-SUPP-2000-GEN1465;Term Annual;USD,Product,QB-SUPP-2000-GEN1465,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1465;QB-SUPP-2000-GEN1465;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1465;Standard Price Book;QB-SUPP-2000-GEN1465;Term Annual;USD,Product,QB-SUPP-2000-GEN1465,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1629;QB-SUPP-2000-GEN1629;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1629;Standard Price Book;QB-SUPP-2000-GEN1629;Term Annual;USD,Product,QB-SUPP-2000-GEN1629,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1629;QB-SUPP-2000-GEN1629;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1629;Standard Price Book;QB-SUPP-2000-GEN1629;Term Annual;USD,Product,QB-SUPP-2000-GEN1629,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1793;QB-SUPP-2000-GEN1793;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1793;Standard Price Book;QB-SUPP-2000-GEN1793;Term Annual;USD,Product,QB-SUPP-2000-GEN1793,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1793;QB-SUPP-2000-GEN1793;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1793;Standard Price Book;QB-SUPP-2000-GEN1793;Term Annual;USD,Product,QB-SUPP-2000-GEN1793,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1957;QB-SUPP-2000-GEN1957;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1957;Standard Price Book;QB-SUPP-2000-GEN1957;Term Annual;USD,Product,QB-SUPP-2000-GEN1957,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN1957;QB-SUPP-2000-GEN1957;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN1957;Standard Price Book;QB-SUPP-2000-GEN1957;Term Annual;USD,Product,QB-SUPP-2000-GEN1957,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2121;QB-SUPP-2000-GEN2121;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2121;Standard Price Book;QB-SUPP-2000-GEN2121;Term Annual;USD,Product,QB-SUPP-2000-GEN2121,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2121;QB-SUPP-2000-GEN2121;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2121;Standard Price Book;QB-SUPP-2000-GEN2121;Term Annual;USD,Product,QB-SUPP-2000-GEN2121,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2285;QB-SUPP-2000-GEN2285;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2285;Standard Price Book;QB-SUPP-2000-GEN2285;Term Annual;USD,Product,QB-SUPP-2000-GEN2285,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2285;QB-SUPP-2000-GEN2285;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2285;Standard Price Book;QB-SUPP-2000-GEN2285;Term Annual;USD,Product,QB-SUPP-2000-GEN2285,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2449;QB-SUPP-2000-GEN2449;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2449;Standard Price Book;QB-SUPP-2000-GEN2449;Term Annual;USD,Product,QB-SUPP-2000-GEN2449,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2449;QB-SUPP-2000-GEN2449;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2449;Standard Price Book;QB-SUPP-2000-GEN2449;Term Annual;USD,Product,QB-SUPP-2000-GEN2449,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2613;QB-SUPP-2000-GEN2613;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2613;Standard Price Book;QB-SUPP-2000-GEN2613;Term Annual;USD,Product,QB-SUPP-2000-GEN2613,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2613;QB-SUPP-2000-GEN2613;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2613;Standard Price Book;QB-SUPP-2000-GEN2613;Term Annual;USD,Product,QB-SUPP-2000-GEN2613,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2777;QB-SUPP-2000-GEN2777;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2777;Standard Price Book;QB-SUPP-2000-GEN2777;Term Annual;USD,Product,QB-SUPP-2000-GEN2777,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2777;QB-SUPP-2000-GEN2777;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2777;Standard Price Book;QB-SUPP-2000-GEN2777;Term Annual;USD,Product,QB-SUPP-2000-GEN2777,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2941;QB-SUPP-2000-GEN2941;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2941;Standard Price Book;QB-SUPP-2000-GEN2941;Term Annual;USD,Product,QB-SUPP-2000-GEN2941,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN2941;QB-SUPP-2000-GEN2941;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN2941;Standard Price Book;QB-SUPP-2000-GEN2941;Term Annual;USD,Product,QB-SUPP-2000-GEN2941,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3105;QB-SUPP-2000-GEN3105;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3105;Standard Price Book;QB-SUPP-2000-GEN3105;Term Annual;USD,Product,QB-SUPP-2000-GEN3105,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3105;QB-SUPP-2000-GEN3105;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3105;Standard Price Book;QB-SUPP-2000-GEN3105;Term Annual;USD,Product,QB-SUPP-2000-GEN3105,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3269;QB-SUPP-2000-GEN3269;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3269;Standard Price Book;QB-SUPP-2000-GEN3269;Term Annual;USD,Product,QB-SUPP-2000-GEN3269,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3269;QB-SUPP-2000-GEN3269;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3269;Standard Price Book;QB-SUPP-2000-GEN3269;Term Annual;USD,Product,QB-SUPP-2000-GEN3269,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3433;QB-SUPP-2000-GEN3433;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3433;Standard Price Book;QB-SUPP-2000-GEN3433;Term Annual;USD,Product,QB-SUPP-2000-GEN3433,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3433;QB-SUPP-2000-GEN3433;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3433;Standard Price Book;QB-SUPP-2000-GEN3433;Term Annual;USD,Product,QB-SUPP-2000-GEN3433,Term Annual;TermDefined
