$$Product.StockKeepingUnit$RateCardEntry.Name$RateUnitOfMeasure.UnitCode$UsageResource.Code,AdjustmentType,AdjustmentValue,EffectiveFrom,EffectiveTo,LowerBound,Product.StockKeepingUnit,ProductSellingModel.Name,RateCardEntry.$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Name,RateCardEntryStatus,RateUnitOfMeasure.Name,RateUnitOfMeasureName,UpperBound,UsageResource.Name
BES;RCE-00000031;USD;EM-USG,Percentage,15,2025-01-28T20:00:00.000+0000,,0,BES,Term Monthly,BES;Tier Rate Card;Emails,Inactive,USD,USD,,Emails
BES;RCE-00000032;USD;EM-USG,Percentage,5,2025-01-28T20:00:00.000+0000,,0,BES,Term Monthly,BES;Tier Rate Card;Emails,Active,USD,USD,,Emails
QB-CMT-TKN-EACH;RCE-00000009;TOKEN-UOM;UR-CPUTIME,Percentage,5,2025-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;Compute Time,Active,Tokens,Tokens,,Compute Time
QB-CMT-TKN-EACH;RCE-00000010;TOKEN-UOM;UR-DATASTORAGE,Percentage,4,2025-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;Data Storage,Active,Tokens,Tokens,,Data Storage
QB-CMT-TKN-EACH;RCE-00000011;TOKEN-UOM;QB-TOKEN,Percentage,6,2025-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;Quantum Tokens,Active,Tokens,Tokens,,Quantum Tokens
QB-CMT-TKN-FLAT;RCE-00000016;TOKEN-UOM,Percentage,10,2025-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card,Active,Tokens,Tokens,,
QB-CMT-TKN-FLAT;RCE-00000017;USD;QB-TOKEN,Percentage,0,2025-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;Quantum Tokens,Active,USD,USD,,Quantum Tokens
QB-CMT-TKN-TIER;RCE-00000018;TOKEN-UOM,Percentage,30,2025-01-01T20:00:00.000+0000,,5000,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card,Active,Tokens,Tokens,,
QB-CMT-TKN-TIER;RCE-00000018;TOKEN-UOM,Percentage,20,2025-01-01T20:00:00.000+0000,,1000,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card,Active,Tokens,Tokens,5000,
QB-CMT-TKN-TIER;RCE-00000018;TOKEN-UOM,Percentage,10,2025-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card,Active,Tokens,Tokens,1000,
QB-CMT-TKN-TIER;RCE-00000019;USD;QB-TOKEN,Percentage,0,2025-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;Quantum Tokens,Active,USD,USD,,Quantum Tokens
QB-DB;RCE-00000005;USD;UR-CPUTIME,Override,0.004,2024-10-01T19:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;Compute Time,Active,USD,USD,100,Compute Time
QB-DB;RCE-00000005;USD;UR-CPUTIME,Override,0.006,2024-10-01T19:00:00.000+0000,,300,QB-DB,Term Annual,QB-DB;Tier Rate Card;Compute Time,Active,USD,USD,999999999,Compute Time
QB-DB;RCE-00000005;USD;UR-CPUTIME,Override,0.005,2024-10-01T19:00:00.000+0000,,200,QB-DB,Term Annual,QB-DB;Tier Rate Card;Compute Time,Active,USD,USD,300,Compute Time
QB-DB;RCE-00000005;USD;UR-CPUTIME,Override,0.0045,2024-10-01T19:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;Compute Time,Active,USD,USD,200,Compute Time
QB-DB;RCE-00000006;USD;UR-DATASTORAGE,Override,15,2024-10-01T19:00:00.000+0000,,500,QB-DB,Term Annual,QB-DB;Tier Rate Card;Data Storage,Active,USD,USD,5000,Data Storage
QB-DB;RCE-00000006;USD;UR-DATASTORAGE,Override,18,2024-10-01T19:00:00.000+0000,,5000,QB-DB,Term Annual,QB-DB;Tier Rate Card;Data Storage,Active,USD,USD,999999999,Data Storage
