Name,ProductCode,StockKeepingUnit,UsageModelType
Finance Service,QB-AEH-BILL,QB-AEH-BILL,
Provisioning and Activation Service,QB-AEH-CPU,QB-AEH-CPU,
AEH Environment Runtime,QB-AEH-ENV,QB-AEH-ENV,
AEH Object Store - Restricted Use,QB-AEH-OBJ,QB-AEH-OBJ,
Order Processing,QB-AEH-OR,QB-AEH-OR,
Additional API,QB-API,QB-API,
API Calls,QB-API-CALLS,QB-API-CALLS,
Additional API Flex (100M),QB-API-FLEX,QB-API-FLEX,
Additional API Gov,QB-API-GOVT,QB-API-GOVT,
QB API Management Solution,QB-API-MGMT,QB-API-MGMT,
Additional API Pre-Prod,QB-API-PREP,QB-API-PREP,
Additional API Prod,QB-API-PROD,QB-API-PROD,
API Access Requests (AEH),QB-API-REQT,QB-API-REQT,
Additional Automation QB Credits,QB-AUT-CRED,QB-AUT-CRED,
QuantumBit Business Critical,QB-BDL-CRTL,QB-BDL-CRTL,
QuantumBit Enterprise,QB-BDL-ENTR,QB-BDL-ENTR,
PowerSwerve R750 Rack Server,QB-BDL-R750,QB-BDL-R750,
QuantumBit Rack Enclosure,QB-BDL-RAXS,QB-BDL-RAXS,
QuantumBit Services Project,QB-BDL-SRVC,QB-BDL-SRVC,
QuantumBit Starter,QB-BDL-STND,QB-BDL-STND,
Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,QB-BET X710SFP,
QuantumShell 8U 600mmx1070mm,QB-BMX-1050,QB-BMX-1050,
QuantumShell 6U 600mmx870mm,QB-BMX-1051,QB-BMX-1051,
QuantumShell 10U 600mmx1200mm,QB-BMX-1053,QB-BMX-1053,
Blanking Panel,QB-BSSA-4298,QB-BSSA-4298,
Sliding Shelf 200lbs,QB-BSSA-4300,QB-BSSA-4300,
Fixed Shelf 250lbs,QB-BSSA-4302,QB-BSSA-4302,
TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303,QB-BSSA-4303,
TX Bolt-Down Kit,QB-BSSA-4304,QB-BSSA-4304,
Roof Fan Tray 750mm - 120V,QB-BSSA-4306,QB-BSSA-4306,
Roof Fan Tray 750mm - 208V,QB-BSSA-4308,QB-BSSA-4308,
Cable Management Rings (Qty 10),QB-CMPC-5881,QB-CMPC-5881,
Configured Power Cable,QB-CMPC-5882,QB-CMPC-5882,
"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5883,QB-CMPC-5883,
Cable Containment Brackets,QB-CMPC-5884,QB-CMPC-5884,
C13 to C14 Power Cable 3',QB-CMPC-5887,QB-CMPC-5887,
C13 to C14 Power Cable 5',QB-CMPC-5888,QB-CMPC-5888,
C19 to C20 Power Cable 3',QB-CMPC-5889,QB-CMPC-5889,
C19 to C20 Power Cable 5',QB-CMPC-5890,QB-CMPC-5890,
L5-20 Input Power Cable 12',QB-CMPC-5891,QB-CMPC-5891,
