$$ProductOffer.StockKeepingUnit$UsageDefinitionProduct.StockKeepingUnit$UnitOfMeasureClass.Code$UnitOfMeasure.UnitCode$UsageResource.Code,DrawdownOrder,Label,OverageChargeable,ProductOffer.StockKeepingUnit,ProductUsageGrantNum,ProductUsageResource.$$Product.StockKeepingUnit$UsageResource.Code,Quantity,RenewalPolicy.Code,RolloverPolicy.Code,Status,Type,UnitOfMeasure.UnitCode,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit,UsageResource.Code,ValidityPeriodTerm,ValidityPeriodUnit
BES-BILL;EMAIL;EMAIL,ExpiringFirst,Bulk Emails Sent,Yes,,GRANT-000000025,BES;EM-USG,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,EMAIL,EMAIL,BES-BILL,,1,Month
QB-CPU-BLNG;TIME;m,ExpiringFirst,QB-CT-COMMIT-PUG,Yes,,GRANT-000000014,QB-CMT-TKN-EACH;UR-CPUTIME,10,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,m,TIME,QB-CPU-BLNG,,1,Month
QB-CPU-BLNG;TIME;m,ExpiringFirst,QB-CT-COMMIT-PUG,Yes,,GRANT-000000011,QB-CMT-TKN-FLAT;UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,m,TIME,QB-CPU-BLNG,,1,Month
QB-CPU-BLNG;TIME;m,ExpiringFirst,,,,GRANT-000000017,QB-QTY-CMT;UR-CPUTIME,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,m,TIME,QB-CPU-BLNG,,1,Month
QB-CPU-BLNG;TIME;m,ExpiringFirst,QB-CT-COMMIT-PUG,Yes,,GRANT-000000009,QB-CMT-TKN-TIER;UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,m,TIME,QB-CPU-BLNG,,1,Month
QB-CPU-BLNG;TIME;m,ExpiringFirst,,,,GRANT-000000019,QB-MTY-CMT;UR-CPUTIME,100,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,m,TIME,QB-CPU-BLNG,,1,Month
QB-CPU-BLNG;TIME;m,ExpiringFirst,,Yes,,GRANT-000000002,QB-DB;UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,m,TIME,QB-CPU-BLNG,,1,Month
QB-CPU-BLNG;TIME;m,ExpiringFirst,QuantumDB - Compute Time PUG,Yes,,GRANT-000000006,QB-DB-TOKEN;UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,m,TIME,QB-CPU-BLNG,,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB,ExpiringFirst,QB-DB-COMMIT-PUG,,,GRANT-000000012,QB-CMT-TKN-FLAT;UR-DATASTORAGE,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB,ExpiringFirst,,Yes,,GRANT-000000003,QB-DB;UR-DATASTORAGE,5,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB,ExpiringFirst,QB-DB-COMMIT-PUG,,,GRANT-000000008,QB-CMT-TKN-TIER;UR-DATASTORAGE,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,,1,Month
