$$Product.StockKeepingUnit$UsageResource.Code,EffectiveEndDate,EffectiveStartDate,Product.StockKeepingUnit,ProductUsageResourceNum,Status,UsageResource.Code
BES;EM-USG,,2025-01-01T20:00:00.000+0000,BES,PUR-000000026,Draft,EM-USG
SMSUS;UR-SMS,,2025-02-01T20:00:00.000+0000,SMSUS,PUR-000000022,Active,UR-SMS
SMSCA;UR-SMS,,2025-02-01T20:00:00.000+0000,SMSCA,PUR-000000025,Active,UR-SMS
SMSUK;UR-SMS,,2025-02-01T20:00:00.000+0000,SMSUK,PUR-000000024,Active,UR-SMS
SMSAU;UR-SMS,,2025-02-01T20:00:00.000+0000,SMSAU,PUR-000000023,Active,UR-SMS
BES;EM-USG,,2025-01-01T20:00:00.000+0000,BES,PUR-000000027,Active,EM-USG
QB-DB;UR-DATASTORAGE,,2023-01-01T20:00:00.000+0000,QB-DB,PUR-000000002,Active,UR-DATASTORAGE
QB-TOKENS-PACK;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-TOKENS-PACK,PUR-000000004,Active,QB-TOKEN
QB-CMT-TKN-EACH;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,PUR-000000005,Active,QB-TOKEN
QB-CMT-TKN-EACH;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,PUR-000000006,Active,UR-DATASTORAGE
QB-CMT-TKN-EACH;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,PUR-000000007,Active,UR-CPUTIME
QB-DB-TOKEN;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-DB-TOKEN,PUR-000000008,Active,UR-DATASTORAGE
QB-DB-TOKEN;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-DB-TOKEN,PUR-000000009,Active,UR-CPUTIME
QB-DB-TOKEN;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-DB-TOKEN,PUR-000000010,Active,QB-TOKEN
QB-CMT-TKN-FLAT;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,PUR-000000011,Active,QB-TOKEN
QB-CMT-TKN-FLAT;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,PUR-000000012,Active,UR-CPUTIME
QB-CMT-TKN-FLAT;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,PUR-000000013,Active,UR-DATASTORAGE
QB-CMT-TKN-TIER;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,PUR-000000014,Active,QB-TOKEN
QB-CMT-TKN-TIER;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,PUR-000000015,Active,UR-DATASTORAGE
QB-CMT-TKN-TIER;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,PUR-000000016,Active,UR-CPUTIME
QB-QTY-CMT;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-QTY-CMT,PUR-000000017,Active,UR-DATASTORAGE
QB-QTY-CMT;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-QTY-CMT,PUR-000000018,Active,UR-CPUTIME
QB-MTY-CMT;UR-USD,,2025-01-01T20:00:00.000+0000,QB-MTY-CMT,PUR-000000019,Active,UR-USD
QB-MTY-CMT;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-MTY-CMT,PUR-000000020,Active,UR-CPUTIME
QB-MTY-CMT;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-MTY-CMT,PUR-000000021,Active,UR-DATASTORAGE
QB-DAT-THPT;UR-DATAXFR,,2023-01-01T20:00:00.000+0000,QB-DAT-THPT,PUR-000000001,Active,UR-DATAXFR
QB-DB;UR-CPUTIME,,2023-01-01T20:00:00.000+0000,QB-DB,PUR-000000003,Active,UR-CPUTIME
