$$Name$ObjectStateDefinition.Name,CustomPermission.DeveloperName,Description,FromState.Name,Name,ObjectStateDefinition.Name,ToState.Name
Draft_To_InApproval;Contract LifeCycle Management,,,Draft,Draft_To_InApproval,Contract LifeCycle Management,In Approval Process
Draft_To_Canceled;Contract LifeCycle Management,,,Draft,Draft_To_Canceled,Contract LifeCycle Management,Canceled
InApproval_To_Rejected;Contract LifeCycle Management,,,In Approval Process,InApproval_To_Rejected,Contract LifeCycle Management,Rejected
InApproval_To_Negotiating;Contract LifeCycle Management,,,In Approval Process,InApproval_To_Negotiating,Contract LifeCycle Management,Negotiating
InApproval_To_Canceled;Contract LifeCycle Management,,,In Approval Process,InApproval_To_Canceled,Contract LifeCycle Management,Canceled
InApproval_To_Draft;Contract LifeCycle Management,,,In Approval Process,InApproval_To_Draft,Contract LifeCycle Management,Draft
Rejected_To_Canceled;Contract LifeCycle Management,,,Rejected,Rejected_To_Canceled,Contract LifeCycle Management,Canceled
Rejected_To_Draft;Contract LifeCycle Management,,,Rejected,Rejected_To_Draft,Contract LifeCycle Management,Draft
Negotiating_To_Draft;Contract LifeCycle Management,,,Negotiating,Negotiating_To_Draft,Contract LifeCycle Management,Draft
Negotiating_To_AwaitingSignature;Contract LifeCycle Management,,,Negotiating,Negotiating_To_AwaitingSignature,Contract LifeCycle Management,Awaiting Signature
Negotiating_To_Canceled;Contract LifeCycle Management,,,Negotiating,Negotiating_To_Canceled,Contract LifeCycle Management,Canceled
AwaitingSignature_To_Signed;Contract LifeCycle Management,,,Awaiting Signature,AwaitingSignature_To_Signed,Contract LifeCycle Management,Signed
AwaitingSignature_To_SignatureDeclined;Contract LifeCycle Management,,,Awaiting Signature,AwaitingSignature_To_SignatureDeclined,Contract LifeCycle Management,Signature Declined
AwaitingSignature_To_Negotiating;Contract LifeCycle Management,,,Awaiting Signature,AwaitingSignature_To_Negotiating,Contract LifeCycle Management,Negotiating
AwaitingSignature_To_Canceled;Contract LifeCycle Management,,,Awaiting Signature,AwaitingSignature_To_Canceled,Contract LifeCycle Management,Canceled
SignatureDeclined_To_Canceled;Contract LifeCycle Management,,,Signature Declined,SignatureDeclined_To_Canceled,Contract LifeCycle Management,Canceled
SignatureDeclined_To_Draft;Contract LifeCycle Management,,,Signature Declined,SignatureDeclined_To_Draft,Contract LifeCycle Management,Draft
Signed_To_Activated;Contract LifeCycle Management,,,Signed,Signed_To_Activated,Contract LifeCycle Management,Activated
Activated_To_Expired;Contract LifeCycle Management,,,Activated,Activated_To_Expired,Contract LifeCycle Management,Contract Expired
Activated_To_Terminated;Contract LifeCycle Management,,,Activated,Activated_To_Terminated,Contract LifeCycle Management,Contract Terminated
Activated_To_Expired;Legal,,,Activated,Activated_To_Expired,Legal,Contract Expired
Activated_To_Terminated;Legal,,,Activated,Activated_To_Terminated,Legal,Contract Terminated
AwaitingSignature_To_Canceled;Legal,,,Awaiting Signature,AwaitingSignature_To_Canceled,Legal,Canceled
AwaitingSignature_To_Negotiating;Legal,,,Awaiting Signature,AwaitingSignature_To_Negotiating,Legal,Negotiating
AwaitingSignature_To_SignatureDeclined;Legal,,,Awaiting Signature,AwaitingSignature_To_SignatureDeclined,Legal,Signature Declined
AwaitingSignature_To_Signed;Legal,,,Awaiting Signature,AwaitingSignature_To_Signed,Legal,Signed
Canceled_To_ReDraft;Legal,,,Canceled,Canceled_To_ReDraft,Legal,Draft
CustomLegalS1_To_Draft;Legal,,,CustomLegalS1,CustomLegalS1_To_Draft,Legal,Draft
CustomLegalS1_To_InApproval;Legal,,,CustomLegalS1,CustomLegalS1_To_InApproval,Legal,In Approval Process
CustomLegalS2_To_AwaitingSignature;Legal,,,CustomLegalS2,CustomLegalS2_To_AwaitingSignature,Legal,Awaiting Signature
CustomLegalS2_To_CancelContract;Legal,,,CustomLegalS2,CustomLegalS2_To_CancelContract,Legal,Canceled
Draft_To_Canceled;Legal,,,Draft,Draft_To_Canceled,Legal,Canceled
Draft_To_CustomLegalS1;Legal,,,Draft,Draft_To_CustomLegalS1,Legal,CustomLegalS1
Draft_To_InApproval;Legal,,,Draft,Draft_To_InApproval,Legal,In Approval Process
InApproval_To_Canceled;Legal,,,In Approval Process,InApproval_To_Canceled,Legal,Canceled
InApproval_To_Draft;Legal,,,In Approval Process,InApproval_To_Draft,Legal,Draft
InApproval_To_Negotiating;Legal,,,In Approval Process,InApproval_To_Negotiating,Legal,Negotiating
InApproval_To_Rejected;Legal,,,In Approval Process,InApproval_To_Rejected,Legal,Rejected
Negotiating_To_AwaitingSignature;Legal,,,Negotiating,Negotiating_To_AwaitingSignature,Legal,Awaiting Signature
Negotiating_To_Canceled;Legal,,,Negotiating,Negotiating_To_Canceled,Legal,Canceled
Negotiating_To_CustomLegalS2;Legal,,,Negotiating,Negotiating_To_CustomLegalS2,Legal,CustomLegalS2
Negotiating_To_Draft;Legal,,,Negotiating,Negotiating_To_Draft,Legal,Draft
Rejected_To_Canceled;Legal,,,Rejected,Rejected_To_Canceled,Legal,Canceled
Rejected_To_Draft;Legal,,,Rejected,Rejected_To_Draft,Legal,Draft
SignatureDeclined_To_Canceled;Legal,,,Signature Declined,SignatureDeclined_To_Canceled,Legal,Canceled
SignatureDeclined_To_Draft;Legal,,,Signature Declined,SignatureDeclined_To_Draft,Legal,Draft
Signed_To_Activated;Legal,,,Signed,Signed_To_Activated,Legal,Activated
