$$Name$ObjectStateDefinition.Name,DisplaySequence,IsActive,Name,ObjectStateActionDefinition.Name,ObjectStateDefinition.Name,ObjectStateTransition.Name
Draft_To_InApproval;Contract LifeCycle Management,1,true,Draft_To_InApproval,submitForApproval,Contract LifeCycle Management,Draft_To_InApproval
Draft_To_Canceled;Contract LifeCycle Management,2,true,Draft_To_Canceled,cancelContract,Contract LifeCycle Management,Draft_To_Canceled
InApproval_To_Draft;Contract LifeCycle Management,1,true,InApproval_To_Draft,cancelApproval,Contract LifeCycle Management,InApproval_To_Draft
InApproval_To_Canceled;Contract LifeCycle Management,2,true,InApproval_To_Canceled,cancelContract,Contract LifeCycle Management,InApproval_To_Canceled
Rejected_To_Draft;Contract LifeCycle Management,1,true,Rejected_To_Draft,re-draftContract,Contract LifeCycle Management,Rejected_To_Draft
Rejected_To_Canceled;Contract LifeCycle Management,2,true,Rejected_To_Canceled,cancelContract,Contract LifeCycle Management,Rejected_To_Canceled
Negotiating_To_AwaitingSignature;Contract LifeCycle Management,1,true,Negotiating_To_AwaitingSignature,sendForESign,Contract LifeCycle Management,Negotiating_To_AwaitingSignature
Negotiating_To_Draft;Contract LifeCycle Management,2,true,Negotiating_To_Draft,re-draftContract,Contract LifeCycle Management,Negotiating_To_Draft
Negotiating_To_Canceled;Contract LifeCycle Management,3,true,Negotiating_To_Canceled,cancelContract,Contract LifeCycle Management,Negotiating_To_Canceled
AwaitingSignature_To_Signed;Contract LifeCycle Management,1,true,AwaitingSignature_To_Signed,updateEnvelopeStatus,Contract LifeCycle Management,AwaitingSignature_To_Signed
AwaitingSignature_To_SignatureDeclined;Contract LifeCycle Management,1,true,AwaitingSignature_To_SignatureDeclined,updateEnvelopeStatus,Contract LifeCycle Management,AwaitingSignature_To_SignatureDeclined
AwaitingSignature_To_Negotiating;Contract LifeCycle Management,2,true,AwaitingSignature_To_Negotiating,revokeESign,Contract LifeCycle Management,AwaitingSignature_To_Negotiating
AwaitingSignature_To_Canceled;Contract LifeCycle Management,3,true,AwaitingSignature_To_Canceled,cancelContract,Contract LifeCycle Management,AwaitingSignature_To_Canceled
Signed_To_Activated;Contract LifeCycle Management,1,true,Signed_To_Activated,activateContract,Contract LifeCycle Management,Signed_To_Activated
Activated_To_Terminated;Contract LifeCycle Management,1,true,Activated_To_Terminated,terminateContract,Contract LifeCycle Management,Activated_To_Terminated
SignatureDeclined_To_Draft;Contract LifeCycle Management,1,true,SignatureDeclined_To_Draft,re-draftContract,Contract LifeCycle Management,SignatureDeclined_To_Draft
SignatureDeclined_To_Canceled;Contract LifeCycle Management,2,true,SignatureDeclined_To_Canceled,cancelContract,Contract LifeCycle Management,SignatureDeclined_To_Canceled
Activated_To_Terminated;Legal,1,true,Activated_To_Terminated,terminateContract,Legal,Activated_To_Terminated
AwaitingSignature_To_Canceled;Legal,3,true,AwaitingSignature_To_Canceled,cancelContract,Legal,AwaitingSignature_To_Canceled
