DependencyScope,DependsOnStepDefinition.Name,FulfillmentStepDefinition.Name,IsCompensateInReverse,Name,PropagateStateToDependentStep
Plan,Provision Platform,Activate Tokens,false,License Activation DEPENDS ON Provision Platform,
Plan,Post Invoice,Receive Payment,false,Post to Pay,
Plan,Provision Platform,Update Billing,false,Update Billing DEPENDS ON Provision Platform,
Plan,Convert Order to Asset - Tenant Provisioning + Activation,Initiate Billing,false,Asset Conversion then Bill,
Plan,Validate Order Info,Convert Order to Asset - Tenant Provisioning + Activation,false,Wait on Provision Before Converting,
Plan,Validate Order Info,Stage New Tenant for Provisioning - Tenant Provisioning + Activation,false,Require Validation Before Provisioning,
Plan,Initiate Billing,Post Invoice,false,Receive Payment,
Plan,Assign Resources,Start Project,false,Project Kick Off,
Plan,Stage New Tenant for Provisioning - Platform,Receive Key + Assign to Asset,false,Tenant to Receive Key,
Plan,Start Project,Initiate Billing,false,Project Kick-Off To Create Bill,
Plan,Provision Licensing/Features,Initiate Billing,false,Provision to Bill,
Plan,Stage New Tenant for Provisioning - Platform,Provision Licensing/Features,false,Provision Tennent to Provision Features,
Plan,Create Project,Assign Resources,false,Create Project to Assign Resources,
