Action,FulfillmentProcess.Name,FulfillmentStepDefnGroup.Name,Name,Product.StockKeepingUnit,ProductClassification.Name,SourceClassIdentifier,SourceIdentifier,Type
Add;Amend;Renew;No Change;Cancel,,Provisioning & Activation,AEH API to Provisioning,QB-DRO-AEH,,,,
Add;Amend;Renew;No Change;Cancel,,Provisioning & Activation,Additional Messages to Provisioning,QB-DRO-AM,,,,
Add;Amend;Renew;No Change;Cancel,,Provisioning & Activation,API to Provisioning,QB-DRO-AAPI,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,Finance Service,QB-DRO-BILL,,,,
Add;Amend;Renew;No Change;Cancel,,Provisioning & Activation,API Platform License to Provisioning,QB-DRO-PERMS,,,,
Add;Amend;Renew;No Change;Cancel,,Usage Provisioning & Activation,QuantumBit Database Provisioning,QB-DRO-QBD,,,,
Add;Amend;Renew;No Change;Cancel,,Provisioning & Activation,Additional Flows to Provisioning,QB-DRO-AACR,,,,
Add;Amend;Renew;No Change;Cancel,,Provisioning & Activation,Additional Credits to Provisioning,QB-DRO-AAQBC,,,,
Add;Amend;Renew;No Change;Cancel,,Services,Project Service,QB-DRO-PROJ,,,,
Add;Amend;Renew;No Change;Cancel,,Platform,API Platform to Provisioning,QB-DRO-APIPLAT,,,,
