DeveloperName,Language,MasterLabel
solution_type_looking_for,en_US,solution_type_looking_for
Security_Monitoring,en_US,Security_Monitoring
Implementation_Options,en_US,Implementation_Options
Industry,en_US,Industry
Primary_Goal,en_US,Primary_Goal
Platform_Control,en_US,Platform_Control
Deployment_Size,en_US,Deployment_Size
Time,en_US,Time
Services,en_US,Services
Support_and_Maintenance,en_US,Support_and_Maintenance
API_Management,en_US,API_Management
Implemention,en_US,Implemention
Organization_Description,en_US,Organization_Description
