$$AssessmentQuestionVersion.Name$OmniProcessElement.Name,AssessmentQuestionVersion.$$AssessmentQuestion.UniqueIndex$VersionNumber,IsPrefill,OmniProcess.UniqueName,OmniProcessElement.$$OmniProcess.UniqueName$Name
Industry;Industry,Industry;1,false,QuantumBit_GuidedSelling_English_1,QuantumBit_GuidedSelling_English_1;Industry
Implementation Options;Implementation_Options,Implementation_Options;1,false,QuantumBit_GuidedSelling_English_1,QuantumBit_GuidedSelling_English_1;Implementation_Options
Security Monitoring;Security_Monitoring,Security_Monitoring;1,false,QuantumBit_GuidedSelling_English_1,QuantumBit_GuidedSelling_English_1;Security_Monitoring
What type of Solution are you looking for?;solution_type_looking_for,solution_type_looking_for;1,false,QuantumBit_GuidedSelling_English_1,QuantumBit_GuidedSelling_English_1;solution_type_looking_for
API Management;API_Management,API_Management;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;API_Management
Deployment Size;Deployment_Size,Deployment_Size;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Deployment_Size
Implementation;Implementation,Implementation;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Implementation
Organization Description;Organization_Description,Organization_Description;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Organization_Description
Platform Control;Platform_Control,Platform_Control;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Platform_Control
Primary Goal;Primary_Goal,Primary_Goal;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Primary_Goal
Services;Services,Services;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Services
Support and Maintenance;Support_and_Maintenance,Support_and_Maintenance;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Support_and_Maintenance
Time;Time,Time;1,false,GuidedSelling_Wizard_English_1,GuidedSelling_Wizard_English_1;Time
