$$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeDefinition.Code$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.Name,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
ATTR-QB-API;QB-API,AC-QB-API,ATTR-QB-API,Type,Flex,,RadioButton,,false,true,false,false,,,,,Type,,QB-API,Type,1,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1.2TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1.2TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 1TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,1TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 1TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 20TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,20TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 20TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 3TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,3TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 3TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 4TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,4TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 4TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-HD 8TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,8TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-HD 8TB,HDD_Storage,,Active,,,
PCIe Lane Type;QB-NET-100G-ULTRA,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NET-100G-ULTRA,PCIe Lane Type,,Active,,,
PCIe Lane Type;QB-NovaX150,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NovaX150,PCIe Lane Type,,Active,,,
PCIe Lane Type;QB-NVExpand-200,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-NVExpand-200,PCIe Lane Type,,Active,,,
PCIe Lane Type;QB-RAID-500,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-RAID-500,PCIe Lane Type,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 16TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,16TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 16TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 2TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,2TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 2TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 30TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,30TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 30TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 4TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,4TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 4TB,HDD_Storage,,Active,,,
ATTR-QB-DATASTORAGE;QB-SSD 8TB,AC-QB-STORAGE,ATTR-QB-DATASTORAGE,Data Storage,8TB,,,,false,false,false,false,,,,,HDD_Storage,,QB-SSD 8TB,HDD_Storage,,Active,,,
PCIe Lane Type;QB-VegaX200,PCIe Lane,PCIe Lane Type,PCIe Lane Type,x16,,,,false,false,false,false,,,,,PCIe Lane Type,,QB-VegaX200,PCIe Lane Type,,Active,,,
