Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.Code,ParentProduct.StockKeepingUnit,Sequence
PCG-QB-SRV-CPU,,1,1,Processor,,QB-BDL-R750,1
PCG-QB-SRV-HDD,,1,1,Hard Drive,,QB-BDL-R750,3
PCG-QB-SRV-NIC,,1,1,Network Adapter,,QB-BDL-R750,4
PCG-QB-SRV-RAM,,1,1,Memory Capacity,,QB-BDL-R750,2
PCG-QB-PS-ENGRESOURCES,,,,Engineering Resources,,QB-BDL-SRVC,1
PCG-QB-PS-PM,,,,Project Management,,QB-BDL-SRVC,2
PCG-QB-PS-SA,,,,Solution Architecture,,QB-BDL-SRVC,3
PCG-QBSTARTER-MAINT,,1,1,Maintenance,,QB-BDL-STND,20
PCG-QBSTARTER-TRAINING,,1,1,Training,,QB-BDL-STND,10
PCG-QB-ADDONS,,,,Add-Ons,,QB-COMPLETE,12
PCG-QB-MAINT,,,,Maintenance & Support,,QB-COMPLETE,40
PCG-QB-SERVICES,,,,Services,,QB-COMPLETE,30
PCG-QB-SOFTWARE,,,,Software,,QB-COMPLETE,10
PCG-QB-TRAINING,,,,Training,,QB-COMPLETE,20
QB-PCG-USAGE,,1,1,Consumption,,QB-COMPLETE,15
Computing,,,,Computing,,QB-QRack-750,1
Cooling,,2,1,Cooling,Computing,QB-QRack-750,2
GPUs,,,,GPUs,PCIe,QB-QRack-750,1
Hard Drives,,,,Hard Drives,Storage,QB-QRack-750,1
I/O,,,,I/O,PCIe,QB-QRack-750,2
Memory,,,,Memory,,QB-QRack-750,2
Networking,,,,Networking,PCIe,QB-QRack-750,3
PCIe,,,,PCIe,,QB-QRack-750,4
Power Supply,,,,Power Supply,,QB-QRack-750,5
Processor,,2,1,Processor,Computing,QB-QRack-750,1
Solid State Drives,,4,0,Solid State Drives,Storage,QB-QRack-750,2
Storage,,,,Storage,,QB-QRack-750,3
,,,,Standard Components,,PROD-1000281857,
,,,,Standard Components,,PROD-1008704562,
,,,,Standard Components,,PROD-1046989797,
,,,,Standard Components,,PROD-1054187061,
,,,,Standard Components,,PROD-1066573967,
,,,,Standard Components,,PROD-1078575407,
,,,,Standard Components,,PROD-1128940216,
,,,,Standard Components,,PROD-1153963439,
,,,,Standard Components,,PROD-1160394163,
,,,,Standard Components,,PROD-1167731127,
,,,,Standard Components,,PROD-1202444971,
,,,,Standard Components,,PROD-1223537488,
,,,,Standard Components,,PROD-1232611253,
,,,,Standard Components,,PROD-1234105735,
,,,,Standard Components,,PROD-1289692484,
,,,,Standard Components,,PROD-1298719794,
,,,,Standard Components,,PROD-1324161108,
,,,,Standard Components,,PROD-1427074895,
,,,,Standard Components,,PROD-1448587501,
,,,,Standard Components,,PROD-1472536093,
,,,,Standard Components,,PROD-148835828,
,,,,Standard Components,,PROD-1517433427,
,,,,Standard Components,,PROD-1533783581,
,,,,Standard Components,,PROD-1536519560,
,,,,Standard Components,,PROD-1547313492,
,,,,Standard Components,,PROD-1559036382,
,,,,Standard Components,,PROD-1563124993,
,,,,Standard Components,,PROD-1563341377,
,,,,Standard Components,,PROD-1576658789,
,,,,Standard Components,,PROD-1593141905,
,,,,Standard Components,,PROD-159863330,
,,,,Standard Components,,PROD-1603627899,
,,,,Standard Components,,PROD-1609709205,
,,,,Standard Components,,PROD-1744092313,
,,,,Standard Components,,PROD-1766568232,
,,,,Standard Components,,PROD-1776230868,
,,,,Standard Components,,PROD-1803530052,
,,,,Standard Components,,PROD-1809409779,
,,,,Standard Components,,PROD-1878093187,
,,,,Standard Components,,PROD-1897393325,
,,,,Standard Components,,PROD-1939884557,
,,,,Standard Components,,PROD-1941355444,
,,,,Standard Components,,PROD-1977133047,
,,,,Standard Components,,PROD-2003786421,
,,,,Standard Components,,PROD-2004313496,
,,,,Standard Components,,PROD-2035320005,
,,,,Standard Components,,PROD-2059567741,
,,,,Standard Components,,PROD-2063526037,
,,,,Standard Components,,PROD-2116311267,
,,,,Standard Components,,PROD-279707357,
,,,,Standard Components,,PROD-322363365,
,,,,Standard Components,,PROD-356310368,
,,,,Standard Components,,PROD-384361183,
,,,,Standard Components,,PROD-387008033,
,,,,Standard Components,,PROD-409095263,
,,,,Standard Components,,PROD-416568204,
,,,,Standard Components,,PROD-455868158,
,,,,Standard Components,,PROD-462218852,
,,,,Standard Components,,PROD-498531761,
,,,,Standard Components,,PROD-518530525,
,,,,Standard Components,,PROD-518677116,
,,,,Standard Components,,PROD-544673184,
,,,,Standard Components,,PROD-545409999,
,,,,Standard Components,,PROD-597705628,
,,,,Standard Components,,PROD-604480020,
,,,,Standard Components,,PROD-630065671,
,,,,Standard Components,,PROD-630070740,
,,,,Standard Components,,PROD-6630506,
,,,,Standard Components,,PROD-670848332,
,,,,Standard Components,,PROD-683520187,
,,,,Standard Components,,PROD-689623762,
,,,,Standard Components,,PROD-697645794,
,,,,Standard Components,,PROD-755090702,
,,,,Standard Components,,PROD-77740090,
,,,,Standard Components,,PROD-781554326,
,,,,Standard Components,,PROD-789058761,
,,,,Standard Components,,PROD-799314932,
,,,,Standard Components,,PROD-828674135,
,,,,Standard Components,,PROD-860612882,
,,,,Standard Components,,PROD-86201530,
,,,,Standard Components,,PROD-950775878,
,,,,Standard Components,,PROD-990828007,
