$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;QB-API;QB-COMPLETE;PCG-QB-SOFTWARE;Bundle to Bundle Component Relationship,QB-API,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,PCG-QB-SOFTWARE,Bundle to Bundle Component Relationship,1,,Always,20,
;QB-API-MGMT;QB-COMPLETE;PCG-QB-SOFTWARE;Bundle to Bundle Component Relationship,QB-API-MGMT,,BundleComponent,,false,false,true,true,,,QB-COMPLETE,Bundle,,PCG-QB-SOFTWARE,Bundle to Bundle Component Relationship,1,,Always,10,
;QB-API-REQT;QB-COMPLETE;PCG-QB-SOFTWARE;Bundle to Bundle Component Relationship,QB-API-REQT,,BundleComponent,,false,false,true,true,,,QB-COMPLETE,Bundle,,PCG-QB-SOFTWARE,Bundle to Bundle Component Relationship,100,,Always,70,
;QB-AUT-CRED;QB-COMPLETE;PCG-QB-ADDONS;Bundle to Bundle Component Relationship,QB-AUT-CRED,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,PCG-QB-ADDONS,Bundle to Bundle Component Relationship,25,,Always,60,
;QB-BDL-SRVC;QB-COMPLETE;PCG-QB-SERVICES;Bundle to Bundle Component Relationship,QB-BDL-SRVC,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-SERVICES,Bundle to Bundle Component Relationship,1,,Always,50,
;QB-BET X710SFP;QB-BDL-R750;PCG-QB-SRV-NIC;Bundle to Bundle Component Relationship,QB-BET X710SFP,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-NIC,Bundle to Bundle Component Relationship,1,Proportional,Always,2,
;QB-CBOOST-150;QB-QRack-750;I/O;Bundle to Bundle Component Relationship,QB-CBOOST-150,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,I/O,Bundle to Bundle Component Relationship,1,,Always,3,
;QB-CMT-TKN-EACH;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-CMT-TKN-EACH,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE,Bundle to Bundle Component Relationship,1,,Always,10,
;QB-CMT-TKN-FLAT;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-CMT-TKN-FLAT,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE,Bundle to Bundle Component Relationship,1,,Always,20,
;QB-CMT-TKN-TIER;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-CMT-TKN-TIER,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE,Bundle to Bundle Component Relationship,1,,Always,30,
;QB-CPU-HEATSINK;QB-QRack-750;Cooling;Bundle to Bundle Component Relationship,QB-CPU-HEATSINK,,BundleComponent,,false,false,true,true,2,1,QB-QRack-750,Bundle,,Cooling,Bundle to Bundle Component Relationship,1,,Always,1,
;QB-DB;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-DB,,BundleComponent,,false,false,true,false,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE,Bundle to Bundle Component Relationship,1,,Always,5,
;QB-DB-TOKEN;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-DB-TOKEN,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE,Bundle to Bundle Component Relationship,1,,Always,7,
;QB-FLO-STRT;QB-COMPLETE;PCG-QB-ADDONS;Bundle to Bundle Component Relationship,QB-FLO-STRT,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,PCG-QB-ADDONS,Bundle to Bundle Component Relationship,5,,Always,40,
