$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
QB-API;Evergreen Monthly;Evergreen,false,QB-API,Evergreen Monthly;Evergreen,Default Proration Policy
QB-API;Term Annual;TermDefined,true,QB-API,Term Annual;TermDefined,Default Proration Policy
QB-API;Term Monthly;TermDefined,false,QB-API,Term Monthly;TermDefined,Default Proration Policy
QB-API-FLEX;Term Annual;TermDefined,true,QB-API-FLEX,Term Annual;TermDefined,Default Proration Policy
QB-API-GOVT;Term Annual;TermDefined,true,QB-API-GOVT,Term Annual;TermDefined,Default Proration Policy
QB-API-MGMT;Evergreen Monthly;Evergreen,false,QB-API-MGMT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-API-MGMT;Term Annual;TermDefined,true,QB-API-MGMT,Term Annual;TermDefined,Default Proration Policy
QB-API-MGMT;Term Monthly;TermDefined,false,QB-API-MGMT,Term Monthly;TermDefined,Default Proration Policy
QB-API-PREP;Term Annual;TermDefined,true,QB-API-PREP,Term Annual;TermDefined,Default Proration Policy
QB-API-PROD;Term Annual;TermDefined,true,QB-API-PROD,Term Annual;TermDefined,Default Proration Policy
QB-API-REQT;Evergreen Monthly;Evergreen,false,QB-API-REQT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-API-REQT;Term Annual;TermDefined,true,QB-API-REQT,Term Annual;TermDefined,Default Proration Policy
QB-API-REQT;Term Monthly;TermDefined,false,QB-API-REQT,Term Monthly;TermDefined,Default Proration Policy
QB-AUT-CRED;Evergreen Monthly;Evergreen,false,QB-AUT-CRED,Evergreen Monthly;Evergreen,Default Proration Policy
QB-AUT-CRED;Term Annual;TermDefined,true,QB-AUT-CRED,Term Annual;TermDefined,Default Proration Policy
QB-AUT-CRED;Term Monthly;TermDefined,false,QB-AUT-CRED,Term Monthly;TermDefined,Default Proration Policy
QB-BDL-R750;One-Time;OneTime,true,QB-BDL-R750,One-Time;OneTime,
QB-BDL-SRVC;One-Time;OneTime,true,QB-BDL-SRVC,One-Time;OneTime,
QB-BDL-STND;One-Time;OneTime,true,QB-BDL-STND,One-Time;OneTime,
QB-BET X710SFP;One-Time;OneTime,true,QB-BET X710SFP,One-Time;OneTime,
QB-CBOOST-150;One-Time;OneTime,true,QB-CBOOST-150,One-Time;OneTime,
QB-CMPC-5882;One-Time;OneTime,true,QB-CMPC-5882,One-Time;OneTime,
QB-CMPC-5887;One-Time;OneTime,true,QB-CMPC-5887,One-Time;OneTime,
QB-CMT-TKN-EACH;Term Annual;TermDefined,true,QB-CMT-TKN-EACH,Term Annual;TermDefined,Default Proration Policy
QB-CMT-TKN-FLAT;Term Annual;TermDefined,true,QB-CMT-TKN-FLAT,Term Annual;TermDefined,Default Proration Policy
QB-CMT-TKN-TIER;Term Annual;TermDefined,true,QB-CMT-TKN-TIER,Term Annual;TermDefined,Default Proration Policy
QB-COMPLETE;Evergreen Monthly;Evergreen,false,QB-COMPLETE,Evergreen Monthly;Evergreen,Default Proration Policy
QB-COMPLETE;One-Time;OneTime,false,QB-COMPLETE,One-Time;OneTime,
QB-COMPLETE;Term Annual;TermDefined,true,QB-COMPLETE,Term Annual;TermDefined,Default Proration Policy
QB-COMPLETE;Term Monthly;TermDefined,false,QB-COMPLETE,Term Monthly;TermDefined,Default Proration Policy
QB-CPU-HEATSINK;One-Time;OneTime,true,QB-CPU-HEATSINK,One-Time;OneTime,
QB-CS;Term Annual;TermDefined,true,QB-CS,Term Annual;TermDefined,Default Proration Policy
QB-CS;Term Monthly;TermDefined,false,QB-CS,Term Monthly;TermDefined,Default Proration Policy
QB-DAT-GRPH;Term Annual;TermDefined,true,QB-DAT-GRPH,Term Annual;TermDefined,Default Proration Policy
QB-DAT-THPT;Evergreen Monthly;Evergreen,false,QB-DAT-THPT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-DAT-THPT;Term Annual;TermDefined,true,QB-DAT-THPT,Term Annual;TermDefined,Default Proration Policy
QB-DAT-THPT;Term Monthly;TermDefined,false,QB-DAT-THPT,Term Monthly;TermDefined,Default Proration Policy
QB-DB;Term Annual;TermDefined,true,QB-DB,Term Annual;TermDefined,Default Proration Policy
QB-DB-TOKEN;Term Annual;TermDefined,true,QB-DB-TOKEN,Term Annual;TermDefined,Default Proration Policy
QB-FLO-STRT;Evergreen Monthly;Evergreen,false,QB-FLO-STRT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-FLO-STRT;Term Annual;TermDefined,true,QB-FLO-STRT,Term Annual;TermDefined,Default Proration Policy
QB-FLO-STRT;Term Monthly;TermDefined,false,QB-FLO-STRT,Term Monthly;TermDefined,Default Proration Policy
QB-GEN-AI-LIC;Term Annual;TermDefined,true,QB-GEN-AI-LIC,Term Annual;TermDefined,Default Proration Policy
QB-HD 1.2TB;One-Time;OneTime,true,QB-HD 1.2TB,One-Time;OneTime,
QB-HD 1TB;One-Time;OneTime,true,QB-HD 1TB,One-Time;OneTime,
QB-HD 20TB;One-Time;OneTime,true,QB-HD 20TB,One-Time;OneTime,
QB-HD 3TB;One-Time;OneTime,true,QB-HD 3TB,One-Time;OneTime,
QB-HD 4TB;One-Time;OneTime,true,QB-HD 4TB,One-Time;OneTime,
QB-HD 8TB;One-Time;OneTime,true,QB-HD 8TB,One-Time;OneTime,
QB-HD 8TBSE;One-Time;OneTime,true,QB-HD 8TBSE,One-Time;OneTime,
QB-INTEL E5-2609;One-Time;OneTime,true,QB-INTEL E5-2609,One-Time;OneTime,
QB-INTEL E5-2660;One-Time;OneTime,true,QB-INTEL E5-2660,One-Time;OneTime,
QB-INTEL E5-2667;One-Time;OneTime,true,QB-INTEL E5-2667,One-Time;OneTime,
QB-INTEL E5-2683;One-Time;OneTime,true,QB-INTEL E5-2683,One-Time;OneTime,
QB-INTEL-GOLD-5318N;One-Time;OneTime,true,QB-INTEL-GOLD-5318N,One-Time;OneTime,
QB-INTEL-GOLD-6330N;One-Time;OneTime,true,QB-INTEL-GOLD-6330N,One-Time;OneTime,
QB-INTEL-GOLD-6354;One-Time;OneTime,true,QB-INTEL-GOLD-6354,One-Time;OneTime,
QB-INTEL-PLAT-8352M;One-Time;OneTime,true,QB-INTEL-PLAT-8352M,One-Time;OneTime,
QB-INTEL-PLAT-8352Y;One-Time;OneTime,true,QB-INTEL-PLAT-8352Y,One-Time;OneTime,
QB-INTEL-PLAT-8360Y;One-Time;OneTime,true,QB-INTEL-PLAT-8360Y,One-Time;OneTime,
QB-INTEL-PLAT-8368;One-Time;OneTime,true,QB-INTEL-PLAT-8368,One-Time;OneTime,
QB-LIC-CLOUD;Term Annual;TermDefined,true,QB-LIC-CLOUD,Term Annual;TermDefined,Default Proration Policy
QB-LIC-CLOUD;Term Monthly;TermDefined,false,QB-LIC-CLOUD,Term Monthly;TermDefined,Default Proration Policy
QB-LIQUIDCOOL;One-Time;OneTime,true,QB-LIQUIDCOOL,One-Time;OneTime,
QB-MEM 128GB;One-Time;OneTime,true,QB-MEM 128GB,One-Time;OneTime,
QB-MEM 16GB;One-Time;OneTime,true,QB-MEM 16GB,One-Time;OneTime,
QB-MEM 32GB;One-Time;OneTime,true,QB-MEM 32GB,One-Time;OneTime,
QB-MEM 64GB;One-Time;OneTime,true,QB-MEM 64GB,One-Time;OneTime,
QB-MEM 8GB;One-Time;OneTime,true,QB-MEM 8GB,One-Time;OneTime,
QB-MSG-STRT;Evergreen Monthly;Evergreen,false,QB-MSG-STRT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-MSG-STRT;Term Annual;TermDefined,true,QB-MSG-STRT,Term Annual;TermDefined,Default Proration Policy
QB-MSG-STRT;Term Monthly;TermDefined,false,QB-MSG-STRT,Term Monthly;TermDefined,Default Proration Policy
QB-MTY-CMT;Term Annual;TermDefined,true,QB-MTY-CMT,Term Annual;TermDefined,Default Proration Policy
QB-NET X710;One-Time;OneTime,true,QB-NET X710,One-Time;OneTime,
QB-NET-100G-ULTRA;One-Time;OneTime,true,QB-NET-100G-ULTRA,One-Time;OneTime,
QB-NET-10G;One-Time;OneTime,true,QB-NET-10G,One-Time;OneTime,
QB-NET-25G;One-Time;OneTime,true,QB-NET-25G,One-Time;OneTime,
QB-NETSECURE-10G;One-Time;OneTime,true,QB-NETSECURE-10G,One-Time;OneTime,
QB-NovaX150;One-Time;OneTime,true,QB-NovaX150,One-Time;OneTime,
QB-NVExpand-200;One-Time;OneTime,true,QB-NVExpand-200,One-Time;OneTime,
QB-PWRCORE-1600S;One-Time;OneTime,true,QB-PWRCORE-1600S,One-Time;OneTime,
QB-PWRCORE-500S;One-Time;OneTime,true,QB-PWRCORE-500S,One-Time;OneTime,
QB-PWRCORE-800S;One-Time;OneTime,true,QB-PWRCORE-800S,One-Time;OneTime,
QB-PWRSAFE-1000D;One-Time;OneTime,true,QB-PWRSAFE-1000D,One-Time;OneTime,
QB-PWRSAFE-2000D;One-Time;OneTime,true,QB-PWRSAFE-2000D,One-Time;OneTime,
QB-PWRSAFE-600D;One-Time;OneTime,true,QB-PWRSAFE-600D,One-Time;OneTime,
QB-QRack-750;One-Time;OneTime,true,QB-QRack-750,One-Time;OneTime,
QB-QTY-CMT;Term Annual;TermDefined,true,QB-QTY-CMT,Term Annual;TermDefined,Default Proration Policy
QB-RAID-500;One-Time;OneTime,true,QB-RAID-500,One-Time;OneTime,
QB-SRV-DNE;One-Time;OneTime,true,QB-SRV-DNE,One-Time;OneTime,
QB-SRV-IMP;One-Time;OneTime,true,QB-SRV-IMP,One-Time;OneTime,
QB-SRV-ISE;One-Time;OneTime,true,QB-SRV-ISE,One-Time;OneTime,
QB-SRV-MEE;One-Time;OneTime,true,QB-SRV-MEE,One-Time;OneTime,
QB-SRV-OG-PSH;One-Time;OneTime,true,QB-SRV-OG-PSH,One-Time;OneTime,
QB-SRV-PD;One-Time;OneTime,true,QB-SRV-PD,One-Time;OneTime,
QB-SRV-PMN;One-Time;OneTime,true,QB-SRV-PMN,One-Time;OneTime,
QB-SRV-QAE;One-Time;OneTime,true,QB-SRV-QAE,One-Time;OneTime,
QB-SRV-SAT;One-Time;OneTime,true,QB-SRV-SAT,One-Time;OneTime,
QB-SRV-SOW;One-Time;OneTime,true,QB-SRV-SOW,One-Time;OneTime,
QB-SSD 16TB;One-Time;OneTime,true,QB-SSD 16TB,One-Time;OneTime,
QB-SSD 2TB;One-Time;OneTime,true,QB-SSD 2TB,One-Time;OneTime,
QB-SSD 30TB;One-Time;OneTime,true,QB-SSD 30TB,One-Time;OneTime,
QB-SSD 4TB;One-Time;OneTime,true,QB-SSD 4TB,One-Time;OneTime,
QB-SSD 8TB;One-Time;OneTime,true,QB-SSD 8TB,One-Time;OneTime,
QB-SUPP-1000;Term Annual;TermDefined,true,QB-SUPP-1000,Term Annual;TermDefined,Default Proration Policy
QB-SUPP-1005;Term Annual;TermDefined,true,QB-SUPP-1005,Term Annual;TermDefined,Default Proration Policy
QB-SUPP-2000;Term Annual;TermDefined,true,QB-SUPP-2000,Term Annual;TermDefined,Default Proration Policy
QB-TOKENS-PACK;One-Time;OneTime,true,QB-TOKENS-PACK,One-Time;OneTime,
QB-TRN-ESSNTLS;One-Time;OneTime,true,QB-TRN-ESSNTLS,One-Time;OneTime,
QB-TRN-FUND;One-Time;OneTime,true,QB-TRN-FUND,One-Time;OneTime,
QB-VegaX200;One-Time;OneTime,true,QB-VegaX200,One-Time;OneTime,
TEST-SUB;Evergreen Annual;Evergreen,false,TEST-SUB,Evergreen Annual;Evergreen,Default Proration Policy
TEST-SUB;Evergreen Monthly;Evergreen,false,TEST-SUB,Evergreen Monthly;Evergreen,Default Proration Policy
TEST-SUB;Term Annual;TermDefined,true,TEST-SUB,Term Annual;TermDefined,Default Proration Policy
TEST-SUB;Term Monthly;TermDefined,false,TEST-SUB,Term Monthly;TermDefined,Default Proration Policy
