$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.$$Name$IsDefault,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book;QB-API;USD,224.19,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-API
Standard Cost Book;QB-API-FLEX;USD,101.68,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-API-FLEX
Standard Cost Book;QB-API-GOVT;USD,684.54,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
Standard Cost Book;QB-API-MGMT;USD,292.44,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-PREP;USD,869.06,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PROD;USD,1066.8,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-REQT;USD,1.61,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-AUT-CRED;USD,0.98,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-BDL-R750;USD,1335.88,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BET X710SFP;USD,231.28,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-CBOOST-150;USD,76.49,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CMPC-5882;USD,121.63,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5887;USD,49.9,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMT-TKN-EACH;USD,410.71,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-FLAT;USD,219.84,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-TIER;USD,321.81,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CPU-HEATSINK;USD,4.27,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-DAT-GRPH;USD,7720.88,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DB;USD,4351.66,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB-TOKEN;USD,3382.7,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-FLO-STRT;USD,216.21,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-GEN-AI-LIC;USD,35.01,Standard Cost Book;true,USD,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
