$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
QB-API;Evergreen Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,2000
QB-API;Term Annual;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,15000
QB-API;Term Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1500
QB-API-FLEX;Term Annual;USD,USD,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,450
QB-API-GOVT;Term Annual;USD,USD,true,false,Additional API Gov,Standard Price Book;true,QB-API-GOVT,Term Annual;TermDefined,1450
QB-API-MGMT;Evergreen Monthly;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Evergreen Monthly;Evergreen,1000
QB-API-MGMT;Term Annual;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Term Annual;TermDefined,12000
QB-API-MGMT;Term Monthly;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Term Monthly;TermDefined,1000
QB-API-PREP;Term Annual;USD,USD,true,false,Additional API Pre-Prod,Standard Price Book;true,QB-API-PREP,Term Annual;TermDefined,3240
QB-API-PROD;Term Annual;USD,USD,true,false,Additional API Prod,Standard Price Book;true,QB-API-PROD,Term Annual;TermDefined,3240
QB-API-REQT;Evergreen Monthly;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Evergreen Monthly;Evergreen,5
QB-API-REQT;Term Annual;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Term Annual;TermDefined,45
QB-API-REQT;Term Monthly;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Term Monthly;TermDefined,5
QB-AUT-CRED;Evergreen Monthly;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Evergreen Monthly;Evergreen,2.5
QB-AUT-CRED;Term Annual;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Term Annual;TermDefined,25
QB-AUT-CRED;Term Monthly;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Term Monthly;TermDefined,2
QB-BDL-R750;One-Time;USD,USD,true,false,PowerSwerve R750 Rack Server,Standard Price Book;true,QB-BDL-R750,One-Time;OneTime,3899
QB-BDL-SRVC;One-Time;USD,USD,true,false,QuantumBit Services Project,Standard Price Book;true,QB-BDL-SRVC,One-Time;OneTime,0
QB-BDL-STND;One-Time;USD,USD,true,false,QuantumBit Starter,Standard Price Book;true,QB-BDL-STND,One-Time;OneTime,0
QB-BET X710SFP;One-Time;USD,USD,true,false,Intel X710 Dual Port 10Gb SFP,Standard Price Book;true,QB-BET X710SFP,One-Time;OneTime,1599
QB-CBOOST-150;One-Time;USD,USD,true,false,QB-CacheBoost 150,Standard Price Book;true,QB-CBOOST-150,One-Time;OneTime,389
QB-CMPC-5882;One-Time;USD,USD,true,false,Configured Power Cable,Standard Price Book;true,QB-CMPC-5882,One-Time;OneTime,249
QB-CMPC-5887;One-Time;USD,USD,true,false,C13 to C14 Power Cable 3',Standard Price Book;true,QB-CMPC-5887,One-Time;OneTime,250
QB-CMT-TKN-EACH;Term Annual;USD,USD,true,false,QuantumBit Database (Token Commit - Each),Standard Price Book;true,QB-CMT-TKN-EACH,Term Annual;TermDefined,1000
QB-CMT-TKN-FLAT;Term Annual;USD,USD,true,false,QuantumBit Database (Token Commit - Flat),Standard Price Book;true,QB-CMT-TKN-FLAT,Term Annual;TermDefined,1000
QB-CMT-TKN-TIER;Term Annual;USD,USD,true,false,QuantumBit Database (Token Commit - Tier),Standard Price Book;true,QB-CMT-TKN-TIER,Term Annual;TermDefined,1000
QB-COMPLETE;Evergreen Monthly;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,Evergreen Monthly;Evergreen,0
QB-COMPLETE;One-Time;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,One-Time;OneTime,0
QB-COMPLETE;Term Annual;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,Term Annual;TermDefined,0
QB-COMPLETE;Term Monthly;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,Term Monthly;TermDefined,0
QB-CPU-HEATSINK;One-Time;USD,USD,true,false,QB CPU Heat Sink,Standard Price Book;true,QB-CPU-HEATSINK,One-Time;OneTime,35
QB-CS;Term Annual;USD,USD,true,false,QuantumBit Collaboration Suite,Standard Price Book;true,QB-CS,Term Annual;TermDefined,0
QB-CS;Term Monthly;USD,USD,true,false,QuantumBit Collaboration Suite,Standard Price Book;true,QB-CS,Term Monthly;TermDefined,0
QB-DAT-GRPH;Term Annual;USD,USD,true,false,Additional QB DataGraph (500M),Standard Price Book;true,QB-DAT-GRPH,Term Annual;TermDefined,25000
QB-DAT-THPT;Evergreen Monthly;USD,USD,true,false,Additional Data Throughput,Standard Price Book;true,QB-DAT-THPT,Evergreen Monthly;Evergreen,0
QB-DAT-THPT;Term Annual;USD,USD,true,false,Additional Data Throughput,Standard Price Book;true,QB-DAT-THPT,Term Annual;TermDefined,0
QB-DAT-THPT;Term Monthly;USD,USD,true,false,Additional Data Throughput,Standard Price Book;true,QB-DAT-THPT,Term Monthly;TermDefined,0
QB-DB;Term Annual;USD,USD,true,false,QuantumBit Database,Standard Price Book;true,QB-DB,Term Annual;TermDefined,12000
QB-DB-TOKEN;Term Annual;USD,USD,true,false,QuantumBit Database (Token Based),Standard Price Book;true,QB-DB-TOKEN,Term Annual;TermDefined,12000
QB-FLO-STRT;Evergreen Monthly;USD,USD,true,false,Additional Flows - QB Starter,Standard Price Book;true,QB-FLO-STRT,Evergreen Monthly;Evergreen,2000
QB-FLO-STRT;Term Annual;USD,USD,true,false,Additional Flows - QB Starter,Standard Price Book;true,QB-FLO-STRT,Term Annual;TermDefined,24000
QB-FLO-STRT;Term Monthly;USD,USD,true,false,Additional Flows - QB Starter,Standard Price Book;true,QB-FLO-STRT,Term Monthly;TermDefined,1500
QB-GEN-AI-LIC;Term Annual;USD,USD,true,false,QuantumBit Generative AI License,Standard Price Book;true,QB-GEN-AI-LIC,Term Annual;TermDefined,149.99
QB-HD 1.2TB;One-Time;USD,USD,true,false,1TB 10k RPM (2.5in),Standard Price Book;true,QB-HD 1.2TB,One-Time;OneTime,250
QB-HD 1TB;One-Time;USD,USD,true,false,1TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 1TB,One-Time;OneTime,499
QB-HD 20TB;One-Time;USD,USD,true,false,20TB 7.2k RPM NLSAS (3.5in),Standard Price Book;true,QB-HD 20TB,One-Time;OneTime,1848
QB-HD 3TB;One-Time;USD,USD,true,false,3TB 10k RPM (2.5in),Standard Price Book;true,QB-HD 3TB,One-Time;OneTime,450
QB-HD 4TB;One-Time;USD,USD,true,false,4TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 4TB,One-Time;OneTime,799
QB-HD 8TB;One-Time;USD,USD,true,false,8TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 8TB,One-Time;OneTime,999
QB-HD 8TBSE;One-Time;USD,USD,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,Standard Price Book;true,QB-HD 8TBSE,One-Time;OneTime,1199
QB-INTEL E5-2609;One-Time;USD,USD,true,false,Intel Xeon E5-2609 v4 1.7GHz,Standard Price Book;true,QB-INTEL E5-2609,One-Time;OneTime,1499
