$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Code$RateUnitOfMeasure.UnitCode,DefaultUnitOfMeasure.Name,DefaultUnitOfMeasureClass.Name,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit,ProductSellingModel.Name,Rate,RateCard.$$Name$Type,RateNegotiation,RateUnitOfMeasure.Name,RateUnitOfMeasure.UnitCode,RateUnitOfMeasureClass.Name,Status,UsageResource.Code,UsageResource.Name
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-CPUTIME-TKN,Compute Time (Token)
QB-CMT-TKN-EACH;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-DATASTORAGE-TKN,Data Storage (Token)
QB-CMT-TKN-FLAT;Tier Rate Card;TOKEN-UOM,,,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,,
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;USD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM,,,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,,
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;USD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB;Base Rate Card;UR-CPUTIME;USD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.004,Base Rate Card;Base,Negotiable,USD,USD,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-DATASTORAGE;USD,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,10,Base Rate Card;Base,Negotiable,USD,USD,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Tier Rate Card;UR-CPUTIME;USD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,UR-CPUTIME,Compute Time
