Name,ProductCode,StockKeepingUnit,UsageModelType
Shipping Charge Product,,9999999,
Finance Service,QB-AEH-BILL,QB-AEH-BILL,
Provisioning and Activation Service,QB-AEH-CPU,QB-AEH-CPU,
AEH Environment Runtime,QB-AEH-ENV,QB-AEH-ENV,
AEH Object Store - Restricted Use,QB-AEH-OBJ,QB-AEH-OBJ,
Order Processing,QB-AEH-OR,QB-AEH-OR,
Additional API,QB-API,QB-API,
API Calls,QB-API-CALLS,QB-API-CALLS,
Additional API Flex (100M),QB-API-FLEX,QB-API-FLEX,
Additional API Gov,QB-API-GOVT,QB-API-GOVT,
QB API Management Solution,QB-API-MGMT,QB-API-MGMT,
Additional API Pre-Prod,QB-API-PREP,QB-API-PREP,
Additional API Prod,QB-API-PROD,QB-API-PROD,
API Access Requests (AEH),QB-API-REQT,QB-API-REQT,
Additional Automation QB Credits,QB-AUT-CRED,QB-AUT-CRED,
QuantumBit Business Critical,QB-BDL-CRTL,QB-BDL-CRTL,
QuantumBit Enterprise,QB-BDL-ENTR,QB-BDL-ENTR,
PowerSwerve R750 Rack Server,QB-BDL-R750,QB-BDL-R750,
QuantumBit Rack Enclosure,QB-BDL-RAXS,QB-BDL-RAXS,
QuantumBit Services Project,QB-BDL-SRVC,QB-BDL-SRVC,
QuantumBit Starter,QB-BDL-STND,QB-BDL-STND,
Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,QB-BET X710SFP,
QuantumShell 8U 600mmx1070mm,QB-BMX-1050,QB-BMX-1050,
QuantumShell 6U 600mmx870mm,QB-BMX-1051,QB-BMX-1051,
QuantumShell 10U 600mmx1200mm,QB-BMX-1053,QB-BMX-1053,
Blanking Panel,QB-BSSA-4298,QB-BSSA-4298,
Sliding Shelf 200lbs,QB-BSSA-4300,QB-BSSA-4300,
Fixed Shelf 250lbs,QB-BSSA-4302,QB-BSSA-4302,
TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303,QB-BSSA-4303,
TX Bolt-Down Kit,QB-BSSA-4304,QB-BSSA-4304,
Roof Fan Tray 750mm - 120V,QB-BSSA-4306,QB-BSSA-4306,
Roof Fan Tray 750mm - 208V,QB-BSSA-4308,QB-BSSA-4308,
QB-CacheBoost 150,QB-CBOOST-150,QB-CBOOST-150,
Cable Management Rings (Qty 10),QB-CMPC-5881,QB-CMPC-5881,
Configured Power Cable,QB-CMPC-5882,QB-CMPC-5882,
"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5883,QB-CMPC-5883,
Cable Containment Brackets,QB-CMPC-5884,QB-CMPC-5884,
C13 to C14 Power Cable 3',QB-CMPC-5887,QB-CMPC-5887,
C13 to C14 Power Cable 5',QB-CMPC-5888,QB-CMPC-5888,
C19 to C20 Power Cable 3',QB-CMPC-5889,QB-CMPC-5889,
C19 to C20 Power Cable 5',QB-CMPC-5890,QB-CMPC-5890,
L5-20 Input Power Cable 12',QB-CMPC-5891,QB-CMPC-5891,
L5-20 Input Power Cable 8',QB-CMPC-5892,QB-CMPC-5892,
QuantumBit Database (Token Commit - Each),QB-CMT-TKN-EACH,QB-CMT-TKN-EACH,Commit
QuantumBit Database (Token Commit - Flat),QB-CMT-TKN-FLAT,QB-CMT-TKN-FLAT,Commit
QuantumBit Database (Token Commit - Tier),QB-CMT-TKN-TIER,QB-CMT-TKN-TIER,Commit
QuantumBit Complete Solution,QB-COMPLETE,QB-COMPLETE,
Compute Time,QB-CPU-BLNG,QB-CPU-BLNG,
QB CPU Heat Sink,QB-CPU-HEATSINK,QB-CPU-HEATSINK,
QuantumBit Collaboration Suite,QB-CS,QB-CS,
Additional QB DataGraph (500M),QB-DAT-GRPH,QB-DAT-GRPH,
Additional Data Throughput,QB-DAT-THPT,QB-DAT-THPT,Pack
Data Storage,QB-DATA-STORAGE-BLNG,QB-DATA-STORAGE-BLNG,
Data Throughput,QB-DATA-THPT-BLNG,QB-DATA-THPT-BLNG,
QuantumBit Database,QB-DB,QB-DB,Anchor
QuantumBit Database (Token Based),QB-DB-TOKEN,QB-DB-TOKEN,Anchor
Additional Flows - Provisioning & Activation Service,QB-DRO-AACR,QB-DRO-AACR,
Additional API - Provision & Activation Service,QB-DRO-AAPI,QB-DRO-AAPI,
Additional Automation QB Credits - Provisioning & Activation Service,QB-DRO-AAQBC,QB-DRO-AAQBC,
AEH API - Provisioning & Activation Service,QB-DRO-AEH,QB-DRO-AEH,
Additional Flows - QB Starter - Provisioning & Activation Service,QB-DRO-AFBQ,QB-DRO-AFBQ,
Additional Messages QB Starter - Provisioning & Activation Service,QB-DRO-AM,QB-DRO-AM,
API Platform - Provisioning & Activation Service,QB-DRO-APIPLAT,QB-DRO-APIPLAT,
Finance Service,QB-DRO-BILL,QB-DRO-BILL,
Billing,QB-DRO-BILLING,QB-DRO-BILLING,
License Activation,QB-DRO-LICACT,QB-DRO-LICACT,
Order Processing,QB-DRO-OR,QB-DRO-OR,
API Management License - Provisioning & Activation Service,QB-DRO-PERMS,QB-DRO-PERMS,
Project Service,QB-DRO-PROJ,QB-DRO-PROJ,
Provision DB,QB-DRO-PROVISION,QB-DRO-PROVISION,
QuantumBit Database - Provisioning & Activation Service,QB-DRO-QBD,QB-DRO-QBD,
Additional Flows - QB Enterprise,QB-FLO-ENTR,QB-FLO-ENTR,
Additional Flows - QB Starter,QB-FLO-STRT,QB-FLO-STRT,
QuantumBit Generative AI License,QB-GEN-AI-LIC,QB-GEN-AI-LIC,
1TB 10k RPM (2.5in),QB-HD 1.2TB,QB-HD 1.2TB,
1TB 7.2k RPM NLSAS,QB-HD 1TB,QB-HD 1TB,
20TB 7.2k RPM NLSAS (3.5in),QB-HD 20TB,QB-HD 20TB,
3TB 10k RPM (2.5in),QB-HD 3TB,QB-HD 3TB,
4TB 7.2k RPM NLSAS,QB-HD 4TB,QB-HD 4TB,
8TB 7.2k RPM NLSAS,QB-HD 8TB,QB-HD 8TB,
8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,QB-HD 8TBSE,
Installation and Assembly,QB-INST-1000,QB-INST-1000,
Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,QB-INTEL E5-2609,
Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660,QB-INTEL E5-2660,
Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667,QB-INTEL E5-2667,
Intel Xeon E5-2683 v4 2.1GHz,QB-INTEL E5-2683,QB-INTEL E5-2683,
"Intel Xeon Gold 5318N 2.1GHz, 24C/48T",QB-INTEL-GOLD-5318N,QB-INTEL-GOLD-5318N,
"Intel Xeon Gold 6330N 2.2GHz, 28C/56T",QB-INTEL-GOLD-6330N,QB-INTEL-GOLD-6330N,
"Intel Xeon Gold 6354 3GHz, 18C/36T",QB-INTEL-GOLD-6354,QB-INTEL-GOLD-6354,
"Intel Xeon Platinum 8352M 2.3GHz, 32C/64T",QB-INTEL-PLAT-8352M,QB-INTEL-PLAT-8352M,
"Intel Xeon Platinum 8352Y 2.2GHz, 32C/64T",QB-INTEL-PLAT-8352Y,QB-INTEL-PLAT-8352Y,
"Intel Xeon Platinum 8360Y 2.4GHz, 36C/72T",QB-INTEL-PLAT-8360Y,QB-INTEL-PLAT-8360Y,
"Intel Xeon Platinum 8368 2.4GHz, 38C/76T",QB-INTEL-PLAT-8368,QB-INTEL-PLAT-8368,
Cloud License (Monthly),QB-LIC-CLOUD,QB-LIC-CLOUD,
QB Liquid Cooler,QB-LIQUIDCOOL,QB-LIQUIDCOOL,
128GB LRDIMM,QB-MEM 128GB,QB-MEM 128GB,
16GB RDIMM,QB-MEM 16GB,QB-MEM 16GB,
32GB RDIMM,QB-MEM 32GB,QB-MEM 32GB,
64GB RDIMM,QB-MEM 64GB,QB-MEM 64GB,
8GB RDIMM,QB-MEM 8GB,QB-MEM 8GB,
Additional Messages - QB Enterprise,QB-MSG-ENTR,QB-MSG-ENTR,
Additional Messages - QB Starter,QB-MSG-STRT,QB-MSG-STRT,
QuantumBit Database (Monetary Commit),QB-MTY-CMT,QB-MTY-CMT,CommitmentSpend
Intel X710 Dual Port 10Gb Direct Attach,QB-NET X710,QB-NET X710,
QB-NetLink 100G Ultra,QB-NET-100G-ULTRA,QB-NET-100G-ULTRA,
QB-NetLink 10G,QB-NET-10G,QB-NET-10G,
QB-NetLink 25G,QB-NET-25G,QB-NET-25G,
QB-NetSecure 10G,QB-NETSECURE-10G,QB-NETSECURE-10G,
No Operating System,QB-NO-OSYS,QB-NO-OSYS,
QB-Accel NovaX150,QB-NovaX150,QB-NovaX150,
QB-NVExpand 200,QB-NVExpand-200,QB-NVExpand-200,
"Rack PDU 20A, 120V L5-20",QB-PDU-2022,QB-PDU-2022,
"Rack PDU 30A, 120V L5-20",QB-PDU-2023,QB-PDU-2023,
"Rack PDU 15A, 120V L5-20",QB-PDU-2024,QB-PDU-2024,
"Rack PDU 20A, 230V C20 input C1",QB-PDU-2025,QB-PDU-2025,
"Rack PDU 10A, 230V C20 input C19",QB-PDU-2026,QB-PDU-2026,
"Rack PDU 16A, 230V, C13 output",QB-PDU-2027,QB-PDU-2027,
"Rack PDU 14.4kW, 208V, C13 output",QB-PDU-2028,QB-PDU-2028,
"Rack PDU 5.7W, 208V, C13 output",QB-PDU-2029,QB-PDU-2029,
QB-PowerCore 1600S,QB-PWRCORE-1600S,QB-PWRCORE-1600S,
QB-PowerCore 500S,QB-PWRCORE-500S,QB-PWRCORE-500S,
QB-PowerCore 800S,QB-PWRCORE-800S,QB-PWRCORE-800S,
QB-PowerSafe 1000D,QB-PWRSAFE-1000D,QB-PWRSAFE-1000D,
