$$Product.StockKeepingUnit$UsageResource.Code,EffectiveEndDate,EffectiveStartDate,Product.StockKeepingUnit,Status,UsageResource.Code
QB-DB;UR-DATASTORAGE,,2023-01-01T20:00:00.000+0000,QB-DB,Active,UR-DATASTORAGE
QB-TOKENS-PACK;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-TOKENS-PACK,Active,QB-TOKEN
QB-CMT-TKN-EACH;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,Active,QB-TOKEN
QB-CMT-TKN-EACH;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,Active,UR-DATASTORAGE
QB-CMT-TKN-EACH;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-EACH,Active,UR-CPUTIME
QB-DB-TOKEN;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-DB-TOKEN,Active,UR-DATASTORAGE
QB-DB-TOKEN;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-DB-TOKEN,Active,UR-CPUTIME
QB-DB-TOKEN;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-DB-TOKEN,Active,QB-TOKEN
QB-CMT-TKN-FLAT;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,Active,QB-TOKEN
QB-CMT-TKN-FLAT;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,Active,UR-CPUTIME
QB-CMT-TKN-FLAT;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-FLAT,Active,UR-DATASTORAGE
QB-CMT-TKN-TIER;QB-TOKEN,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,Active,QB-TOKEN
QB-CMT-TKN-TIER;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,Active,UR-DATASTORAGE
QB-CMT-TKN-TIER;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-CMT-TKN-TIER,Active,UR-CPUTIME
QB-QTY-CMT;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-QTY-CMT,Active,UR-DATASTORAGE
QB-QTY-CMT;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-QTY-CMT,Active,UR-CPUTIME
QB-MTY-CMT;UR-USD,,2025-01-01T20:00:00.000+0000,QB-MTY-CMT,Active,UR-USD
QB-MTY-CMT;UR-CPUTIME,,2025-01-01T20:00:00.000+0000,QB-MTY-CMT,Active,UR-CPUTIME
QB-MTY-CMT;UR-DATASTORAGE,,2025-01-01T20:00:00.000+0000,QB-MTY-CMT,Active,UR-DATASTORAGE
QB-DAT-THPT;UR-DATAXFR,,2023-01-01T20:00:00.000+0000,QB-DAT-THPT,Active,UR-DATAXFR
QB-DB;UR-CPUTIME,,2023-01-01T20:00:00.000+0000,QB-DB,Active,UR-CPUTIME
