$$UsageDefinitionProduct.StockKeepingUnit$UnitOfMeasureClass.Code$UnitOfMeasure.UnitCode,Status,UnitOfMeasure.UnitCode,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit
QB-CPU-BLNG;TIME;m,Active,m,TIME,QB-CPU-BLNG
QB-DATA-STORAGE-BLNG;DATAVOL;TB,Active,TB,DATAVOL,QB-DATA-STORAGE-BLNG
QB-DATA-STORAGE-BLNG;DATAVOL;TB,Active,TB,DATAVOL,QB-DATA-STORAGE-BLNG
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,Active,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF
QB-CPU-BLNG;TIME;m,Active,m,TIME,QB-CPU-BLNG
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,Active,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF
QB-DATA-STORAGE-BLNG;DATAVOL;TB,Active,TB,DATAVOL,QB-DATA-STORAGE-BLNG
QB-CPU-BLNG;TIME;m,Active,m,TIME,QB-CPU-BLNG
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,Active,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF
QB-CPU-BLNG;TIME;m,Active,m,TIME,QB-CPU-BLNG
QB-DATA-STORAGE-BLNG;DATAVOL;TB,Active,TB,DATAVOL,QB-DATA-STORAGE-BLNG
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,Active,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF
QB-CPU-BLNG;TIME;m,Active,m,TIME,QB-CPU-BLNG
QB-DATA-STORAGE-BLNG;DATAVOL;TB,Active,TB,DATAVOL,QB-DATA-STORAGE-BLNG
QB-DATA-STORAGE-BLNG;DATAVOL;TB,Active,TB,DATAVOL,QB-DATA-STORAGE-BLNG
QB-CPU-BLNG;TIME;m,Active,m,TIME,QB-CPU-BLNG
RES-USD-DEF;CURRENCY;USD,Active,USD,CURRENCY,RES-USD-DEF
QB-CPU-BLNG;TIME;m,Active,m,TIME,QB-CPU-BLNG
QB-DATA-STORAGE-BLNG;DATAVOL;TB,Active,TB,DATAVOL,QB-DATA-STORAGE-BLNG
