$$Product.StockKeepingUnit$UsageResource.Code,Product.StockKeepingUnit,Status,UsageResource.Code
QB-DB;UR-DATASTORAGE,QB-DB,Active,UR-DATASTORAGE
QB-TOKENS-PACK;QB-TOKEN,QB-TOKENS-PACK,Active,QB-TOKEN
QB-CMT-TKN-EACH;QB-TOKEN,QB-CMT-TKN-EACH,Active,QB-TOKEN
QB-CMT-TKN-EACH;UR-DATASTORAGE,QB-CMT-TKN-EACH,Active,UR-DATASTORAGE
QB-CMT-TKN-EACH;UR-CPUTIME,QB-CMT-TKN-EACH,Active,UR-CPUTIME
QB-DB-TOKEN;UR-DATASTORAGE,QB-DB-TOKEN,Active,UR-DATASTORAGE
QB-DB-TOKEN;UR-CPUTIME,QB-DB-TOKEN,Active,UR-CPUTIME
QB-DB-TOKEN;QB-TOKEN,QB-DB-TOKEN,Active,QB-TOKEN
QB-CMT-TKN-FLAT;QB-TOKEN,QB-CMT-TKN-FLAT,Active,QB-TOKEN
QB-CMT-TKN-FLAT;UR-CPUTIME,QB-CMT-TKN-FLAT,Active,UR-CPUTIME
QB-CMT-TKN-FLAT;UR-DATASTORAGE,QB-CMT-TKN-FLAT,Active,UR-DATASTORAGE
QB-CMT-TKN-TIER;QB-TOKEN,QB-CMT-TKN-TIER,Active,QB-TOKEN
QB-CMT-TKN-TIER;UR-DATASTORAGE,QB-CMT-TKN-TIER,Active,UR-DATASTORAGE
QB-CMT-TKN-TIER;UR-CPUTIME,QB-CMT-TKN-TIER,Active,UR-CPUTIME
QB-QTY-CMT;UR-DATASTORAGE,QB-QTY-CMT,Active,UR-DATASTORAGE
QB-QTY-CMT;UR-CPUTIME,QB-QTY-CMT,Active,UR-CPUTIME
QB-MTY-CMT;UR-USD,QB-MTY-CMT,Active,UR-USD
QB-MTY-CMT;UR-CPUTIME,QB-MTY-CMT,Active,UR-CPUTIME
QB-MTY-CMT;UR-DATASTORAGE,QB-MTY-CMT,Active,UR-DATASTORAGE
QB-DAT-THPT;UR-DATAXFR,QB-DAT-THPT,Active,UR-DATAXFR
QB-DB;UR-CPUTIME,QB-DB,Active,UR-CPUTIME
