$$Name$SourceProduct.StockKeepingUnit$DestinationProduct.StockKeepingUnit$CurrencyIsoCode,CurrencyIsoCode,DestinationProduct.$$Name$StockKeepingUnit,Name,Priority,SourceProduct.$$Name$StockKeepingUnit
AEH API Access Requests - Provisioning and Activation Service;QB-API-REQT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,AEH API Access Requests - Provisioning and Activation Service,,API Access Requests (AEH);QB-API-REQT
API Access Requests to Finance;QB-API-REQT;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,API Access Requests to Finance,,API Access Requests (AEH);QB-API-REQT
QB API Management Solution to Finance;QB-API-MGMT;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,QB API Management Solution to Finance,,QB API Management Solution;QB-API-MGMT
Additional Data Throughput (TB) to Finance;QB-DAT-THPT;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Additional Data Throughput (TB) to Finance,,Additional Data Throughput;QB-DAT-THPT
Training to Finance;QB-TRN-ESSNTLS;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Training to Finance,,QuantumBit Essentials Training;QB-TRN-ESSNTLS
Services Rate to Finance;QB-SRV-OG-PSH;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Services Rate to Finance,,Professional Services Daily Rate;QB-SRV-OG-PSH
Additional API to Finance;QB-API;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Additional API to Finance,,Additional API;QB-API
Training to Finance;QB-TRN-FUND;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Training to Finance,,QuantumBit Fundamentals Training;QB-TRN-FUND
Essentials Train to Order Processing;QB-TRN-ESSNTLS;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Essentials Train to Order Processing,,QuantumBit Essentials Training;QB-TRN-ESSNTLS
Scope of Work to Finance;QB-SRV-SOW;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Scope of Work to Finance,,Professional Services Scope of Work;QB-SRV-SOW
Maintenance to Finance;QB-SUPP-2000;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Maintenance to Finance,,Software Maintenance;QB-SUPP-2000
Additional Message to Finance;QB-MSG-STRT;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Additional Message to Finance,,Additional Messages - QB Starter;QB-MSG-STRT
Additional Flow to Finance;QB-FLO-STRT;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Additional Flow to Finance,,Additional Flows - QB Starter;QB-FLO-STRT
Service Project to Finance;QB-BDL-SRVC;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Service Project to Finance,,QuantumBit Services Project;QB-BDL-SRVC
Additional to Finance;QB-AUT-CRED;QB-AEH-BILL;USD,USD,Finance Service;QB-AEH-BILL,Additional to Finance,,Additional Automation QB Credits;QB-AUT-CRED
QB API Management Solution to Order Process;QB-API-MGMT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,QB API Management Solution to Order Process,,QB API Management Solution;QB-API-MGMT
QB API Management Solution to P&A;QB-API-MGMT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,QB API Management Solution to P&A,,QB API Management Solution;QB-API-MGMT
Additional Data Throughput (TB) to Order Processing;QB-DAT-THPT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional Data Throughput (TB) to Order Processing,,Additional Data Throughput;QB-DAT-THPT
Additional Data Throughput (TB) to P&A;QB-DAT-THPT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional Data Throughput (TB) to P&A,,Additional Data Throughput;QB-DAT-THPT
Daily Rate to Order Processing;QB-SRV-OG-PSH;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Daily Rate to Order Processing,,Professional Services Daily Rate;QB-SRV-OG-PSH
Additional API to Order Processing;QB-API;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional API to Order Processing,,Additional API;QB-API
Additional API to P&A;QB-API;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional API to P&A,,Additional API;QB-API
Training to Order Processing;QB-TRN-FUND;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Training to Order Processing,,QuantumBit Fundamentals Training;QB-TRN-FUND
Scope of Work to Order Processing;QB-SRV-SOW;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Scope of Work to Order Processing,,Professional Services Scope of Work;QB-SRV-SOW
Additional Message to Order Processing;QB-MSG-STRT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional Message to Order Processing,,Additional Messages - QB Starter;QB-MSG-STRT
Additional Message to P&A;QB-MSG-STRT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional Message to P&A,,Additional Messages - QB Starter;QB-MSG-STRT
Maintenance to Order Processing;QB-SUPP-2000;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Maintenance to Order Processing,,Software Maintenance;QB-SUPP-2000
Additional Flow to Order Processing;QB-FLO-STRT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional Flow to Order Processing,,Additional Flows - QB Starter;QB-FLO-STRT
Additional Flow to P&A;QB-FLO-STRT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional Flow to P&A,,Additional Flows - QB Starter;QB-FLO-STRT
AEH API Access Requests - Order Processing;QB-API-REQT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,AEH API Access Requests - Order Processing,,API Access Requests (AEH);QB-API-REQT
