CustomDecompositionScope,DecompositionScope,FulfillmentQtyCalcMethod,Name,StockKeepingUnit
,,,Shipping Charge Product,9999999
,Bundle,,Finance Service,QB-AEH-BILL
,Bundle,,Provisioning and Activation Service,QB-AEH-CPU
,OrderLineItem,,AEH Environment Runtime,QB-AEH-ENV
,OrderLineItem,,AEH Object Store - Restricted Use,QB-AEH-OBJ
,Bundle,,Order Processing,QB-AEH-OR
,OrderLineItem,,Additional API,QB-API
,,,API Calls,QB-API-CALLS
,OrderLineItem,,Additional API Flex (100M),QB-API-FLEX
,OrderLineItem,,Additional API Gov,QB-API-GOVT
,OrderLineItem,,QB API Management Solution,QB-API-MGMT
,OrderLineItem,,Additional API Pre-Prod,QB-API-PREP
,OrderLineItem,,Additional API Prod,QB-API-PROD
,OrderLineItem,,API Access Requests (AEH),QB-API-REQT
,OrderLineItem,,Additional Automation QB Credits,QB-AUT-CRED
,OrderLineItem,,QuantumBit Business Critical,QB-BDL-CRTL
,OrderLineItem,,QuantumBit Enterprise,QB-BDL-ENTR
,OrderLineItem,,PowerSwerve R750 Rack Server,QB-BDL-R750
,OrderLineItem,,QuantumBit Rack Enclosure,QB-BDL-RAXS
,OrderLineItem,,QuantumBit Services Project,QB-BDL-SRVC
,OrderLineItem,,QuantumBit Starter,QB-BDL-STND
,OrderLineItem,,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP
,OrderLineItem,,QuantumShell 8U 600mmx1070mm,QB-BMX-1050
,OrderLineItem,,QuantumShell 6U 600mmx870mm,QB-BMX-1051
,OrderLineItem,,QuantumShell 10U 600mmx1200mm,QB-BMX-1053
,OrderLineItem,,Blanking Panel,QB-BSSA-4298
,OrderLineItem,,Sliding Shelf 200lbs,QB-BSSA-4300
,OrderLineItem,,Fixed Shelf 250lbs,QB-BSSA-4302
,OrderLineItem,,TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303
,OrderLineItem,,TX Bolt-Down Kit,QB-BSSA-4304
,OrderLineItem,,Roof Fan Tray 750mm - 120V,QB-BSSA-4306
,OrderLineItem,,Roof Fan Tray 750mm - 208V,QB-BSSA-4308
,,,QB-CacheBoost 150,QB-CBOOST-150
,OrderLineItem,,Cable Management Rings (Qty 10),QB-CMPC-5881
,OrderLineItem,,Configured Power Cable,QB-CMPC-5882
,OrderLineItem,,"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5883
,OrderLineItem,,Cable Containment Brackets,QB-CMPC-5884
,OrderLineItem,,C13 to C14 Power Cable 3',QB-CMPC-5887
,OrderLineItem,,C13 to C14 Power Cable 5',QB-CMPC-5888
,OrderLineItem,,C19 to C20 Power Cable 3',QB-CMPC-5889
,OrderLineItem,,C19 to C20 Power Cable 5',QB-CMPC-5890
,OrderLineItem,,L5-20 Input Power Cable 12',QB-CMPC-5891
,OrderLineItem,,L5-20 Input Power Cable 8',QB-CMPC-5892
,,,QuantumBit Database (Token Commit - Each),QB-CMT-TKN-EACH
,,,QuantumBit Database (Token Commit - Flat),QB-CMT-TKN-FLAT
,,,QuantumBit Database (Token Commit - Tier),QB-CMT-TKN-TIER
,OrderLineItem,,QuantumBit Complete Solution,QB-COMPLETE
,,,Compute Time,QB-CPU-BLNG
,,,QB CPU Heat Sink,QB-CPU-HEATSINK
,Order,,QuantumBit Collaboration Suite,QB-CS
,OrderLineItem,,Additional QB DataGraph (500M),QB-DAT-GRPH
,OrderLineItem,,Additional Data Throughput,QB-DAT-THPT
,,,Data Storage,QB-DATA-STORAGE-BLNG
,,,Data Throughput,QB-DATA-THPT-BLNG
,,,QuantumBit Database,QB-DB
,,,QuantumBit Database (Token Based),QB-DB-TOKEN
Group_Identifier,Custom,Aggregate,Additional Flows - Provisioning & Activation Service,QB-DRO-AACR
Group_Identifier,Custom,Aggregate,Additional API - Provision & Activation Service,QB-DRO-AAPI
Group_Identifier,Custom,,Additional Automation QB Credits - Provisioning & Activation Service,QB-DRO-AAQBC
Group_Identifier,Custom,,AEH API - Provisioning & Activation Service,QB-DRO-AEH
Group_Identifier,Custom,,Additional Flows - QB Starter - Provisioning & Activation Service,QB-DRO-AFBQ
Group_Identifier,Custom,,Additional Messages QB Starter - Provisioning & Activation Service,QB-DRO-AM
Ramp_Identifier,Custom,AlwaysOne,API Platform - Provisioning & Activation Service,QB-DRO-APIPLAT
Ramp_Identifier,Account,AlwaysOne,Finance Service,QB-DRO-BILL
