CurrencyIsoCode,DataType,Code,Description,Name,Status
USD,Text,AP-001,,API Type Picklist,Active
USD,Number,AP-002,,Base Core Count Picklist,Active
USD,Text,AP-003,,Cable Length Picklist,Active
USD,Text,AP-004,,Connector Type Picklist,Active
USD,Text,AP-005,,Data Storage Picklist,Active
USD,Number,AP-006,,Data Utilization,Active
USD,Text,AP-007,,Engineering Options Picklist,Active
USD,Text,AP-008,,Network Adapter Type Picklist,Active
USD,Text,AP-009,,Operating System Picklist,Active
USD,Text,AP-010,,Processor Frequency Picklist,Active
USD,Text,AP-011,,RAM Config Picklist,Active
USD,Text,AP-012,,RAM Picklist,Active
USD,Text,AP-013,,Resource Location Picklist,Active
USD,Text,AP-014,,Server Configuration Picklist,Active
USD,Text,AP-015,,Subscription Type Picklist,Active
