Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Code,Sequence,Status,Value
,0,0,true,0,AP-006,0,Active,0
,1.7GHz,1.7GHz,false,1.7GHz,AP-010,2,Active,1.7GHz
,12ft,12',false,TwelveFeet,AP-003,,Active,12
,12x3.5 inch Drives,12 x 3.5インチドライブ,true,12x3.5 inch Drives,Front Storage,1,Active,12x3.5 inch Drives
,16GB,16GB,false,16GB,AP-012,2,Active,16GB
,16TB,16TB,false,16TB,AP-005,,Active,16TB
,16x2.5 inch Drives,16 x 2.5インチドライブ,false,16x2.5 inch Drives,Front Storage,3,Active,16x2.5 inch Drives
,1TB,1TB,true,1TB,AP-005,1,Active,1TB
,2,2,false,Two,AP-002,1,Active,2
,2.0GHz,2.0GHz,false,2.0GHz,AP-010,3,Active,2.0GHz
,2.1GHz,2.1GHz,false,2.1GHz,AP-010,4,Active,2.1GHz
,20TB,20TB,false,20TB,AP-005,,Active,20TB
,24x2.5 inch Drives,24 x 2.5インチドライブ,false,24x2.5 inch Drives,Front Storage,2,Active,24x2.5 inch Drives
,2TB,2TB,false,2TB,AP-005,,Active,2TB
,2x2.5 inch Drives,2 x 2.5インチドライブ,false,2x2.5 inch Drives,Rear Storage,2,Active,2x2.5 inch Drives
,3.2GHz,3.2GHz,true,3.2GHz,AP-010,1,Active,3.2GHz
,30TB,30TB,false,30TB,AP-005,,Active,30TB
,3200MT/s LRDIMMs,3200MT/s LRDIMMs,false,3200MT/s LRDIMMs,DIMM Type,2,Active,3200MT/s LRDIMMs
,3200MT/s RDIMMs,3200MT/s RDIMMs,true,3200MT/s RDIMMs,DIMM Type,1,Active,3200MT/s RDIMMs
,32GB,32GB,false,32GB,AP-012,3,Active,32GB
,3ft,3',true,ThreeFeet,AP-003,,Active,3
,3TB,3TB,false,3TB,AP-005,,Active,3TB
,4,4,true,Four,AP-002,2,Active,4
,4TB,4TB,false,4TB,AP-005,2,Active,4TB
,4x2.5 inch Drives,4 x 2.5インチドライブ,false,4x2.5 inch Drives,Rear Storage,3,Active,4x2.5 inch Drives
,5ft,5',false,FiveFeet,AP-003,,Active,5
,6,6,false,Six,AP-002,3,Active,6
,8,8,false,Eight,AP-002,4,Active,8
,8ft,8',false,EightFeet,AP-003,,Active,8
,8GB,8GB,true,8GB,AP-012,1,Active,8GB
,8TB,8TB,false,8TB,AP-005,3,Active,8TB
,8TB_Self_Encrypting,8TB 自己暗号化,false,8TB_Self_Encrypting,AP-005,4,Active,8TB_Self_Encrypting
,Accelerated,加速型,false,Accelerated,Performance Tier,5,Active,Accelerated
,AI,AI,false,AI,Workload,2,Draft,AI
,AL2,Amazon Linux 2,true,Amazon Linux 2,AP-009,1,Active,Amazon Linux 2
,APV-10,10,false,10,AP-006,10,Active,10
,APV-20,20,false,20,AP-006,20,Active,20
,APV-30,30,false,30,AP-006,30,Active,30
,APV-40,40,false,40,AP-006,40,Active,40
,APV-5,5,false,5,AP-006,5,Active,5
