$$Product2.StockKeepingUnit$ProductSellingModel.Name,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
QB-API;エバーグリーン（月間）,false,QB-API,エバーグリーン（月間）;Evergreen,Default Proration Policy
QB-API;期間ベース（年間）,true,QB-API,期間ベース（年間）;TermDefined,Default Proration Policy
QB-API;期間ベース（月間）,false,QB-API,期間ベース（月間）;TermDefined,Default Proration Policy
QB-API-FLEX;期間ベース（年間）,true,QB-API-FLEX,期間ベース（年間）;TermDefined,Default Proration Policy
QB-API-GOVT;期間ベース（年間）,true,QB-API-GOVT,期間ベース（年間）;TermDefined,Default Proration Policy
QB-API-MGMT;エバーグリーン（月間）,false,QB-API-MGMT,エバーグリーン（月間）;Evergreen,Default Proration Policy
QB-API-MGMT;期間ベース（年間）,true,QB-API-MGMT,期間ベース（年間）;TermDefined,Default Proration Policy
QB-API-MGMT;期間ベース（月間）,false,QB-API-MGMT,期間ベース（月間）;TermDefined,Default Proration Policy
QB-API-PREP;期間ベース（年間）,true,QB-API-PREP,期間ベース（年間）;TermDefined,Default Proration Policy
QB-API-PROD;期間ベース（年間）,true,QB-API-PROD,期間ベース（年間）;TermDefined,Default Proration Policy
QB-API-REQT;エバーグリーン（月間）,false,QB-API-REQT,エバーグリーン（月間）;Evergreen,Default Proration Policy
QB-API-REQT;期間ベース（年間）,true,QB-API-REQT,期間ベース（年間）;TermDefined,Default Proration Policy
QB-API-REQT;期間ベース（月間）,false,QB-API-REQT,期間ベース（月間）;TermDefined,Default Proration Policy
QB-AUT-CRED;エバーグリーン（月間）,false,QB-AUT-CRED,エバーグリーン（月間）;Evergreen,Default Proration Policy
QB-AUT-CRED;期間ベース（年間）,true,QB-AUT-CRED,期間ベース（年間）;TermDefined,Default Proration Policy
QB-AUT-CRED;期間ベース（月間）,false,QB-AUT-CRED,期間ベース（月間）;TermDefined,Default Proration Policy
QB-BDL-R750;１回限り,true,QB-BDL-R750,１回限り;OneTime,
QB-BDL-SRVC;１回限り,true,QB-BDL-SRVC,１回限り;OneTime,
QB-BDL-STND;１回限り,true,QB-BDL-STND,１回限り;OneTime,
QB-BET X710SFP;１回限り,true,QB-BET X710SFP,１回限り;OneTime,
QB-CBOOST-150;１回限り,true,QB-CBOOST-150,１回限り;OneTime,
QB-CMPC-5882;１回限り,true,QB-CMPC-5882,１回限り;OneTime,
QB-CMPC-5887;１回限り,true,QB-CMPC-5887,１回限り;OneTime,
QB-CMT-TKN-EACH;期間ベース（年間）,true,QB-CMT-TKN-EACH,期間ベース（年間）;TermDefined,Default Proration Policy
QB-CMT-TKN-FLAT;期間ベース（年間）,true,QB-CMT-TKN-FLAT,期間ベース（年間）;TermDefined,Default Proration Policy
QB-CMT-TKN-TIER;期間ベース（年間）,true,QB-CMT-TKN-TIER,期間ベース（年間）;TermDefined,Default Proration Policy
QB-COMPLETE;エバーグリーン（月間）,false,QB-COMPLETE,エバーグリーン（月間）;Evergreen,Default Proration Policy
QB-COMPLETE;期間ベース（年間）,true,QB-COMPLETE,期間ベース（年間）;TermDefined,Default Proration Policy
QB-COMPLETE;期間ベース（月間）,false,QB-COMPLETE,期間ベース（月間）;TermDefined,Default Proration Policy
QB-COMPLETE;１回限り,false,QB-COMPLETE,１回限り;OneTime,
QB-CPU-HEATSINK;１回限り,true,QB-CPU-HEATSINK,１回限り;OneTime,
QB-CS;期間ベース（年間）,true,QB-CS,期間ベース（年間）;TermDefined,Default Proration Policy
QB-CS;期間ベース（月間）,false,QB-CS,期間ベース（月間）;TermDefined,Default Proration Policy
QB-DAT-GRPH;期間ベース（年間）,true,QB-DAT-GRPH,期間ベース（年間）;TermDefined,Default Proration Policy
QB-DAT-THPT;エバーグリーン（月間）,false,QB-DAT-THPT,エバーグリーン（月間）;Evergreen,Default Proration Policy
QB-DAT-THPT;期間ベース（年間）,true,QB-DAT-THPT,期間ベース（年間）;TermDefined,Default Proration Policy
QB-DAT-THPT;期間ベース（月間）,false,QB-DAT-THPT,期間ベース（月間）;TermDefined,Default Proration Policy
QB-DB;期間ベース（年間）,true,QB-DB,期間ベース（年間）;TermDefined,Default Proration Policy
QB-DB-TOKEN;期間ベース（年間）,true,QB-DB-TOKEN,期間ベース（年間）;TermDefined,Default Proration Policy
QB-FLO-STRT;エバーグリーン（月間）,false,QB-FLO-STRT,エバーグリーン（月間）;Evergreen,Default Proration Policy
QB-FLO-STRT;期間ベース（年間）,true,QB-FLO-STRT,期間ベース（年間）;TermDefined,Default Proration Policy
QB-FLO-STRT;期間ベース（月間）,false,QB-FLO-STRT,期間ベース（月間）;TermDefined,Default Proration Policy
QB-GEN-AI-LIC;期間ベース（年間）,true,QB-GEN-AI-LIC,期間ベース（年間）;TermDefined,Default Proration Policy
QB-HD 1.2TB;１回限り,true,QB-HD 1.2TB,１回限り;OneTime,
