Code,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Code,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
ATTR-QB-API,Picklist,,Flex,,Type,true,false,タイプ,Type,AP-001,,,
ATTR-QB-BASECORECNT,Picklist,,4,,Base_Core_Count,true,false,基本コア数,Base Core Count,AP-002,,,
ATTR-QB-CONNECTOR,Picklist,,,,Connector_Type,true,false,コネクタタイプ,Connector Type,AP-004,,,
ATTR-QB-CPUFRQ,Picklist,,3.2GHz,,Processor_Frequency,true,false,プロセッサ周波数,Processor Frequency,AP-010,,,
ATTR-QB-DATASTORAGE,Picklist,,,,HDD_Storage,true,false,HDDストレージ,Data Storage,AP-005,,,
ATTR-QB-DATATHROUGHPUTTB,Number,,0,,Data_Throughput_TB,true,false,データスループット (TB),Data Throughput in TB,,,,
ATTR-QB-DATAUTIL,Picklist,,,,Data_Utilization,true,false,データ利用率,Data Utilization,AP-006,,,
ATTR-QB-FLOWS,Number,,1000,,Flows,true,false,フロー,Flows,,,,
ATTR-QB-LENGTH,Picklist,,,,Length,true,false,長さ,Cable Length,AP-003,,,
ATTR-QB-MESSAGES,Number,,60,,Messages_Million,true,false,メッセージ (100万),Messages Million,,,,
ATTR-QB-NIC,Picklist,,Direct_Attach,,NIC_Type,true,false,ネットワークアダプタータイプ,Network Adapter Type,AP-008,,,
ATTR-QB-OS,Picklist,,Amazon Linux 2,,Operating_System,true,false,オペレーティングシステム,Operating System,AP-009,,,
ATTR-QB-PS-ENGOPTIONS,Picklist,,Extended_Care,,Engineering_Options,true,false,エンジニアリングオプション,Engineering Options,AP-007,,,
ATTR-QB-PS-NOTES,Text,,Insert Notes Here,,Notes_and_Assumptions,true,false,注記および前提条件,Notes and Assumptions,,,,
ATTR-QB-PSRESOURCELOCATION,Picklist,,Onsite,,Resource_Location,true,false,リソース位置,Resource Location,AP-013,,,
ATTR-QB-RAM,Picklist,,Performance_Optimized,,Memory_Config,true,false,メモリ構成,Memory Config,AP-011,,,
ATTR-QB-RAMMAX,Picklist,,8GB,,Memory_Capacity,true,false,メモリ容量,Memory Capacity,AP-012,,,
ATTR-QB-SRVCONFIG,Picklist,,Security,,Server_Configuration,true,false,サーバー構成,Server Configuration,AP-014,,,
ATTR-QB-SUBTYPE,Picklist,,,,SubscriptionType,true,false,サブスクリプションタイプ,Subscription Type,AP-015,,,
Available PCIe Slots,Number,,,,AvailablePCIeSlots,true,false,利用可能なPCIeスロット数,Available PCIe Slots,,,,
bigDrive,Checkbox,,false,,bigDrive,true,false,bigDrive,bigDrive,,,,
DIMM Type,Picklist,,3200MT/s RDIMMs,,DIMMType,true,false,DIMMタイプ,DIMM Type,DIMM Type,,,
Dual,Picklist,,Single,,SocketConfiguration,true,false,ソケット構成,Socket Configuration,Socket Configuration,,,
Front Storage,Picklist,,,,FrontStorage,true,false,フロントストレージ,Front Storage,Front Storage,,,
HDD Count,Number,,0,,HDDCount,true,false,HDD数,HDD Count,,,,
PCIe Lane Type,Picklist,,x8,,PCIeLane,true,false,PCIeレーンタイプ,PCIe Lane Type,PCIe Lane Type,,,
PCIe Slots Used,Number,,,,PCIeSlotsUsed,true,false,使用PCIeスロット,PCIe Slots Used,,,,
Performance Tier,Picklist,,N/A,,PerformanceTier,true,false,パフォーマンス階層,Performance Tier,Performance Tier,,,
Power Draw (watts),Number,,,,PowerDraw,true,false,消費電力 (W),Power Draw (watts),,,,
RAID,Picklist,,N/A,,RAID,true,false,RAID,RAID,RAID,,,
Rear Storage,Picklist,,N/A,,RearStorage,true,false,リアストレージ,Rear Storage,Rear Storage,,,
Redundancy,Picklist,,,,Redundancy,true,false,冗長性,Redundancy,Redundancy,,,
smallDrive,Checkbox,,false,,smallDrive,true,false,smallDrive,smallDrive,,,,
Storage (TB),Number,,0,,GB_Storage,true,false,ストレージ (TB),Storage (TB),,,,
Storage Profile,Picklist,,N/A,,StorageProfile,true,false,ストレージプロファイル,Storage Profile,Storage Profile,,,
watts,Number,,,,watts,true,false,ワット,watts,,,,
Workload,Picklist,,General,,Workload,true,false,ワークロード,Workload,Workload,,,
x16 Lanes,Number,,4,,x16Lanes,true,false,x16レーン,x16 Lanes,,,,
x8 Lanes,Number,,2,,x8Lanes,true,false,x8レーン,x8 Lanes,,,,
