DataType,Description,Name,Status,UnitOfMeasure.UnitCode
Text,,API Type Picklist,Active,
Number,,Base Core Count Picklist,Active,
Text,,Cable Length Picklist,Active,
Text,,Connector Type Picklist,Active,
Text,,Data Storage Picklist,Active,
Number,,Data Utilization,Active,
Text,,Engineering Options Picklist,Active,
Text,,Network Adapter Type Picklist,Active,
Text,,Operating System Picklist,Active,
Text,,Processor Frequency Picklist,Active,
Text,,RAM Config Picklist,Active,
Text,,RAM Picklist,Active,
Text,,Resource Location Picklist,Active,
Text,,Server Configuration Picklist,Active,
Text,,Subscription Type Picklist,Active,
Text,,DIMM Type,Active,
Text,,Front Storage,Active,
Text,,PCIe Lane Type,Active,
Text,,Performance Tier,Active,
Text,,RAID,Active,
Text,,Rear Storage,Active,
Text,,Redundancy,Active,
Boolean,,Socket Configuration,Active,
Text,,Storage Profile,Active,
Text,,Workload,Active,
