Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Name,Sequence,Status,Value
,0,0,true,0,Data Utilization,0,Active,0
,1.7GHz,1.7GHz,false,1.7GHz,Processor Frequency Picklist,2,Active,1.7GHz
,12ft,12',false,TwelveFeet,Cable Length Picklist,,Active,12
,12x3.5 inch Drives,12 x 3.5インチドライブ,true,12x3.5 inch Drives,Front Storage,1,Active,12x3.5 inch Drives
,16GB,16GB,false,16GB,RAM Picklist,2,Active,16GB
,16TB,16TB,false,16TB,Data Storage Picklist,,Active,16TB
,16x2.5 inch Drives,16 x 2.5インチドライブ,false,16x2.5 inch Drives,Front Storage,3,Active,16x2.5 inch Drives
,1TB,1TB,true,1TB,Data Storage Picklist,1,Active,1TB
,2,2,false,Two,Base Core Count Picklist,1,Active,2
,2.0GHz,2.0GHz,false,2.0GHz,Processor Frequency Picklist,3,Active,2.0GHz
,2.1GHz,2.1GHz,false,2.1GHz,Processor Frequency Picklist,4,Active,2.1GHz
,20TB,20TB,false,20TB,Data Storage Picklist,,Active,20TB
,24x2.5 inch Drives,24 x 2.5インチドライブ,false,24x2.5 inch Drives,Front Storage,2,Active,24x2.5 inch Drives
,2TB,2TB,false,2TB,Data Storage Picklist,,Active,2TB
,2x2.5 inch Drives,2 x 2.5インチドライブ,false,2x2.5 inch Drives,Rear Storage,2,Active,2x2.5 inch Drives
,3.2GHz,3.2GHz,true,3.2GHz,Processor Frequency Picklist,1,Active,3.2GHz
,30TB,30TB,false,30TB,Data Storage Picklist,,Active,30TB
,3200MT/s LRDIMMs,3200MT/s LRDIMMs,false,3200MT/s LRDIMMs,DIMM Type,2,Active,3200MT/s LRDIMMs
,3200MT/s RDIMMs,3200MT/s RDIMMs,true,3200MT/s RDIMMs,DIMM Type,1,Active,3200MT/s RDIMMs
,32GB,32GB,false,32GB,RAM Picklist,3,Active,32GB
,3ft,3',true,ThreeFeet,Cable Length Picklist,,Active,3
,3TB,3TB,false,3TB,Data Storage Picklist,,Active,3TB
,4,4,true,Four,Base Core Count Picklist,2,Active,4
,4TB,4TB,false,4TB,Data Storage Picklist,2,Active,4TB
,4x2.5 inch Drives,4 x 2.5インチドライブ,false,4x2.5 inch Drives,Rear Storage,3,Active,4x2.5 inch Drives
,5ft,5',false,FiveFeet,Cable Length Picklist,,Active,5
,6,6,false,Six,Base Core Count Picklist,3,Active,6
,8,8,false,Eight,Base Core Count Picklist,4,Active,8
,8ft,8',false,EightFeet,Cable Length Picklist,,Active,8
,8GB,8GB,true,8GB,RAM Picklist,1,Active,8GB
,8TB,8TB,false,8TB,Data Storage Picklist,3,Active,8TB
,8TB_Self_Encrypting,8TB 自己暗号化,false,8TB_Self_Encrypting,Data Storage Picklist,4,Active,8TB_Self_Encrypting
,Accelerated,加速型,false,Accelerated,Performance Tier,5,Active,Accelerated
,AI,AI,false,AI,Workload,2,Draft,AI
,AL2,Amazon Linux 2,true,Amazon Linux 2,Operating System Picklist,1,Active,Amazon Linux 2
,APV-10,10,false,10,Data Utilization,10,Active,10
,APV-20,20,false,20,Data Utilization,20,Active,20
,APV-30,30,false,30,Data Utilization,30,Active,30
,APV-40,40,false,40,Data Utilization,40,Active,40
,APV-5,5,false,5,Data Utilization,5,Active,5
,APV-50,50,false,50,Data Utilization,50,Active,50
,Balanced,バランス型,false,Balanced,Storage Profile,4,Active,Balanced
,Basic,ベーシック,false,Basic,Engineering Options Picklist,2,Active,Basic
,Basic Uptime,基本稼働時間,false,Basic Uptime,Redundancy,1,Active,Basic Uptime
,C13toC14,C13〜C14,true,C13 to C14,Connector Type Picklist,,Active,C13 to C14
,C19toC20,C19〜C20,false,C19 to C20,Connector Type Picklist,,Active,C19 to C20
,Capacity,容量,false,Capacity,Storage Profile,2,Active,Capacity
,Custom,カスタム,false,Custom,Server Configuration Picklist,4,Active,Custom
,Direct_Attach,ダイレクト接続,true,Direct_Attach,Network Adapter Type Picklist,1,Active,Direct_Attach
,Dual,デュアル,false,Dual,Socket Configuration,2,Active,Dual
,Entry,エントリー,false,Entry,Performance Tier,2,Active,Entry
,Evergreen,エバーグリーン,true,Evergreen,Subscription Type Picklist,1,Active,Evergreen
,Extended_Care,延長保守,true,Extended_Care,Engineering Options Picklist,1,Active,Extended_Care
,Flex,フレックス,true,Flex,API Type Picklist,1,Active,Flex
,General,一般,true,General,Workload,1,Active,General
,Gov,政府向け,false,Gov,API Type Picklist,2,Active,Gov
,High Availability,高可用性,false,High Availability,Redundancy,2,Active,High Availability
,High Performance Computing,高性能コンピューティング,false,High Performance Computing,Workload,3,Active,High Performance Computing
,L5-20,L5-20,false,L5-20,Connector Type Picklist,,Active,L5-20
,Memory_Mirroring,メモリミラーリング,false,Memory_Mirroring,RAM Config Picklist,3,Active,Memory_Mirroring
,N/A,なし,true,N/A,Rear Storage,1,Active,N/A
,N/A Performance Tier,なし,true,N/A,Performance Tier,1,Active,N/A
,N/A RAID,なし,true,N/A,RAID,1,Active,N/A
,N/A Storage Profile,なし,true,N/A,Storage Profile,1,Active,N/A
,Offshore,オフショア,false,Offshore,Resource Location Picklist,3,Active,Offshore
,Onsite,オンサイト,true,Onsite,Resource Location Picklist,1,Active,Onsite
,Performance,パフォーマンス,false,Performance,Server Configuration Picklist,2,Active,Performance
,Performance Storage,パフォーマンス,false,Performance,Storage Profile,3,Active,Performance
,Performance Tier,パフォーマンス,false,Performance,Performance Tier,4,Active,Performance
,Performance_Optimized,パフォーマンス最適化,true,Performance_Optimized,RAM Config Picklist,1,Active,Performance_Optimized
,Performance_Optimized_with_Sparing,パフォーマンス最適化（スペアリング付き）,false,Performance_Optimized_with_Sparing,RAM Config Picklist,2,Active,Performance_Optimized_with_Sparing
,Pre-Prod,検証用,false,Pre-Prod,API Type Picklist,3,Active,Pre-Prod
,Prod,本番用,false,Prod,API Type Picklist,4,Active,Prod
,RAID 0,RAID 0,false,RAID 0,RAID,2,Active,RAID 0
,RAID 1,RAID 1,false,RAID 1,RAID,3,Active,RAID 1
,RAID 5,RAID 5,false,RAID 5,RAID,4,Active,RAID 5
,REL,Redhat Enterprise Linux,false,Redhat Enterprise Linux,Operating System Picklist,2,Active,Redhat Enterprise Linux
,Remote,リモート,false,Remote,Resource Location Picklist,2,Active,Remote
,Security,セキュリティ,true,Security,Server Configuration Picklist,1,Active,Security
,SFP,SFP,false,SFP,Network Adapter Type Picklist,2,Active,SFP
,Single,シングル,true,Single,Socket Configuration,1,Active,Single
,Standard,スタンダード,false,Standard,Performance Tier,3,Active,Standard
