BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,,標準配送料金を算出するためのデフォルト出荷商品。,/resource/RLM_quantumBit_logo_sq,,true,true,false,配送料 商品,,,,9999999,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,ファイナンスサービス,QB-AEH-BILL,,,QB-AEH-BILL,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,プロビジョニングおよびアクティベーションサービス,QB-AEH-CPU,,,QB-AEH-CPU,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH 環境ランタイム,QB-AEH-ENV,,,QB-AEH-ENV,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH オブジェクトストア - 制限付き使用,QB-AEH-OBJ,,,QB-AEH-OBJ,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,注文処理,QB-AEH-OR,,,QB-AEH-OR,,
PC-QB-API,true,Allowed,,/resource/add_api,Software,true,true,false,追加 API,QB-API,,,QB-API,,
,false,,,/resource/RLM_quantumBit_logo_sq,None,true,true,false,API コール,QB-API-CALLS,Each,,QB-API-CALLS,,
,false,,APIインスタンスは削除されるまで管理下に置かれます。API Managerのインスタンスは最大同時接続モデルを使用して集計されます。月間使用量は、その月における単一時間内のAPI管理数の上限値です。,/resource/api_flex,Software,true,true,false,追加 API フレックス (100M),QB-API-FLEX,,,QB-API-FLEX,,
,false,,APIインスタンスは削除されるまで管理下に置かれます。API Managerのインスタンスは最大同時接続モデルで集計されます。月間使用量は、その月における単一時間枠で管理されたAPIの最大数を指します。,/resource/api_govt,Software,true,true,false,追加 API 政府向け,QB-API-GOVT,,,QB-API-GOVT,,
,false,,すべてのAPIとマイクロサービスを1か所で管理し、生産性を向上させます。,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,QB API管理ソリューション,QB-API-MGMT,,,QB-API-MGMT,,
,false,,APIインスタンスは削除されるまで管理下に置かれます。API Managerのインスタンスは最大同時接続モデルで集計されます。月間使用量は、その月における単一時間枠で管理されたAPIの最大数を指します。,/resource/api_preprod,Software,true,true,false,追加 API 検証用,QB-API-PREP,,,QB-API-PREP,,
,false,,APIインスタンスは削除されるまで管理下に置かれます。API Managerのインスタンスは最大同時実行モデルで集計されます。月間使用量は、その月の特定の1時間における管理対象APIの最大数となります。,/resource/api_prod,Software,true,true,false,追加 API 本番用,QB-API-PROD,,,QB-API-PROD,,
,false,,QuantumBit API Experience Hubは、API商品の活気あるエコシステム構築とエンゲージメント向上を実現します,/resource/api_access,Software,true,true,false,API アクセスリクエスト (AEH),QB-API-REQT,,,QB-API-REQT,,
,false,,QuantumBit Automationサブスクリプションプランには、QB RPA、QB Orchestrator、または両商品の組み合わせで使用可能なAutomation QBクレジットのクォータが含まれます。プロセスを使用して自動化を作成すると、総クレジットクォータが消費されます。1 QB Automation Credit = 2 RPA Bot Minutes、1 QB Automation Credit = 100 RPA API Calls、1 QB Automation Credit = 50 Orchestrator Tasks,/resource/add_auto_credit,Software,true,true,false,追加オートメーション QB クレジット,QB-AUT-CRED,,,QB-AUT-CRED,,
,false,,ビジネスクリティカル版は、高度に規制された業界、特に機密データを扱う業界向けに特化した機能を提供します。本エディションにはエンタープライズ版の全機能に加え...,/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit ビジネスクリティカル,QB-BDL-CRTL,,,QB-BDL-CRTL,,
,false,,エンタープライズ版は大規模なデータイニシアチブを展開し、より細かな企業管理を求める企業向けです。本版にはスターター版の全機能に加え...,/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit エンタープライズ,QB-BDL-ENTR,,,QB-BDL-ENTR,,
PC-QB-SERVER,false,Allowed,PowerSwerveサーバーは、最小限のスペースと低コストで複数の統合サーバーを展開する必要がある組織に、優れたパフォーマンス、拡張性、導入の柔軟性をもたらすよう設計されています。,/resource/powerswerve,Bundle,true,true,false,PowerSwerve R750 ラックサーバー,QB-BDL-R750,Each,,QB-BDL-R750,Bundle,
,false,,柔軟な導入、使いやすさ、インフラの拡張性を考慮して設計されたラックエンクロージャーで、IT機器をサポートし保護します。,/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit ラックエンクロージャー,QB-BDL-RAXS,,,QB-BDL-RAXS,,
PC-QB-PSBUNDLE,false,Allowed,社内プロフェッショナルサービスが管理するカスタム実装。時間と材料費ベースで課金されます。,/resource/ps_qb_project,Bundle,true,true,false,QuantumBit サービスプロジェクト,QB-BDL-SRVC,,,QB-BDL-SRVC,Bundle,
,false,Allowed,スターターエディションは、コアプラットフォーム機能へのアクセスを提供する入門版です。このエディションには、コアプラットフォームの全機能に加え...,/resource/starter,Bundle,true,true,false,QuantumBit スターター,QB-BDL-STND,,,QB-BDL-STND,Bundle,
PC-QB-NIC,false,Allowed,理論上80Gb/sの双方向スループットで優れたパフォーマンスを実現。,/resource/intel_x710_sfp,Hardware,true,true,false,Intel X710 デュアルポート 10Gb SFP,QB-BET X710SFP,Each,,QB-BET X710SFP,,
,false,,QuantumShell冷却、配電、ケーブル管理商品はITエンクロージャーとシームレスに連携し、完全なインフラサポートシステムを提供します。垂直ストレージラック用に8ラックユニット（U）を収容。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 8U 600mmx1070mm,QB-BMX-1050,,,QB-BMX-1050,,
,false,,QuantumShell冷却、配電、ケーブル管理商品はITエンクロージャーとシームレスに連携し、完全なインフラサポートシステムを提供します。垂直ストレージラック用に6ラックユニット（U）を収容。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 6U 600mmx870mm,QB-BMX-1051,,,QB-BMX-1051,,
,false,,QuantumShell冷却、配電、ケーブル管理商品はITエンクロージャーとシームレスに連携し、完全なインフラサポートシステムを提供します。垂直ストレージラック用に10ラックユニット（U）を収容。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 10U 600mmx1200mm,QB-BMX-1053,,,QB-BMX-1053,,
,false,,19インチ ブラック モジュラー ツールレス ブランキングパネルは、EIA-310-D準拠の正方形穴マウントレールラックや筐体への迅速かつ容易な設置を可能にします。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,ブランキングパネル,QB-BSSA-4298,,,QB-BSSA-4298,,
,false,,1Uのラックスペースを占有するこのスライド式シェルフは、通気性とサーバーへの容易なアクセスを提供します。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,スライド式シェルフ 200 ポンド,QB-BSSA-4300,,,QB-BSSA-4300,,
,false,,1Uのラックスペースを占有する本シェルフは、通気性、4本柱マウント、調整可能なマウント深度を提供します。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,固定シェルフ 250lbs,QB-BSSA-4302,,,QB-BSSA-4302,,
,false,,取り付けハードウェアには、軽量および重量用シェルフ、ボルト固定ブラケット、安定化プレート、接地キット、キーボード引き出し、取り付けレール、ブラケット、および関連ハードウェアが含まれます。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,TX 600mm/750mm スタビライザープレート,QB-BSSA-4303,,,QB-BSSA-4303,,
,false,,取り付けハードウェアには、軽量および重量用シェルフ、ボルト固定ブラケット、安定化プレート、接地キット、キーボード引き出し、取り付けレール、ブラケット、および関連ハードウェアが含まれます。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,TX ボルトダウンキット,QB-BSSA-4304,,,QB-BSSA-4304,,
,false,,ルーフファントレイは、ゼロUのスペースで筐体の下から上への気流を促進します。ラックの屋根から熱を排出し冷却します。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,ルーフファントレイ 750mm - 120V,QB-BSSA-4306,,,QB-BSSA-4306,,
,false,,ルーフファントレイは、ゼロUスペースで筐体の下から上への気流を促進します。ラックの屋根から熱を排出し冷却します。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,ルーフファントレイ 750mm - 208V,QB-BSSA-4308,,,QB-BSSA-4308,,
PCIe PC,false,Allowed,QB-CacheBoost 150 – アプリケーションの応答時間とスループットを向上させるPCIe SSDキャッシュアクセラレータ。,/resource/cacheboost,Hardware,true,true,false,QB-CacheBoost 150,QB-CBOOST-150,,,QB-CBOOST-150,,
,false,,これらのアクセサリは、様々なニーズに対応する適切なケーブル管理オプションを提供します。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,ケーブル管理リング（10 個）,QB-CMPC-5881,,,QB-CMPC-5881,,
PC-QB-CABLES,false,Allowed,本電源コードは、お客様の機器に理想的な電気的接続性を提供するように設計されています。動作電圧範囲は250ボルトです。,/resource/power_cable,Hardware,true,true,false,設定済み電源ケーブル,QB-CMPC-5882,,,QB-CMPC-5882,,
,false,,これらのアクセサリは、様々なニーズに対応する適切なケーブル管理オプションを提供します。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,垂直ケーブルオーガナイザー、8 ケーブルリング,QB-CMPC-5883,,,QB-CMPC-5883,,
,false,,これらのアクセサリは、様々なニーズに対応する適切なケーブル管理オプションを提供します。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,ケーブル収容ブラケット,QB-CMPC-5884,,,QB-CMPC-5884,,
PC-QB-CABLES,false,Allowed,本電源コードは、機器への理想的な電気的接続を提供するように設計されています。動作電圧範囲は250ボルトです。,/resource/power_cable,Hardware,true,true,false,C13-C14 電源ケーブル 3 フィート,QB-CMPC-5887,,,QB-CMPC-5887,,
,false,,本電源コードは、お客様の機器に最適な電気的接続性を提供するように設計されています。動作電圧範囲は250ボルトです。,/resource/power_cable,Hardware,true,true,false,C13-C14 電源ケーブル 5 フィート,QB-CMPC-5888,,,QB-CMPC-5888,,
,false,,本電源コードは、お客様の機器に最適な電気的接続性を提供するように設計されています。動作電圧範囲は250ボルトです。,/resource/power_cable,Hardware,true,true,false,C19-C20 電源ケーブル 3 フィート,QB-CMPC-5889,,,QB-CMPC-5889,,
,false,,本電源コードは、お客様の機器に最適な電気的接続性を提供するように設計されています。動作電圧範囲は250ボルトです。,/resource/power_cable,Hardware,true,true,false,C19-C20 電源ケーブル 5 フィート,QB-CMPC-5890,,,QB-CMPC-5890,,
,false,,12フィート電源コードは、お客様の機器に最適な電気的接続を提供するように設計されています。動作電圧範囲は250ボルトです。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,L5-20 入力電源ケーブル 12 フィート,QB-CMPC-5891,,,QB-CMPC-5891,,
,false,,8フィート電源コードは、お客様の機器に最適な電気的接続を提供するように設計されています。動作電圧範囲は250ボルトです。,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,L5-20 入力電源ケーブル 8 フィート,QB-CMPC-5892,,,QB-CMPC-5892,,
,false,Allowed,QuantumBit Database (トークンコミット - 各リソース別) - 各リソースごとに特定,/resource/database,Software,true,true,false,QuantumBit データベース（トークンコミット - Each）,QB-CMT-TKN-EACH,Each,,QB-CMT-TKN-EACH,,
,false,,QuantumBit Database (トークンコミット - フラット) - 全リソース共通 - フラット,/resource/database,Software,true,true,false,QuantumBit データベース（トークンコミット - Flat）,QB-CMT-TKN-FLAT,Each,,QB-CMT-TKN-FLAT,,
,false,Allowed,QuantumBit Database (トークンコミット - ティア) - 全リソース共通 - ティア,/resource/database,Software,true,true,false,QuantumBit データベース（トークンコミット - TIer）,QB-CMT-TKN-TIER,Each,,QB-CMT-TKN-TIER,,
PC-QB-COMPLETE,false,Allowed,QuantumBit コンプリートソリューション,/resource/complete_solution,Bundle,true,true,false,QuantumBit コンプリートソリューション,QB-COMPLETE,,,QB-COMPLETE,Bundle,
,false,,これは使用定義商品です。カタログに掲載すべきではありません。,/resource/RLM_quantumBit_logo_sq,None,true,true,false,コンピューティング時間,QB-CPU-BLNG,Each,,QB-CPU-BLNG,,m
,false,Allowed,冷却用CPUヒートシンク,/resource/cpuheatsink,Hardware,true,true,false,QB CPUヒートシンク,QB-CPU-HEATSINK,,,QB-CPU-HEATSINK,,
,false,Allowed,,/resource/collab_suite,Software,true,false,false,QuantumBit コラボレーションスイート,QB-CS,,,QB-CS,,
,false,,QuantumBit DataGraphを使用すると、単一のリクエストで複数のAPIを再利用できます。エンタープライズアーキテクトは、追加のコードを記述することなく、APIを1つのデータサービスに簡単に統合できます。開発者は、単一のGraphQLリクエストでデータサービスから複数のAPIを消費できます。,/resource/add_data_graph,Software,true,true,false,追加 QB データグラフ (500M),QB-DAT-GRPH,,,QB-DAT-GRPH,,
,false,,データスループットは、デプロイされたアプリケーションがビジネスロジックを実行するためにデータを転送する際にカウントされます。これには、監視、ログ、ヘルスチェックのための内部運用ネットワークトラフィックなどが含まれますが、これらに限定されません。データスループットは、1か月間の全バイト数の合計として集計されます。,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,追加データスループット,QB-DAT-THPT,Each,,QB-DAT-THPT,,
