$$Code$ParentProduct.StockKeepingUnit,Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.$$Code$ParentProduct.StockKeepingUnit,ParentProduct.StockKeepingUnit,Sequence
PCG-QB-SRV-CPU;QB-BDL-R750,PCG-QB-SRV-CPU,,1,1,プロセッサー,,QB-BDL-R750,1
PCG-QB-SRV-HDD;QB-BDL-R750,PCG-QB-SRV-HDD,,1,1,ハードドライブ,,QB-BDL-R750,3
PCG-QB-SRV-NIC;QB-BDL-R750,PCG-QB-SRV-NIC,,1,1,ネットワークアダプター,,QB-BDL-R750,4
PCG-QB-SRV-RAM;QB-BDL-R750,PCG-QB-SRV-RAM,,1,1,メモリー容量,,QB-BDL-R750,2
PCG-QB-PS-ENGRESOURCES;QB-BDL-SRVC,PCG-QB-PS-ENGRESOURCES,,,,エンジニアリング・リソース,,QB-BDL-SRVC,1
PCG-QB-PS-PM;QB-BDL-SRVC,PCG-QB-PS-PM,,,,プロジェクト管理,,QB-BDL-SRVC,2
PCG-QB-PS-SA;QB-BDL-SRVC,PCG-QB-PS-SA,,,,ソリューション・アーキテクチャ,,QB-BDL-SRVC,3
PCG-QBSTARTER-MAINT;QB-BDL-STND,PCG-QBSTARTER-MAINT,,1,1,メンテナンス,,QB-BDL-STND,20
PCG-QBSTARTER-TRAINING;QB-BDL-STND,PCG-QBSTARTER-TRAINING,,1,1,トレーニング,,QB-BDL-STND,10
PCG-QB-MAINT;QB-COMPLETE,PCG-QB-MAINT,,,,メンテナンス＆サポート,,QB-COMPLETE,40
PCG-QB-SERVICES;QB-COMPLETE,PCG-QB-SERVICES,,,,サービス,,QB-COMPLETE,30
PCG-QB-SOFTWARE;QB-COMPLETE,PCG-QB-SOFTWARE,,,,ソフトウェア,,QB-COMPLETE,10
PCG-QB-TRAINING;QB-COMPLETE,PCG-QB-TRAINING,,,,トレーニング,,QB-COMPLETE,20
QB-PCG-USAGE;QB-COMPLETE,QB-PCG-USAGE,,,,消費,,QB-COMPLETE,15
Computing;QB-QRack-750,Computing,,,,コンピューティング,,QB-QRack-750,1
Cooling;QB-QRack-750,Cooling,,2,1,冷却,Computing;QB-QRack-750,QB-QRack-750,2
GPUs;QB-QRack-750,GPUs,,,,GPU,PCIe;QB-QRack-750,QB-QRack-750,1
Hard Drives;QB-QRack-750,Hard Drives,,,,ハードドライブ,Storage;QB-QRack-750,QB-QRack-750,1
I/O;QB-QRack-750,I/O,,,,I/O,PCIe;QB-QRack-750,QB-QRack-750,2
Memory;QB-QRack-750,Memory,,,,メモリー,,QB-QRack-750,2
Networking;QB-QRack-750,Networking,,,,ネットワーク,PCIe;QB-QRack-750,QB-QRack-750,3
PCIe;QB-QRack-750,PCIe,,,,PCIe,,QB-QRack-750,4
Power Supply;QB-QRack-750,Power Supply,,,,電源,,QB-QRack-750,5
Processor;QB-QRack-750,Processor,,2,1,プロセッサー,Computing;QB-QRack-750,QB-QRack-750,1
Solid State Drives;QB-QRack-750,Solid State Drives,,4,0,SSD,Storage;QB-QRack-750,QB-QRack-750,2
Storage;QB-QRack-750,Storage,,,,ストレージ,,QB-QRack-750,3
