$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
追加 API;Standard Price Book;QB-API;エバーグリーン（月間）;USD,USD,true,false,追加 API,Standard Price Book;true,QB-API,エバーグリーン（月間）;Evergreen,2000
追加 API;Standard Price Book;QB-API;期間ベース（年間）;USD,USD,true,false,追加 API,Standard Price Book;true,QB-API,期間ベース（年間）;TermDefined,15000
追加 API;Standard Price Book;QB-API;期間ベース（月間）;USD,USD,true,false,追加 API,Standard Price Book;true,QB-API,期間ベース（月間）;TermDefined,1500
追加 API;Standard Price Book;QB-API;エバーグリーン（月間）;JPY,JPY,true,false,追加 API,Standard Price Book;true,QB-API,エバーグリーン（月間）;Evergreen,300000
追加 API;Standard Price Book;QB-API;期間ベース（年間）;JPY,JPY,true,false,追加 API,Standard Price Book;true,QB-API,期間ベース（年間）;TermDefined,2250000
追加 API;Standard Price Book;QB-API;期間ベース（月間）;JPY,JPY,true,false,追加 API,Standard Price Book;true,QB-API,期間ベース（月間）;TermDefined,225000
追加 API フレックス (100M);Standard Price Book;QB-API-FLEX;期間ベース（年間）;USD,USD,true,false,追加 API フレックス (100M),Standard Price Book;true,QB-API-FLEX,期間ベース（年間）;TermDefined,450
追加 API フレックス (100M);Standard Price Book;QB-API-FLEX;期間ベース（年間）;JPY,JPY,true,false,追加 API フレックス (100M),Standard Price Book;true,QB-API-FLEX,期間ベース（年間）;TermDefined,67500
追加 API 政府向け;Standard Price Book;QB-API-GOVT;期間ベース（年間）;USD,USD,true,false,追加 API 政府向け,Standard Price Book;true,QB-API-GOVT,期間ベース（年間）;TermDefined,1450
追加 API 政府向け;Standard Price Book;QB-API-GOVT;期間ベース（年間）;JPY,JPY,true,false,追加 API 政府向け,Standard Price Book;true,QB-API-GOVT,期間ベース（年間）;TermDefined,217500
QB API管理ソリューション;Standard Price Book;QB-API-MGMT;エバーグリーン（月間）;USD,USD,true,false,QB API管理ソリューション,Standard Price Book;true,QB-API-MGMT,エバーグリーン（月間）;Evergreen,1000
QB API管理ソリューション;Standard Price Book;QB-API-MGMT;期間ベース（年間）;USD,USD,true,false,QB API管理ソリューション,Standard Price Book;true,QB-API-MGMT,期間ベース（年間）;TermDefined,12000
QB API管理ソリューション;Standard Price Book;QB-API-MGMT;期間ベース（月間）;USD,USD,true,false,QB API管理ソリューション,Standard Price Book;true,QB-API-MGMT,期間ベース（月間）;TermDefined,1000
QB API管理ソリューション;Standard Price Book;QB-API-MGMT;エバーグリーン（月間）;JPY,JPY,true,false,QB API管理ソリューション,Standard Price Book;true,QB-API-MGMT,エバーグリーン（月間）;Evergreen,150000
QB API管理ソリューション;Standard Price Book;QB-API-MGMT;期間ベース（年間）;JPY,JPY,true,false,QB API管理ソリューション,Standard Price Book;true,QB-API-MGMT,期間ベース（年間）;TermDefined,1800000
QB API管理ソリューション;Standard Price Book;QB-API-MGMT;期間ベース（月間）;JPY,JPY,true,false,QB API管理ソリューション,Standard Price Book;true,QB-API-MGMT,期間ベース（月間）;TermDefined,150000
