$$Product.StockKeepingUnit$RateCard.Type$UsageResource.Name,AdjustmentType,AdjustmentValue,EffectiveFrom,EffectiveTo,LowerBound,Product.StockKeepingUnit,ProductSellingModel.Name,RateCard.Type,RateCardEntry.$$Product.StockKeepingUnit$RateCard.Type$UsageResource.Name,RateUnitOfMeasure.Name,RateUnitOfMeasureName,UpperBound,UsageResource.Code
QB-DB;Tier;Compute Time,Override,0.006,2024-10-01T19:00:00.000+0000,,300,QB-DB,Term Annual,Tier,QB-DB;Tier;Compute Time,USD,USD,999999999,ComputeTime
QB-DB;Tier;Data Storage,Override,15,2024-10-01T19:00:00.000+0000,,500,QB-DB,Term Annual,Tier,QB-DB;Tier;Data Storage,USD,USD,5000,datastorage
QB-DB;Tier;Data Storage,Percentage,0,2024-10-01T19:00:00.000+0000,,1,QB-DB,Term Annual,Tier,QB-DB;Tier;Data Storage,USD,USD,100,datastorage
QB-DB;Tier;Compute Time,Override,0.005,2024-10-01T19:00:00.000+0000,,200,QB-DB,Term Annual,Tier,QB-DB;Tier;Compute Time,USD,USD,300,ComputeTime
QB-DB;Tier;Data Storage,Override,12.5,2024-10-01T19:00:00.000+0000,,100,QB-DB,Term Annual,Tier,QB-DB;Tier;Data Storage,USD,USD,500,datastorage
QB-DB;Tier;Data Storage,Override,18,2024-10-01T19:00:00.000+0000,,5000,QB-DB,Term Annual,Tier,QB-DB;Tier;Data Storage,USD,USD,999999999,datastorage
QB-DB;Tier;Compute Time,Override,0.004,2024-10-01T19:00:00.000+0000,,1,QB-DB,Term Annual,Tier,QB-DB;Tier;Compute Time,USD,USD,100,ComputeTime
QB-DB;Tier;Compute Time,Override,0.0045,2024-10-01T19:00:00.000+0000,,100,QB-DB,Term Annual,Tier,QB-DB;Tier;Compute Time,USD,USD,200,ComputeTime
QB-DAT-THPT;Tier;Data Throughput,Override,0.8,2024-10-01T19:00:00.000+0000,,5000,QB-DAT-THPT,Term Annual,Tier,QB-DAT-THPT;Tier;Data Throughput,USD,USD,10000,datathroughput
QB-DAT-THPT;Tier;Data Throughput,Override,0.7,2024-10-01T19:00:00.000+0000,,10000,QB-DAT-THPT,Term Annual,Tier,QB-DAT-THPT;Tier;Data Throughput,USD,USD,999999999,datathroughput
QB-DAT-THPT;Tier;Data Throughput,Override,0.9,2024-10-01T19:00:00.000+0000,,1000,QB-DAT-THPT,Term Annual,Tier,QB-DAT-THPT;Tier;Data Throughput,USD,USD,5000,datathroughput
