ConversionFactor,CurrencyIsoCode,Description,Name,Sequence,Status,Type,UnitCode,UnitOfMeasureClass.Code
60,USD,,Hour,3,Active,Time,hr,time
1,USD,,Seconds,1,Active,Time,s,time
1000,USD,,Gigabyte,4,Active,Data,GB,datavolume
60,USD,,Minutes,2,Active,Time,min,time
1000,USD,,Petabyte,6,Active,Data,PB,datavolume
1,USD,,Byte,1,Active,Data,B,datavolume
1000,USD,,Kilobyte,2,Active,Data,kB,datavolume
1000,USD,,Megabyte,3,Active,Data,MB,datavolume
1000,USD,,Terabyte,5,Active,Data,TB,datavolume
1,USD,,USD,1,Draft,Currency,USD,
