Category,Code,DefaultUnitOfMeasure.$$Name$UnitCode$UnitOfMeasureClass.Code$UnitOfMeasureClass.Name,Description,Name,Status,UnitOfMeasureClass.$$Code$BaseUnitOfMeasure.Name$BaseUnitOfMeasure.UnitCode$DefaultUnitOfMeasure.Name$DefaultUnitOfMeasure.UnitCode,UsageDefinitionProduct.StockKeepingUnit,UsageResourceBillingPolicy.Code
Usage,URSMS01,Count;Count;SMS01;SMS,,Usage for SMS,Active,SMS01;Count;Count;Count;Count,,MOBPOL01
Usage,URCASE01,Each;Each;CAS01;Case,,Usage for Case,Active,CAS01;Each;Each;Each;Each,,MOBPOL01
Usage,URDATA01,MB;MB;DAT01;Data,,Usage for Data,Active,DAT01;MB;MB;MB;MB,,MOBPOL01
Usage,URCALLS01,Minutes;MIN;CALLUNITS01;Call Units,,Usage for Calls,Active,CALLUNITS01;Minutes;MIN;Minutes;MIN,,MOBPOL01
Usage,CS001,GB;GB;DAT01;Data,,Storage Data,Active,DAT01;MB;MB;MB;MB,CO478,DefaultUsageResourceBillingPolicy
Usage,CS002,GB;GB;DAT01;Data,,Backup Data,Active,DAT01;MB;MB;MB;MB,,DefaultUsageResourceBillingPolicy
Usage,CS003,XFER;XFER;COUNT;Count,,File Transfers,Active,COUNT;XFER;XFER;XFER;XFER,,DefaultUsageResourceBillingPolicy
Usage,CS004,ACCTS;ACCTS;COUNT;Count,,User Accounts,Active,COUNT;XFER;XFER;XFER;XFER,,DefaultUsageResourceBillingPolicy
Usage,CS005,LOGS;LOGS;COUNT;Count,,Access Logs,Active,COUNT;XFER;XFER;XFER;XFER,,DefaultUsageResourceBillingPolicy
Usage,API001,CALLS;CALLS;COUNT;Count,,API Calls,Active,COUNT;XFER;XFER;XFER;XFER,CO479,DefaultUsageResourceBillingPolicy
Usage,API002,GB;GB;DAT01;Data,,Data Transfers,Active,DAT01;MB;MB;MB;MB,,DefaultUsageResourceBillingPolicy
Usage,API003,SESH;SESH;COUNT;Count,,User Sessions,Active,COUNT;XFER;XFER;XFER;XFER,,DefaultUsageResourceBillingPolicy
Usage,API004,LOGS;LOGS;COUNT;Count,,Error Logs,Active,COUNT;XFER;XFER;XFER;XFER,,DefaultUsageResourceBillingPolicy
Usage,API005,TPS;TPS;COUNT;Count,,Rate Limits,Active,COUNT;XFER;XFER;XFER;XFER,,DefaultUsageResourceBillingPolicy
Usage,CO457,Courses Count;UOM3421;COUNT;Count,,Courses,Active,COUNT;XFER;XFER;XFER;XFER,CO480,DefaultUsageResourceBillingPolicy
