$$ConstraintModelTag$ExpressionSet.ApiName,ConstraintModelTag,ConstraintModelTagType,CurrencyIsoCode,ExpressionSet.Name,ReferenceObject.Name
additionalmessagesqbstarter;QuantumBitComplete,additionalmessagesqbstarter,Port,USD,QuantumBitComplete,PRC-000000020
quantumbitdatabase;QuantumBitComplete,quantumbitdatabase,Port,USD,QuantumBitComplete,PRC-000000007
additionalflowsqbstarter;QuantumBitComplete,additionalflowsqbstarter,Port,USD,QuantumBitComplete,PRC-000000008
additionalautomationqbcredits;QuantumBitComplete,additionalautomationqbcredits,Port,USD,QuantumBitComplete,PRC-000000004
quantumbitfundamentalstraining;QuantumBitComplete,quantumbitfundamentalstraining,Port,USD,QuantumBitComplete,PRC-000000038
quantumbitessentialstraining;QuantumBitComplete,quantumbitessentialstraining,Port,USD,QuantumBitComplete,PRC-000000036
additionalapi;QuantumBitComplete,additionalapi,Port,USD,QuantumBitComplete,PRC-000000001
qbapimanagementsolution;QuantumBitComplete,qbapimanagementsolution,Port,USD,QuantumBitComplete,PRC-000000002
apiaccessrequestsaeh;QuantumBitComplete,apiaccessrequestsaeh,Port,USD,QuantumBitComplete,PRC-000000003
moduleextensionengineer;QuantumBitComplete,moduleextensionengineer,Port,USD,QuantumBitComplete,PRC-000000025
softwaremaintenance;QuantumBitComplete,softwaremaintenance,Port,USD,QuantumBitComplete,PRC-000000034
programdirector;QuantumBitComplete,programdirector,Port,USD,QuantumBitComplete,PRC-000000027
projectmanager;QuantumBitComplete,projectmanager,Port,USD,QuantumBitComplete,PRC-000000028
professionalservicesscopeofwork;QuantumBitComplete,professionalservicesscopeofwork,Port,USD,QuantumBitComplete,PRC-000000031
quantumbitservicesproject;QuantumBitComplete,quantumbitservicesproject,Port,USD,QuantumBitComplete,PRC-000000005
qualityassuranceengineer;QuantumBitComplete,qualityassuranceengineer,Port,USD,QuantumBitComplete,PRC-000000029
datanormalizationexpert;QuantumBitComplete,datanormalizationexpert,Port,USD,QuantumBitComplete,PRC-000000022
solutionsarchitect;QuantumBitComplete,solutionsarchitect,Port,USD,QuantumBitComplete,PRC-000000030
integrationspecialistengineer;QuantumBitComplete,integrationspecialistengineer,Port,USD,QuantumBitComplete,PRC-000000024
implementationengineer;QuantumBitComplete,implementationengineer,Port,USD,QuantumBitComplete,PRC-000000023
professionalservicesdailyrate;QuantumBitComplete,professionalservicesdailyrate,Port,USD,QuantumBitComplete,PRC-000000026
