"Code","DataType","Description","Name","Status","UnitOfMeasure.UnitCode"
"applicationEmissionCertification","Text","#N/A","applicationEmissionCertification","Active","#N/A"
"Bucket_Size","Text","#N/A","Bucket_Size","Active","#N/A"
"Cooling Method PL","Text","#N/A","Cooling Method","Active","#N/A"
"DC_Voltage","Text","#N/A","DC_Voltage","Active","#N/A"
"DutyRating","Text","#N/A","DutyRating","Active","#N/A"
"Entrance Types","Text","#N/A","Entrance Types","Active","#N/A"
"Equipment Power","Text","#N/A","Equipment Power","Active","#N/A"
"Fuel Type","Text","#N/A","Fuel Type","Active","#N/A"
"gc_certificate","Text","#N/A","gc_certificate","Active","#N/A"
"Languages","Text","#N/A","Languages","Active","#N/A"
"Power","Text","#N/A","Power","Active","#N/A"
"Power Output Picklist","Text","#N/A","Power Output Picklist","Active","#N/A"
"Ripper_Size","Text","#N/A","Ripper_Size","Active","#N/A"
"seismicCertification","Text","#N/A","seismicCertification","Active","#N/A"
"SpecialApplication","Text","#N/A","SpecialApplication","Active","#N/A"
"standardsAndCompliance","Text","#N/A","standardsAndCompliance","Active","#N/A"
"Transmission","Text","#N/A","Transmission","Active","#N/A"
"Voltage","Text","#N/A","Voltage","Active","#N/A"
