"Id","Abbreviation","Code","DisplayValue","IsDefault","Name","Sequence","Status","Value","Picklist.Name","PicklistId"
"TTCIZAOKSF3CHVPEEU","#N/A","100 kW","100 kW","false","100 kW","1","Active","100 kW","Power Output Picklist","TOV0ZUOFNYBRTHHTSU"
"I9CSQJOW5GFERVCUKH","#N/A","1200","1200","false","1200","1200","Active","1200","Power","TVJLIYB4UGE0GC3ZYG"
"OANJXMO1X6D8GSX8GK","#N/A","12V","12V","false","12V","1","Active","12V","DC_Voltage","BKAOHVSEAPDXBTWPMA"
"NRAMNUJPX7VPYTUKFH","#N/A","1500","1500","false","1500","1500","Active","1500","Power","TVJLIYB4UGE0GC3ZYG"
"A6URYE4NJMOGJRT2FR","#N/A","16""","16""","false","16""","10","Active","16""","Bucket_Size","SJXTDQBZJJ4HIZYK2P"
"BV2ZIRL3AEWAV0C9EW","#N/A","1750","1750","false","1750","1750","Active","1750","Power","TVJLIYB4UGE0GC3ZYG"
"HS5SIXM8VFMJNZEXIF","#N/A","19""","19""","false","19""","10","Active","19""","Ripper_Size","EBIX3D64DKQIFQR0TC"
"EKITQFYD7LJS8ZDACE","#N/A","20""","20""","false","20""","20","Active","20""","Bucket_Size","SJXTDQBZJJ4HIZYK2P"
"WUANQZJSOSNLPC214T","#N/A","220/380","220/380","false","220/380","10","Active","220/380","Voltage","HTGUKZWNPJFMCNHLNQ"
"QE4O7N7EFN7XJESUDB","#N/A","240/416","240/416","false","240/416","20","Active","240/416","Voltage","HTGUKZWNPJFMCNHLNQ"
"R77RXFD5ZAULY7XZY0","#N/A","2400/4160","2400/4160","false","2400/4160","60","Active","2400/4160","Voltage","HTGUKZWNPJFMCNHLNQ"
"WHVEIZEPI7CRUTSIUM","#N/A","24V","24V","false","24V","2","Active","24V","DC_Voltage","BKAOHVSEAPDXBTWPMA"
"PI5E0OLEAITGFPOATE","#N/A","2500","2500","false","2500","2500","Active","2500","Power","TVJLIYB4UGE0GC3ZYG"
"JV1WOTFTE0BLXDT3A1","#N/A","255/440","255/440","false","255/440","30","Active","255/440","Voltage","HTGUKZWNPJFMCNHLNQ"
"6T63RWEQIU4MRMPUOD","#N/A","27""","27""","true","27""","20","Active","27""","Ripper_Size","EBIX3D64DKQIFQR0TC"
"TDVVOJAP8PHAXGHCKF","#N/A","277/480","277/480","false","277/480","40","Active","277/480","Voltage","HTGUKZWNPJFMCNHLNQ"
"BTP4YKAVVDHGFK9CC5","#N/A","300 kW","300 kW","false","300 kW","2","Active","300 kW","Power Output Picklist","TOV0ZUOFNYBRTHHTSU"
"52O7KXOJUFPX12AGO0","#N/A","34""","34""","false","34""","30","Active","34""","Ripper_Size","EBIX3D64DKQIFQR0TC"
"VB68CMWUNTGZ1RIPKY","#N/A","347/600","347/600","false","347/600","50","Active","347/600","Voltage","HTGUKZWNPJFMCNHLNQ"
"UGZXXQFNWIAEJRYLZL","#N/A","36""","36""","true","36""","30","Active","36""","Bucket_Size","SJXTDQBZJJ4HIZYK2P"
"CHLT2GBA4IQFTSLRVD","#N/A","42""","42""","false","42""","40","Active","42""","Bucket_Size","SJXTDQBZJJ4HIZYK2P"
"X62HVJZH2UDTUOKOOS","#N/A","48V","48V","false","48V","3","Active","48V","DC_Voltage","BKAOHVSEAPDXBTWPMA"
"5RXGPH4KXBLKGQSPOS","#N/A","50 Hp","50 Hp","true","50 Hp","10","Active","50 Hp","Power","TVJLIYB4UGE0GC3ZYG"
"TWF5LTXMYYM8VLADIM","#N/A","50""","50""","false","50""","50","Active","50""","Bucket_Size","SJXTDQBZJJ4HIZYK2P"
"CF7KKL9GIKF9IAQXNI","#N/A","500 kW","500 kW","false","500 kW","3","Active","500 kW","Power Output Picklist","TOV0ZUOFNYBRTHHTSU"
"PLYQHHK3PUXANZTVOC","#N/A","700 kW","700 kW","false","700 kW","4","Active","700 kW","Power Output Picklist","TOV0ZUOFNYBRTHHTSU"
"KNO7UZG6L7ZLXNTJOX","#N/A","7200/12470","7200/12470","false","7200/12470","70","Active","7200/12470","Voltage","HTGUKZWNPJFMCNHLNQ"
"JWE0JX9X4D2OJ1LWIE","#N/A","7621/13200","7621/13200","false","7621/13200","80","Active","7621/13200","Voltage","HTGUKZWNPJFMCNHLNQ"
"AZU2H1HXTA0ED5BUGO","#N/A","7976/13800","7976/13800","false","7976/13800","90","Active","7976/13800","Voltage","HTGUKZWNPJFMCNHLNQ"
"WDWRTMRKAW07LAODMS","#N/A","90 Hp","90 Hp","false","90 Hp","20","Active","90 Hp","Power","TVJLIYB4UGE0GC3ZYG"
"IJUDNVR2RA0PAORCPH","#N/A","900","900","false","900","900","Active","900","Power","TVJLIYB4UGE0GC3ZYG"
"HKB9BELQBNN3XZBIGC","#N/A","Air-Cooled","Air-Cooled","false","Air-Cooled","1","Active","Air-Cooled","Cooling Method","3KAPWE6I3EIGZP70Q3"
"9PRIQQK6G5HAFPJ9AH","#N/A","Ammonia","Ammonia","false","Ammonia","5","Active","Ammonia","Fuel Type","FN3NVBSTOLE8DNVWHG"
"YY4YR9PVIQT6PZQVE6","#N/A","Certification-CSA","Certification-CSA","false","Certification-CSA","10","Active","Certification-CSA","standardsAndCompliance","AYXBWKQQWQXXD5OBFY"
"HMYWFEMSOKHBYVKOUP","#N/A","Continuous Power (COP)","Continuous Power (COP)","false","Continuous Power (COP)","30","Active","Continuous Power (COP)","DutyRating","NTS0XNJBJE0VVVNSBL"
"3PQGHPMJL3ERWMKUG7","#N/A","CSA_C22.2","UL2200 & CSA C22.2","false","CSA_C22.2","3","Active","UL2200 & CSA C22.2","gc_certificate","YW3JRIPURDV355LKDI"
"ZVNROPQXL6C01SKHQZ","#N/A","Data Center Continuous (DCC)","Data Center Continuous (DCC)","false","Data Center Continuous (DCC)","40","Active","Data Center Continuous (DCC)","DutyRating","NTS0XNJBJE0VVVNSBL"
"ONXCIVYWYOCDWYNMKE","#N/A","Emergency Standby Power (ESP)","Emergency Standby Power (ESP)","false","Emergency Standby Power (ESP)","10","Active","Emergency Standby Power (ESP)","DutyRating","NTS0XNJBJE0VVVNSBL"
"7UGIZLOAFAOQYY4D1C","#N/A","Entrance_Bottom","Bottom","false","Bottom","5","Active","Bottom","Entrance Types","4CNRWCKDVMUB4HDDNX"
"NFOVX1XAPYIHU7ZRU3","#N/A","Entrance_Left","Left","false","Left","2","Active","Left","Entrance Types","4CNRWCKDVMUB4HDDNX"
"FC4RSPZ2DU9EC8GLJM","#N/A","Entrance_None","None","false","None","1","Active","None","Entrance Types","4CNRWCKDVMUB4HDDNX"
"LX97PAHAE7ROPQBGDC","#N/A","Entrance_Right","Right","false","Right","3","Active","Right","Entrance Types","4CNRWCKDVMUB4HDDNX"
"F6W3QCEUENOIPO7SXD","#N/A","Entrance_Top","Top","false","Top","4","Active","Top","Entrance Types","4CNRWCKDVMUB4HDDNX"
"RUZTNUI6MSELJTEU7E","#N/A","Ethanol","Ethanol","false","Ethanol","4","Active","Ethanol","Fuel Type","FN3NVBSTOLE8DNVWHG"
"LSBX68UWY12GIOTCXQ","#N/A","gc_NONE","Non UL2200/CSA C22.2 certified","false","NONE","1","Active","NONE","gc_certificate","YW3JRIPURDV355LKDI"
"4NADRTZLSANDEAHGQL","#N/A","Hydrogen","Hydrogen (H2)","false","Hydrogen (H2)","1","Active","Hydrogen (H2)","Fuel Type","FN3NVBSTOLE8DNVWHG"
