"Id","CanRamp","ConfigureDuringSale","Description","DisplayUrl","Family","IsActive","IsAssetizable","IsSoldOnlyWithOtherProds","Name","ProductCode","QuantityUnitOfMeasure","SpecificationType","StockKeepingUnit","Type","BasedOn.Code","UnitOfMeasure.UnitCode","BasedOnId","UnitOfMeasureId"
"0DHYYS27JNCWUF4OGN","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0155-2341-10","0155-2341-10-FRD","#N/A","#N/A","0155-2341-10-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"GV3U1IT8O1WIAIC2QB","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0155-2342-10","0155-2342-10-FRD","#N/A","#N/A","0155-2342-10-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"KWCGNHMZPVY4RKXGSH","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0155-2696-07","0155-2696-07-FRD","#N/A","#N/A","0155-2696-07-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"OIHPOPVDEDXBO9IKIW","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0300-5929-01","0300-5929-01-FRD","#N/A","#N/A","0300-5929-01-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"KU6CXMLV3YCBTA5FCC","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0300-5929-02","0300-5929-02-FRD","#N/A","#N/A","0300-5929-02-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"KKSNM6VXVAKVL53IMJ","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0402-0750-01","0402-0750-01-FRD","#N/A","#N/A","0402-0750-01-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"OVDOKUQLV4RUGXKTHS","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0416-0439","0416-0439-FRD","#N/A","#N/A","0416-0439-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"HAPOJ3Q5UG6JVT9ZPY","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0416-0527","0416-0527-FRD","#N/A","#N/A","0416-0527-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"VCAB14HQNFE90K9UBE","false","#N/A","#N/A","#N/A","Hardware","true","true","false","0541-1204","0541-1204-FRD","#N/A","#N/A","0541-1204-FRD","#N/A","#N/A","#N/A","#N/A","#N/A"
"T8FCUQNG7HNHBXLNAW","false","Allowed","10% discount on labor that is only included with a Service Contract bundle","/resource/1743025596000/Labor?","#N/A","true","true","true","10% Discount on Labor","10-DL","#N/A","#N/A","10-DL","#N/A","#N/A","#N/A","#N/A","#N/A"
"FXUU6PVDQWPURIUHHH","false","Allowed","20% discount on parts that is only included with a Service Contract bundle","/resource/1743025650000/PartsDiscount?","#N/A","true","true","true","20% Discount on Parts","20-DP","#N/A","#N/A","20-DP","#N/A","#N/A","#N/A","#N/A","#N/A"
"ZGMF3DQZTDTRZFV8QV","false","Allowed","Reduces sound levels in the cab for increased operator comfort and productivity.","/resource/1743027001000/SoundReductionOption?","#N/A","true","true","true","Sound Reduction Option","414LP-KAA-CAB2","#N/A","#N/A","414LP-KAA-CAB2","#N/A","#N/A","#N/A","#N/A","#N/A"
"SIPQYMEK459RZDIU0D","false","Allowed","Riding on suspension helps you smooth out the bumps and increase comfort. The seat offers time-saving features by customizing your weight adjustment and suspension travel much faster.","/resource/1743027326000/SuspensionSeat?","#N/A","true","true","true","Suspension Seat","414LP-KAA-CAB3","#N/A","#N/A","414LP-KAA-CAB3","#N/A","#N/A","#N/A","#N/A","#N/A"
