"Id","AttributeNameOverride","DefaultValue","Description","DisplayType","HelpText","IsHidden","IsPriceImpacting","IsReadOnly","IsRequired","MaximumCharacterCount","MaximumValue","MinimumCharacterCount","MinimumValue","Name","Sequence","Status","StepValue","ValueDescription","AttributeDefinition.Code","Product2.StockKeepingUnit","AttributeCategory.Code","ProductClassificationAttribute.Name","UnitOfMeasure.UnitCode","AttributeDefinitionId","AttributeCategoryId","ProductClassificationAttributeId","Product2Id","OverriddenProductAttributeDefinition.$$AttributeDefinition.Code$Product2.StockKeepingUnit","OverriddenProductAttributeDefinitionId"
"K64Q8BB6IOPNYCM6MO","Engine","50 Hp","#N/A","#N/A","#N/A","false","true","false","false","#N/A","#N/A","#N/A","#N/A","Engine","#N/A","Active","#N/A","#N/A","Engine_AD","414LP-KAA-E-SSL","Power Train_AC","Engine","#N/A","KCAA62K8XUGXRWNSSI","L6I1MPQXS6LMBHWENG","UTSLQVKQ1S28SJQLWV","6FHYB4CMZ0LPLC4WUN","","#N/A"
"EEHI70XO7HMQDKUKYD","powerkW","1200","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","powerkW","FESBA_1200","#N/A","powerkW","#N/A","BHRZIR9GJJHDIPQMOB","#N/A","YK900JUE9UDBNOSGDQ","ECBMPIYIRBHY2GBSPA","","#N/A"
"QZZJ0M3Y611K5UIRWA","powerkW","1500","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","powerkW","FESBA_1500","#N/A","powerkW","#N/A","BHRZIR9GJJHDIPQMOB","#N/A","YK900JUE9UDBNOSGDQ","16OMR8BCYPQ2WVJQ4P","","#N/A"
"EMJ3J1QARRHKSE6J1V","powerkW","1750","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","powerkW","FESBA_1750","#N/A","powerkW","#N/A","BHRZIR9GJJHDIPQMOB","#N/A","YK900JUE9UDBNOSGDQ","O3ZKFBTPDJCYPOLTZ9","","#N/A"
"RYKSEDDTXJHWEYJEGG","powerkW","2500","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","powerkW","FESBA_2500","#N/A","powerkW","#N/A","BHRZIR9GJJHDIPQMOB","#N/A","YK900JUE9UDBNOSGDQ","LQL7A0DLJLYAWNOKLO","","#N/A"
"22YBWJ9X7AIXGW7N2E","powerkW","900","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","powerkW","FESBA_900","#N/A","powerkW","#N/A","BHRZIR9GJJHDIPQMOB","#N/A","YK900JUE9UDBNOSGDQ","5AEWDPLKY3TB7AF09L","","#N/A"
"HFDQ7Q7ZXAHDHRLAOY","Voltage","277/480","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","FB_Voltage","FESBA_R002-2","Application","Voltage","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","G4GNVTWY2YR5IYJJNI","N4FUSWSIRT7ZSGG32D","","#N/A"
"VWD3D4VVOZ0AAZ2J4J","Voltage","240/416","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","FB_Voltage","FESBA_R003-2","Application","Voltage","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","G4GNVTWY2YR5IYJJNI","BJMUZIUYEBVCTMVO3F","","#N/A"
"RMSIP09AENPYDVTEM5","Voltage","255/440","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","FB_Voltage","FESBA_R023-2","Application","Voltage","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","G4GNVTWY2YR5IYJJNI","NKEH3TEUXTDYGHATCK","","#N/A"
"6HFDRGIEHJZGKF5JME","Voltage","220/380","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","FB_Voltage","FESBA_R099-2","Application","Voltage","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","G4GNVTWY2YR5IYJJNI","HFMWLFIEEWIZVJAU0Z","","#N/A"
"F2IM8PI5DFX6APAKEH","Voltage","2400/4160","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","FB_Voltage","FESBA_R107-2","Application","Voltage","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","G4GNVTWY2YR5IYJJNI","SJUHJZYLQTHDAQOP7H","","#N/A"
"U6TMTBP4LZG8PIG6SB","Voltage","347/600","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","FB_Voltage","FESBA_R114-2","Application","Voltage","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","G4GNVTWY2YR5IYJJNI","WQM0XDG52HM81GRBAO","","#N/A"
