"Id","Code","Description","IsNavigational","Name","SortOrder","Catalog.Code","ParentCategory.Code","CatalogId","ParentCategoryId"
"NBCYJ9YKQPUHEHQL3Y","Additives & Catalysts","Substances added in small amounts to enhance or modify chemical reactions or product properties.","true","Additives & Catalysts","50","Badger Chemicals","#N/A","0CUGNQLGC4NSVI8ODJ","#N/A"
"EATL8BOOHVGGWHZ2DA","Base Chemicals","Fundamental chemical compounds used as building blocks in various industrial processes.","true","Base Chemicals","10","Badger Chemicals","#N/A","0CUGNQLGC4NSVI8ODJ","#N/A"
"P4YL4Q3QANV9DU8YEZ","Industrial Solvents","Liquids used to dissolve, suspend, or extract materials.","true","Industrial Solvents","40","Badger Chemicals","#N/A","0CUGNQLGC4NSVI8ODJ","#N/A"
"CX98VLZPNOZ1SYDB04","Polymers & Resins","Materials used in plastics, coatings, and adhesives.","true","Polymers & Resins","30","Badger Chemicals","#N/A","0CUGNQLGC4NSVI8ODJ","#N/A"
"DJCNDFUCX0YVXE33B3","Specialty Chemicals","High-value, custom-formulated chemicals tailored for specific applications.","true","Specialty Chemicals","20","Badger Chemicals","#N/A","0CUGNQLGC4NSVI8ODJ","#N/A"
"VVVENYWPPFLZS12Y5B","Attachments","#N/A","true","Attachments","60","Badger Equipment Catalog","#N/A","JOCPAOT0Y1DCYHGERM","#N/A"
"DD4PFLSVSESCDYWL0J","Equipment","#N/A","true","Equipment","20","Badger Equipment Catalog","#N/A","JOCPAOT0Y1DCYHGERM","#N/A"
"M0Y3FJAY58V0XVG7VT","Lubricants","#N/A","true","Lubricants","10","Badger Equipment Catalog","#N/A","JOCPAOT0Y1DCYHGERM","#N/A"
"BH0UKLBTE633NFUDFV","Replacement Parts","#N/A","true","Replacement Parts","50","Badger Equipment Catalog","#N/A","JOCPAOT0Y1DCYHGERM","#N/A"
"YJZIDVRNFYP2XCPQP8","Rippers","#N/A","true","Rippers","70","Badger Equipment Catalog","#N/A","JOCPAOT0Y1DCYHGERM","#N/A"
"KMRDL7BHWO8WAEJPJH","Service Contracts","#N/A","true","Service Contracts","90","Badger Equipment Catalog","#N/A","JOCPAOT0Y1DCYHGERM","#N/A"
"JSS6BKY8US2SDRFNHV","Trenchers","#N/A","true","Trenchers","80","Badger Equipment Catalog","#N/A","JOCPAOT0Y1DCYHGERM","#N/A"
"WKIWBJRBB5GOSFBBHT","Excavators","#N/A","true","Excavators","40","Badger Equipment Catalog","Equipment","JOCPAOT0Y1DCYHGERM","DD4PFLSVSESCDYWL0J"
"QI9DNDNUJ3EGUAEOUJ","Skid Steers","#N/A","true","Skid Steers","30","Badger Equipment Catalog","Equipment","JOCPAOT0Y1DCYHGERM","DD4PFLSVSESCDYWL0J"
"UCT9EAP5GOAQIFBNMR","Adhesives, Sealants & Tapes","#N/A","true","Adhesives, Sealants & Tapes","5","Badger Industrials","#N/A","JCYVS9WFJZPILTQTLP","#N/A"
"HCZHHYNTMK7RKTESBF","Bearings & Bushings","#N/A","true","Bearings & Bushings","2","Badger Industrials","#N/A","JCYVS9WFJZPILTQTLP","#N/A"
"IABWFUHTSHCS76BVMF","Chains & Sprockets","#N/A","true","Chains & Sprockets","3","Badger Industrials","#N/A","JCYVS9WFJZPILTQTLP","#N/A"
"4V9P2P4V06XOGCO6QG","Couplings","#N/A","true","Couplings","1","Badger Industrials","#N/A","JCYVS9WFJZPILTQTLP","#N/A"
"UDBXIBXJKJA9OAAKAX","Industrial Motors & Controls","#N/A","true","Industrial Motors & Controls","6","Badger Industrials","#N/A","JCYVS9WFJZPILTQTLP","#N/A"
"9BLZOZ5LCHXBDEEO43","Kits","#N/A","true","Kits","7","Badger Industrials","#N/A","JCYVS9WFJZPILTQTLP","#N/A"
"VWORHP8WS37ZBICTBH","Pneumatics & Hydraulics","#N/A","true","Pneumatics & Hydraulics","4","Badger Industrials","#N/A","JCYVS9WFJZPILTQTLP","#N/A"
"CACJLLIKON7ONXO1GV","Batteries","#N/A","true","Batteries","40","GeneratorCatalog","#N/A","SGREAAY4ZTHLDMZMZK","#N/A"
"T2ZPVANU3GSLJLU7IQ","Connectivity","#N/A","true","Connectivity","50","GeneratorCatalog","#N/A","SGREAAY4ZTHLDMZMZK","#N/A"
"BIFRKWWQUVX9UDD5RE","Fuel Cells","#N/A","true","Fuel Cells","30","GeneratorCatalog","#N/A","SGREAAY4ZTHLDMZMZK","#N/A"
"O8C6GXNLY2OYPFJM7F","Generators","#N/A","true","Generators","10","GeneratorCatalog","#N/A","SGREAAY4ZTHLDMZMZK","#N/A"
"Z8A25T6BKMTYLE7DNQ","Solar Panels","#N/A","true","Solar Panels","20","GeneratorCatalog","#N/A","SGREAAY4ZTHLDMZMZK","#N/A"
"DEXNJSGAHX77UB6DKL","Switchgears","#N/A","true","Switchgears","6","GeneratorCatalog","#N/A","SGREAAY4ZTHLDMZMZK","#N/A"
"JMUN6HHPECDOE3DKJO","Tiers","#N/A","true","Tiers","1","Service Contracts","#N/A","1JMJJ9SZ8GOPBA3MQK","#N/A"
"VAKND0WGZYGCWYC463","Warranty","#N/A","true","Warranty","2","Service Contracts","#N/A","1JMJJ9SZ8GOPBA3MQK","#N/A"
