"Id","AttributeNameOverride","DefaultValue","Description","DisplayType","HelpText","IsHidden","IsPriceImpacting","IsReadOnly","IsRequired","MaximumCharacterCount","MaximumValue","MinimumCharacterCount","MinimumValue","Name","Sequence","Status","StepValue","ValueDescription","AttributeCategory.Code","AttributeDefinition.Code","ProductClassification.Code","UnitOfMeasure.UnitCode","AttributeDefinitionId","AttributeCategoryId","ProductClassificationId"
"FHQ0IVK3NBR4CCCC4X","Size","36""","Bucket Size","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Size","#N/A","Active","#N/A","#N/A","Bucket Size_AC","Size_AD","Buckets PC","#N/A","FIODYNWYOGEGXDR9XE","BJSLC2DU7A6QBZBPW8","9BODPWDT0MBIAPESFO"
"XXU143OR2XHSUZN34C","Control Language","English","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Control Language","#N/A","Active","#N/A","#N/A","#N/A","Control Language","Control PC","#N/A","5OD0CRJT5S1KU8JAWO","#N/A","8VERK2QQ1TGQ28XCFP"
"MVYARQUL6VNLUZYS9J","Control Placement","Right","#N/A","#N/A","#N/A","false","false","true","false","#N/A","#N/A","#N/A","#N/A","Control Placement","#N/A","Active","#N/A","#N/A","#N/A","Control Placement","Control PC","#N/A","QBNRZQROXY6BFPJV2Q","#N/A","8VERK2QQ1TGQ28XCFP"
"RD8DQON6EJTU3DBZDY","Cooling Method","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Cooling Method","#N/A","Active","#N/A","#N/A","#N/A","Cooling Method AD","Fuel Cell PC","#N/A","V4090VKMHWLIIFVAO2","#N/A","CGGKWRULRICJRGC3TK"
"CYUYTSPI24ZP4XDZUE","Fuel Type","Hydrogen (H2)","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Fuel Type","#N/A","Active","#N/A","#N/A","Fuel Cell AC","Fuel Type AD","Fuel Cell PC","#N/A","8YPCTG1OI4YTZN7MZJ","KC0QNLWXCXEJ8UTJZ2","CGGKWRULRICJRGC3TK"
"KUAU2NPFGUCRELQKUF","Certificate","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Certificate","#N/A","Active","#N/A","#N/A","Fuel Cell AC","gc_certificate","Fuel Cell PC","#N/A","GWWOHKWDGJ2L9A0IFC","KC0QNLWXCXEJ8UTJZ2","CGGKWRULRICJRGC3TK"
"9LRFE7RETMQNDYFKWH","Nominal Power Output","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Nominal Power Output","#N/A","Active","#N/A","#N/A","#N/A","Nominal Power Output AD","Fuel Cell PC","#N/A","GCYOT73CREJWMBUG8H","#N/A","CGGKWRULRICJRGC3TK"
"GEUVYKOK0CWSPPUF6K","Operating Voltage","12V","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Operating Voltage","#N/A","Active","#N/A","#N/A","#N/A","Operating Voltage AD","Fuel Cell PC","#N/A","FYAVFYCC3L5EEPF3YU","#N/A","CGGKWRULRICJRGC3TK"
"JSVE3IENFXSKPLTHKO","Application/Emission Certification","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Application/Emission Certification","#N/A","Active","#N/A","#N/A","Environment","Application/Emission Certification","Generator Set PC","#N/A","CWB4ZZJNHXDYENRZGO","PQVFZ2ZVL7GNOTQGF2","MFE6YEVBAKUX5MKLX0"
"W5QTPNCJTWZKCOEMXI","Duty Rating","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Duty Rating","#N/A","Active","#N/A","#N/A","Application","Duty Rating","Generator Set PC","#N/A","QZXHENP7GMLJLREZVJ","XPSUXWDNALVUKIU4T1","MFE6YEVBAKUX5MKLX0"
