"Id","Code","Name","Status","ParentProductClassification.Code","ParentProductClassificationId"
"9BODPWDT0MBIAPESFO","Buckets PC","Buckets PC","Active","#N/A","#N/A"
"8VERK2QQ1TGQ28XCFP","Control PC","Control PC","Active","#N/A","#N/A"
"CGGKWRULRICJRGC3TK","Fuel Cell PC","Fuel Cell","Active","#N/A","#N/A"
"MFE6YEVBAKUX5MKLX0","Generator Set PC","Generator Set PC","Active","#N/A","#N/A"
"Y9RKGGISSSBZ4P5NMM","MainAlternator","Main Alternator","Active","#N/A","#N/A"
"KF4HUUFZQ3XXDDJL0L","MiscGen","Generator Misc","Active","#N/A","#N/A"
"RFXZMWJGNJRUMICKHO","Model PC","Model PC","Active","#N/A","#N/A"
"ZGYXWORM71JMHODLOV","Skid Steer PC","Skid Steer PC","Active","#N/A","#N/A"
"GJBKB4CJGL9YEJMZGZ","SWG","Switchgear","Active","#N/A","#N/A"
"W0FWSYGFKFZ3FNPYDI","Switchgear Bay","Switchgear Bay","Active","#N/A","#N/A"
"EAD4PBLADZ5PQVPTY7","Voltage PC","Voltage PC","Active","#N/A","#N/A"
