"Id","ChildProductRole","DoesBundlePriceIncludeChild","IsComponentRequired","IsDefaultComponent","IsQuantityEditable","MaxQuantity","MinQuantity","ParentProductRole","Quantity","QuantityScaleMethod","QuoteVisibility","Sequence","ChildProductClassification.Code","ChildProduct.StockKeepingUnit","ParentProduct.StockKeepingUnit","ProductRelationshipType.Name","UnitOfMeasure.UnitCode","ChildProductId","ParentProductId","ProductRelationshipTypeId","ChildProductClassificationId","ChildSellingModel.$$Name$SellingModelType","ChildSellingModelId","ParentSellingModel.$$Name$SellingModelType","ParentSellingModelId","ProductComponentGroup.$$Code$ParentProduct.StockKeepingUnit","ProductComponentGroupId"
"4DOPLXN9RQCSDBDDW5","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","220","#N/A","0155-2341-10-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","0DHYYS27JNCWUF4OGN","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"HOWE7OLRB6SZM2NVMQ","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","221","#N/A","0155-2342-10-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","GV3U1IT8O1WIAIC2QB","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"V9OQJ7ISOZOFJBMLKA","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","222","#N/A","0155-2696-07-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","KWCGNHMZPVY4RKXGSH","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"M4OFTJFJECGAKHCS6F","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","223","#N/A","0300-5929-01-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","OIHPOPVDEDXBO9IKIW","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"UL1WTL1ASNFVUYFEIY","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","224","#N/A","0300-5929-02-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","KU6CXMLV3YCBTA5FCC","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"UKP8JR1Y4IXDFGWPGA","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","239","#N/A","0402-0750-01-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","KKSNM6VXVAKVL53IMJ","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"IUSHYL6UMPFLWDEDFB","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","225","#N/A","0416-0439-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","OVDOKUQLV4RUGXKTHS","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"FNNOF4QUSINVGC4MGI","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","226","#N/A","0416-0527-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","HAPOJ3Q5UG6JVT9ZPY","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"CGSEKBWCSHACP0Y0OF","BundleComponent","false","false","false","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","227","#N/A","0541-1204-FRD","FESBA-FRD","Bundle to Bundle Component Relationship","#N/A","VCAB14HQNFE90K9UBE","0GK9LOKCAS2IRELJQJ","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Accessories Main;FESBA-FRD","ID0000000000000006"
"HCEOAXJ4FHBLYJHISZ","BundleComponent","true","true","true","false","#N/A","#N/A","Bundle","1","Proportional","#N/A","20","#N/A","10-DL","SC-GOLD","Bundle to Bundle Component Relationship","#N/A","T8FCUQNG7HNHBXLNAW","AT3WQ3F3NYRSJV1QB0","LZTUEFUQTTNK0NZSSO","#N/A","","#N/A","","#N/A","Included Entitlements;SC-GOLD","ID0000000000000007"
