"Id","ConversionFactor","Description","Name","RoundingMethod","Scale","Sequence","Status","Type","UnitCode","UnitOfMeasureClass.Code","UnitOfMeasureClassId"
"UHQRUSOZ82WJT2UFQV","1","1000KG Super Sack","1000KG Sack","Up","0","#N/A","Active","Custom","1000KG-Sack","#N/A","#N/A"
"1WFNOVSCM1WG643TPG","1","1000 Kg Totes","1000KG Tote","Up","0","#N/A","Active","Custom","1000KG-TOTE","#N/A","#N/A"
"PSSWQF6D93G7PCHDQY","1","1000-liter Intermediate Bulk Container","1000L IBC","Up","3","#N/A","Active","Custom","1000L-IBC","#N/A","#N/A"
"BBOZSXBVEMZDFVIOGR","1","200 Kg Drums","200KG Drum","Up","0","#N/A","Active","Custom","200KG-DR","#N/A","#N/A"
"IWASGZL54RR8OI5TGB","1","#N/A","200L Drum","#N/A","#N/A","#N/A","Active","Custom","200L-DR","#N/A","#N/A"
"JYB9HADGEJWR6AKGUI","1","20 Kg Pails","20KG Pail","Up","0","#N/A","Active","Custom","20KG-PAIL","#N/A","#N/A"
"PSWB6FG7X1EVYEZFHL","1","20 L Pails","20L Pail","Up","0","#N/A","Active","Custom","20L-PAIL","#N/A","#N/A"
"45S4DGAPCTE3QFVJ8Y","1","25 Kg Bags","25KG Bag","Up","0","#N/A","Active","Custom","25kg-BAG","#N/A","#N/A"
"G7UMIFY8HR6VUYXHA2","1","50 Kg Bags","50KG Bag","Up","0","#N/A","Active","Custom","50kg-BAG","#N/A","#N/A"
"UTEHSBZZJ68FSTYR2T","1","5 Kg Pails","5KG Pail","Up","0","#N/A","Active","Custom","5KG-PAIL","#N/A","#N/A"
"4YSYJ1R9YGTD5RXIYF","1","Pressured Cylinder","Cylinder","Up","0","#N/A","Active","Custom","CYL","#N/A","#N/A"
"AYTIXFOBWA3OE6LHMK","1","#N/A","Each","#N/A","#N/A","1","Active","Count","EACH","#N/A","#N/A"
