"Id","Code","DataType","DefaultHelpText","DefaultValue","Description","DeveloperName","IsActive","IsRequired","Label","Name","SourceSystemIdentifier","ValueDescription","PicklistId","UnitOfMeasureId","Errors"
"0tjO50000001TWDIA2","Application/Emission Certification","Picklist","#N/A","#N/A","#N/A","applicationEmissionCertification","true","false","Application/Emission Certification","Application/Emission Certification","#N/A","#N/A","0v5O50000001BSrIAM","#N/A","#N/A"
"0tjO50000001TWEIA2","Assetized Low Voltage Generators","Number","#N/A","#N/A","#N/A","Assetized_Low_Voltage_Generators","true","false","Assetized Low Voltage Generators","Assetized Low Voltage Generators","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWFIA2","Assetized Medium Voltage Generators","Number","#N/A","#N/A","#N/A","Assetized_Medium_Voltage_Generators","true","false","Assetized Medium Voltage Generators","Assetized Medium Voltage Generators","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWGIA2","Bay Number","Number","#N/A","#N/A","#N/A","Bay_Number","true","false","Bay Number","Bay Number","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWHIA2","Cabin_Enclosure_AD","Checkbox","#N/A","false","#N/A","Cabin_Enclosure","true","false","Cabin_Enclosure","Cabin_Enclosure","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWIIA2","Control Language","Picklist","#N/A","English","#N/A","controlLanguage","true","false","Control Language","Control Language","#N/A","#N/A","0v5O50000001BT0IAM","#N/A","#N/A"
"0tjO50000001TWJIA2","Control Placement","Picklist","#N/A","#N/A","#N/A","controlPlacement","true","false","Control Placement","Control Placement","#N/A","#N/A","0v5O50000001BSwIAM","#N/A","#N/A"
"0tjO50000001TWKIA2","Cooling Method AD","Picklist","#N/A","#N/A","#N/A","Cooling_Method","true","false","Cooling Method","Cooling Method","#N/A","#N/A","0v5O50000001BStIAM","#N/A","#N/A"
"0tjO50000001TWLIA2","Desired Noise Level (dB)","Number","#N/A","#N/A","#N/A","gc_desiredDb","true","false","Desired Noise Level (dB)","Desired Noise Level (dB)","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWMIA2","Desired Power Output (kW)","Number","#N/A","#N/A","#N/A","gc_desiredKw","true","false","Desired Power Output (kW)","Desired Power Output (kW)","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWNIA2","Desired Running Hours","Number","#N/A","#N/A","#N/A","gc_desiredRunningHours","true","false","Desired Running Hours","Desired Running Hours","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWOIA2","Duty Rating","Picklist","#N/A","#N/A","#N/A","DutyRating","true","false","Duty Rating","Duty Rating","#N/A","#N/A","0v5O50000001BSvIAM","#N/A","#N/A"
"0tjO50000001TWPIA2","Engine_AD","Picklist","#N/A","50 Hp","#N/A","Engine","true","false","Engine","Engine","#N/A","#N/A","0v5O50000001BT1IAM","#N/A","#N/A"
"0tjO50000001TWQIA2","FB_Full Load Required (kW)","Number","#N/A","#N/A","#N/A","requiredKW","true","false","Full Load Required (kW)","FB_Full Load Required (kW)","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWRIA2","FB_max dB level","Number","#N/A","#N/A","#N/A","dBMax","true","false","max dB level","FB_max dB level","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWSIA2","FB_Voltage","Picklist","#N/A","#N/A","#N/A","Voltage","true","false","Voltage","FB_Voltage","#N/A","#N/A","0v5O50000001BT8IAM","#N/A","#N/A"
"0tjO50000001TWTIA2","Fuel Type AD","Picklist","#N/A","Hydrogen (H2)","#N/A","Fuel_Type","true","false","Fuel Type","Fuel Type","#N/A","#N/A","0v5O50000001BSyIAM","#N/A","#N/A"
"0tjO50000001TWUIA2","gc_certificate","Picklist","#N/A","#N/A","#N/A","gc_certificate","true","false","Certificate","Certificate","#N/A","#N/A","0v5O50000001BSzIAM","#N/A","#N/A"
"0tjO50000001TWVIA2","Nominal Power Output AD","Picklist","#N/A","#N/A","#N/A","Nominal_Power_Output","true","false","Nominal Power Output","Nominal Power Output","#N/A","#N/A","0v5O50000001BT2IAM","#N/A","#N/A"
