"Id","DataType","Description","Name","Status","UnitOfMeasureId","Errors"
"0v5O50000001BSrIAM","Text","#N/A","applicationEmissionCertification","Active","#N/A","#N/A"
"0v5O50000001BSsIAM","Text","#N/A","Bucket_Size","Active","#N/A","#N/A"
"0v5O50000001BStIAM","Text","#N/A","Cooling Method","Active","#N/A","#N/A"
"0v5O50000001BSuIAM","Text","#N/A","DC_Voltage","Active","#N/A","#N/A"
"0v5O50000001BSvIAM","Text","#N/A","DutyRating","Active","#N/A","#N/A"
"0v5O50000001BSwIAM","Text","#N/A","Entrance Types","Active","#N/A","#N/A"
"0v5O50000001BSxIAM","Text","#N/A","Equipment Power","Active","#N/A","#N/A"
"0v5O50000001BSyIAM","Text","#N/A","Fuel Type","Active","#N/A","#N/A"
"0v5O50000001BSzIAM","Text","#N/A","gc_certificate","Active","#N/A","#N/A"
"0v5O50000001BT0IAM","Text","#N/A","Languages","Active","#N/A","#N/A"
"0v5O50000001BT1IAM","Text","#N/A","Power","Active","#N/A","#N/A"
"0v5O50000001BT2IAM","Text","#N/A","Power Output Picklist","Active","#N/A","#N/A"
"0v5O50000001BT3IAM","Text","#N/A","Ripper_Size","Active","#N/A","#N/A"
"0v5O50000001BT4IAM","Text","#N/A","seismicCertification","Active","#N/A","#N/A"
"0v5O50000001BT5IAM","Text","#N/A","SpecialApplication","Active","#N/A","#N/A"
"0v5O50000001BT6IAM","Text","#N/A","standardsAndCompliance","Active","#N/A","#N/A"
"0v5O50000001BT7IAM","Text","#N/A","Transmission","Active","#N/A","#N/A"
"0v5O50000001BT8IAM","Text","#N/A","Voltage","Active","#N/A","#N/A"
