"DoesBundlePriceIncludeChild","IsComponentRequired","IsDefaultComponent","IsQuantityEditable","MaxQuantity","MinQuantity","Quantity","QuantityScaleMethod","QuoteVisibility","Sequence","ChildProductId","ParentProductId","ProductRelationshipTypeId","ChildProductClassificationId","ChildSellingModelId","ParentSellingModelId","ProductComponentGroupId","Errors"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","220","01tO500000apxi9IAA","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","221","01tO500000apxiAIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","222","01tO500000apxiBIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","223","01tO500000apxiCIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","224","01tO500000apxiDIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","239","01tO500000apxiEIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","225","01tO500000apxiFIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","226","01tO500000apxiGIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"false","false","false","false","#N/A","#N/A","1","Proportional","#N/A","227","01tO500000apxiHIAQ","01tO500000aq02jIAA","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
"true","true","true","false","#N/A","#N/A","1","Proportional","#N/A","20","01tO500000apxiIIAQ","01tO500000aq03OIAQ","0yoO5000000AlorIAC","#N/A","#N/A","#N/A","#N/A","INVALID_INPUT:Group is mandatory for configurable parent product.:ProductComponentGroupId --"
